Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	微笑	sequence	girl020a_02_face_tel_talk_face01	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face01.girl020a_02_face_tel_talk_face01'	
2	笑得眯眯眼	sequence	girl020a_02_face_tel_talk_face02	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face02.girl020a_02_face_tel_talk_face02'	
3	星星眼，激动	sequence	girl020a_02_face_tel_talk_face03	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face03.girl020a_02_face_tel_talk_face03'	
4	带一点尴尬地吃惊	sequence	girl020a_02_face_tel_talk_face04	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face04.girl020a_02_face_tel_talk_face04'	
5	吐舌	sequence	girl020a_02_face_tel_talk_face05	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face05.girl020a_02_face_tel_talk_face05'	
6	埋怨、生气	sequence	girl020a_02_face_tel_talk_face06	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face06.girl020a_02_face_tel_talk_face06'	
7	心虚	sequence	girl020a_02_face_tel_talk_face07	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face07.girl020a_02_face_tel_talk_face07'	
8	呆呆、发愣	sequence	girl020a_02_face_tel_talk_face08	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face08.girl020a_02_face_tel_talk_face08'	
9	馋	sequence	girl020a_02_face_tel_talk_face09	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face09.girl020a_02_face_tel_talk_face09'	
10	得意	sequence	girl020a_02_face_tel_talk_face10	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face10.girl020a_02_face_tel_talk_face10'	
11	严肃	sequence	girl020a_02_face_tel_talk_face11	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_face11.girl020a_02_face_tel_talk_face11'	
					
20	入场表情	sequence	girl020a_02_face_tel_start	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_start.girl020a_02_face_tel_start'	
21	loopAstand	sequence	girl020a_02_face_tel_loopA_stand	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_loopA_stand.girl020a_02_face_tel_loopA_stand'	
22	loopA01花瓣	sequence	girl020a_02_face_tel_loopA_01	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_loopA_01.girl020a_02_face_tel_loopA_01'	
23	loopB睡觉	sequence	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_loopB.girl020a_02_face_tel_loopB'	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_loopB.girl020a_02_face_tel_loopB'	
24	切换到talk	sequence	girl020a_02_face_tel_loop_totalk	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_loop_totalk.girl020a_02_face_tel_loop_totalk'	
25	talkstand	sequence	girl020a_02_face_tel_talk_stand	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_stand.girl020a_02_face_tel_talk_stand'	
26	抽卡01	sequence	girl020a_02_face_tel_talk_chouka	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_chouka.girl020a_02_face_tel_talk_chouka'	
27	抽卡02	sequence	girl020a_02_face_tel_talk_chouka02	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_chouka02.girl020a_02_face_tel_talk_chouka02'	
28	抽卡03	sequence	girl020a_02_face_tel_talk_chouka03	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_chouka03.girl020a_02_face_tel_talk_chouka03'	
29	夹腿	sequence	girl020a_02_face_tel_talk_juantui	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_juantui.girl020a_02_face_tel_talk_juantui'	
30	嘘	sequence	girl020a_02_face_tel_talk_xu	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_xu.girl020a_02_face_tel_talk_xu'	
31	点头	sequence	girl020a_02_face_tel_talk_diantou	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_diantou.girl020a_02_face_tel_talk_diantou'	
32	慌张	sequence	girl020a_02_face_tel_talk_huang	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_huang.girl020a_02_face_tel_talk_huang'	
33	害羞	sequence	girl020a_02_face_tel_talk_haixiu	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_haixiu.girl020a_02_face_tel_talk_haixiu'	
34	挠头	sequence	girl020a_02_face_tel_talk_naotou	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_naotou.girl020a_02_face_tel_talk_naotou'	
35	切换到loop	sequence	girl020a_02_face_tel_talk_toloop	AnimSequence'/Game/Characters/CommonFace/girl020_com01/callme/girl020a_02_face_tel_talk_toloop.girl020a_02_face_tel_talk_toloop'	
