字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H妮塔		分析员……这周末我们去KTV好不好？听说新开的那家，有超——多的曲目！		3.0版本随机事件
page1.2	H主角		你会唱歌？平时只听你喊“火海，赐予平等的毁灭！”之类的激扬口号。		3.0版本随机事件
page1.3	H妮塔		当、当然会啊！比如……小金栗，小金栗~还有……发财发财！快快发财！		3.0版本随机事件
page1.4	H主角		嗯，歌词简单，朗朗上口，不愧是妮塔的歌单。		3.0版本随机事件
page1.5	H妮塔		那，分析员，你教我几首情歌呗。我保证认真学~		3.0版本随机事件
page1.6	H主角		怎么突然想学唱歌？		3.0版本随机事件
page1.7	H妮塔		下次庆功宴，想和你合唱嘛。		3.0版本随机事件
page1.8	H主角		好。		3.0版本随机事件
page1.9	H主角		不过……学费会很贵喔。		3.0版本随机事件
page1.10	H妮塔		诶？要、要多少啊？		3.0版本随机事件
page1.11			我用只有彼此听到的声音，俯身在她耳边报出了“价格”。		3.0版本随机事件
page1.12			妮塔瞬间从脸红到脖子，双手将我的衣袖攥得更紧。支支吾吾地说出——		3.0版本随机事件
page1.13	H妮塔		成、成交……		3.0版本随机事件
