字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q分析员		芬妮，要一起去逛街吗?	0	
page0.2	Q咎冠		当然要！	0	
page0.3	Q咎冠		说起来，分析员的衣橱也该更新了，我一定要趁着这个机会好好挑选一番~	0	
page0.4	Q分析员		随你挑选，我今天奉陪到底。	0	
page0.5	Q咎冠		哼哼，可不准反悔哦。	0	
page0.6	Q咎冠		说起来，分析员喜欢什么样风格的服装呢？	0	
page0.7	Q分析员		我没有特别的风格偏好。硬要说的话，更偏向实用的吧。	0	
page0.8	Q咎冠		唉，分析员还是不懂啊。	0	
page0.9	Q咎冠		衣服好不好看，可是会影响情绪的~	0	
page0.10	Q咎冠		比如穿上漂亮的衣服和重要的人约会，就能让人更加自信，更加积极。	0	
page0.11	Q咎冠		而且很重要的是，能在心仪的人心里，留下不同的印象~	0	
page0.12	Q咎冠		我希望分析员可以记得每一面的我。	0	
choice01			立即拍下芬妮此刻的样子	0	
page1.1	Q咎冠		啊！	0	
page1.2	Q咎冠		我、我还没准备好呢……	0	
page1.3	Q分析员		这个瞬间的你，就是我最想留下的。	0	
page1.4	Q咎冠		哼，脑子记住不就好了！	0	
choice02			邀请芬妮一起自拍	0	
page2.1	Q分析员		一起来拍张照吧。	0	
page2.2	Q咎冠		还没买新衣服呢，就要拍照了吗？	0	
page2.3	Q分析员		想记录下我们的此时此刻。	0	
page2.4	Q咎冠		有什么特殊的吗？	0	
page2.5	Q分析员		因为是和芬妮在一起，所以每时每刻都变得很特殊。	0	
