字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q咎冠		真的要进去吗？	0	
page0.2	Q分析员		来都来了。	0	
page0.3	Q咎冠		之前没说过还有这种挑战呀！	0	
page0.4	Q分析员		怎么，天不怕地不怕的芬妮也害怕恐怖屋？	0	
page0.5	Q咎冠		谁、谁说本小姐害怕了。	0	
page0.6	Q咎冠		无非就是套着白床单、戴着面具的工作人员在里面吓人而已，本小姐才不会怕这种明知是假的恐怖屋~	0	
page0.7	Q分析员		好好好，既然芬妮不怕，那我们就赶紧进去吧。	0	
choice01			牵着芬妮的手前进	0	
page1.1	Q咎冠		这可不是我害怕，这只是防止我们走散的手段。	0	
page1.2			芬妮抓着我的手又增加了些力道。	0	
page1.3	Q咎冠		咦！好像有东西碰到我——	0	
page1.4	Q分析员		没事，只是挂起的布条。	0	
page1.5			制止藏在芬妮旁边工作人员接下来的行动	0	
page1.6	Q咎冠		啊！什么声音？！	0	
page1.7	Q分析员		没事，是旁边的挂件掉在地上了。	0	
page1.8			威胁眼前的旁边工作人员不要发出声音	0	
page1.9	Q咎冠		什么嘛，恐怖屋完全不恐怖啊~	0	
page1.10	Q分析员		等等……	0	
page1.11	Q咎冠		等什么？	0	
page1.12			（蹲下让芬妮看到面前的扮成丧尸的工作人员）	0	
page1.13	Q咎冠		啊！！！	0	
page1.14			站起来后，正好迎上重心不稳的芬妮，顺手将她抱住。	0	
page1.15	Q咎冠		臭大木头，你居然故意吓唬我！！	0	
page1.16	Q咎冠		我不下来了！你抱着我回去吧——	0	
choice02			把芬妮护在身后前进		
page2.1			芬妮把额头紧紧贴在我的后背上。	0	
page2.2	Q分析员		这样的话，就什么都体验不到了哦。	0	
page2.3	Q咎冠		大木头你别管，这是我的玩法。出、出发吧！	0	
page2.4			和芬妮两个人一前一后慢慢向前移动。	0	
page2.5	Q分析员		芬妮，有台阶咯，你小心。	0	
page2.6	Q咎冠		这里吗？我看不见，就只相信你了！	0	
page2.7			（双手合掌，请求伏在地上打算抓芬妮脚的工作人员停手）	0	
page2.8	Q咎冠		分析员，这么久都没有东西出来……	0	
page2.9	Q咎冠		不会最后来个大的吧？	0	
page2.10	Q分析员		……	0	
page2.11	Q分析员		要不，你睁开眼睛？	0	
page2.12	Q咎冠		啊？什么嘛，你别吓唬我！	0	
page2.13			被芬妮从身后狠狠抱住。	0	
page2.14	Q咎冠		你不准走开啊，我要睁眼了！	0	
page2.15	Q分析员		嗯，睁开吧。	0	
page2.16			和芬妮两个人完美通关了。	0	
page2.17	Q咎冠		哼，就知道我和分析员两个人是最强的！	0	
page2.18			即使离开恐怖屋，芬妮还是紧紧地贴着自己。	0	
