字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q狂猎		分析员，运动会项目你有什么建议吗？	0	
choice01			和里芙组队接力赛跑	0	
page1.1	Q狂猎		嗯，很经典的项目，我们来提前练习吧。	0	
page1.2	Q分析员		最关键的环节是在两人交接的时候……	0	
page1.3	Q狂猎		我的手会触碰你的手，分析员握着上方，我从下方接过就好。	0	
page1.4	Q狂猎		这是非常考验配合的一步，但凭我们的默契，我想肯定没问题。	0	
choice02			和里芙组队极限攀岩	0	
page2.1	Q分析员		……如果里芙不想去，我们也可以换别的。	0	
page2.2	Q狂猎		唔……为什么会这么说？	0	
page2.3	Q分析员		凭里芙的能力，完成这种项目肯定没问题，	0	
page2.4	Q分析员		但我更想让里芙也能享受到运动过程的乐趣。	0	
page2.5	Q狂猎		和分析员一起完成惊险刺激的运动项目，这样的体验……我非常期待。	0	
