字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q咎冠		分析员，在练习跑步前要记得戴好脚踝护腕的绑带哦。	0	
choice01			让芬妮帮忙佩戴	0	
page1.1	Q咎冠		哎呀别动，都要歪了。	0	
page1.2	Q分析员		哈哈……不……好意思……感觉很痒……	0	
page1.3	Q咎冠		哦？那我往上一点？	0	
page1.4	Q分析员		等等，芬妮，你的手……	0	
page1.5	Q咎冠		这里就到了分析员的小腿，再往上……膝盖……大腿……	0	
page1.6	Q咎冠		分析员，现在还觉得痒吗？	0	
choice02			帮芬妮佩戴护腕	0	
page2.1	Q咎冠		这是我特意选的款式，要给本小姐绑一个最漂亮的蝴蝶结哦！	0	
page2.2	Q分析员		嗯……蝴蝶结越好看，大明星的发挥也越好吗？	0	
page2.3	Q咎冠		哼，不论怎样都不会影响本小姐发挥的。	0	
page2.4	Q咎冠		但蝴蝶结是我和分析员亲密无间的证明啦！	0	
page2.5	Q咎冠		一定要最最漂亮才行！	0	
