字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q分析员		茉莉安，要不要一起去集市逛逛？	0	
page0.2	Q分析员		集市上有饮品摊位，还有很多有趣的小食，要不要去试试？	0	
page0.3	Q雨燕		乐意至极。	0	
page0.4			和茉莉安结伴到了集市。	0	
page0.5	Q雨燕		虽然这里泡茶的是机器人，但手法都很专业呢。	0	
page0.6	Q雨燕		手压萃取……好复古的方式。	0	
page0.7	Q雨燕		用不同的手法，就能得到口味完全不一样的咖啡呢——	0	
page0.8	Q分析员		看来，茉莉安还是挺享受这里的。	0	
page0.9	Q雨燕		啊，抱歉分析员，我有点是不是过分投入了。	0	
page0.10	Q分析员		如果你不投入的话，说抱歉的就应该是我了。	0	
page0.11	Q雨燕		平时都是在基地里和分析员一起安静地喝茶……	0	
page0.12	Q雨燕		偶尔换成这种热闹的环境，还别有一番趣味呢~	0	
page0.13	Q分析员		那我也有点新东西，想让你体验。	0	
choice01			带茉莉安尝试红茶冰淇淋	0	
page1.1	Q雨燕		嗯，茶香很浓郁呢~是我喜欢的红茶味道。	0	
page1.2	Q雨燕		分析员，您也尝一口吧~	0	
page1.3	Q雨燕		啊——	0	
page1.4			吃掉了茉莉安亲手喂的冰淇淋，很甜。	0	
choice02			带茉莉安尝试微醺特调	0	
page2.1	Q雨燕		分析员……这个味道很不错哦，要一起喝吗？	0	
page2.2	Q分析员		可是我只买了一杯。	0	
page2.3	Q雨燕		只有一杯也可以一起喝……老板刚刚给了我一根很有趣的双头吸管~	0	
page2.4			和茉莉安共饮了同一杯特调。	0	
