字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			已经到了休息的时候，有人敲响了住处的大门。	0	
page1.2	Q咎冠		分析员，你在吗？	0	
page1.3	Q分析员		在……	0	
page1.4	Q咎冠		喂！怎么你们都在！	0	
page1.5	Q狂猎		我自然有要紧的事和分析员商谈。	0	
page1.6	Q狂猎		以及，复盘之前和分析员一同遇到的各种情况。	0	
page1.7	Q咎冠		那茉莉安，怎么连你也在这里？	0	
page1.8	Q雨燕		呵呵，我是来给分析员报告行程的。	0	
page1.9	Q雨燕		顺便，想和分析员谈谈心~	0	
page1.10	Q咎冠		谈什么心，我看你们都想偷偷和分析员约会吧！	0	
page1.11	Q咎冠		既然如此……就来比试一下吧！	0	
page1.12	Q咎冠		赢了的人才可以留下来陪分析员——	0	
page1.13	Q分析员		唔！	0	
page1.14	Q分析员		所以为什么要扔枕头……	0	
page1.15	Q狂猎		所以，还是避免不了战斗吗？	0	
page1.16	Q咎冠		唔！	0	
page1.17	Q咎冠		哼，本小姐今天绝对不会输给你的！	0	
page1.18	Q雨燕		呵呵~分析员，放心，我会保护你的~	0	
page1.19	Q分析员		哎？谁丢的枕头打到我头了……	0	
page1.20			一阵胡闹过后	0	
page1.21	Q分析员		可以停下了吧……	0	
page1.22	Q分析员		既然枕头都已经就位了，就一起躺下谈谈心吧。	0	
page1.23	Q狂猎		我有分析员的胸膛就够了。	0	
page1.24	Q雨燕		可以，枕着分析员的手吗？	0	
page1.25	Q咎冠		哼，今天就勉强和你们分享一下分析员吧~	0	
page1.26	Q分析员		好了，那现在让我们来聊聊未来的故事吧。	0	
