字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1			和里芙来到虚拟社区的街机体验馆。	0	
page0.2	Q分析员		知道你是瓦尔基里游戏的冠军，但这种复古街机格斗游戏你可就不一定能拿第一了。	0	
page0.3	Q分析员	·	怎么样，要不要来一局？	0	
page0.4			里芙在我旁边坐下，紧紧握住游戏手柄。我们的肩膀自然而然紧贴在一起。	0	
page0.5	Q狂猎		来一局。	0	
choice01			选择对战模式	0	
page1.1	Q狂猎		一直以来都是并肩作战，我还从来没和分析员交过手呢。	0	
page1.2	Q分析员		来！我们比上一局，你可不准放水哦。	0	
page1.3	Q狂猎		既然是分析员的要求，我当然会全力以赴。	0	
page1.4	Q狂猎		开始吧。	0	
page1.5			我与里芙有着长期的共同作战经历，我们都十分了解彼此的战术。	0	
page1.6			于是……我们出招和闪避的时机都完全一样。	0	
page1.7			十局之后，依旧没能分出胜负。	0	
page1.8	Q狂猎		果然，赢不过分析员呢。	0	
page1.9	Q分析员		我也赢不过里芙啊。	0	
choice02			选择合作模式	0	
page2.1	Q狂猎		又可以和分析员并肩作战了，虽然只是动动手指。	0	
page2.2	Q分析员		这个也是需要技巧的，里芙可要跟上了。	0	
page2.3	Q狂猎		我什么时候让你失望过？	0	
page2.4	Q分析员		说得好，开始吧。	0	
page2.5			很少玩游戏机的里芙流畅地操作着游戏人物。	0	
page2.6			和在真实战场中一样，我们配合无间，很快就通关了。	0	
page2.7			意犹未尽的我们又开始了竞速模式。	0	
page2.8	Q狂猎		我们已经是竞速榜单第一了……	0	
page2.9	Q分析员		果然，没人赢得过我们两个。	0	
