字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1			约茉莉安一起来到极限运动中心。	0	
page0.2	Q雨燕		分析员，今天我们要做什么？	0	
page0.3	Q分析员		想做点刺激的事——	0	
page0.4	Q分析员		茉莉安了解极限运动吗？	0	
page0.5	Q雨燕		略有了解，不过我没什么机会体验。	0	
page0.6	Q分析员		难得心动派对也提供了这方面的服务。	0	
page0.7	Q分析员		使用感官模拟也不会有危险，所以我想带你来试试。	0	
page0.8	Q雨燕		呵呵，那我真的很期待！	0	
page0.9	Q雨燕		分析员，有什么推荐吗？我想和您一起体验。	0	
choice01			水上摩托	0	
page1.1	Q分析员		记得穿戴好护具哦，要养成这样的习惯。	0	
page1.2	Q雨燕		好~您尽管命令我！	0	
page1.3	Q分析员		这……行吧。	0	
page1.4	Q分析员		一会儿如果觉得不舒服，就拍拍我的后背。	0	
page1.5			启动水上摩托，将速度提到很高，感受到环在我腰间的双手更紧了些。	0	
page1.6	Q分析员		不适应吗？	0	
page1.7	Q雨燕		没……没有。分析员……可以再快些吗！	0	
page1.8	Q分析员		没问题。	0	
page1.9			我们体验水上摩托的速度成为了这里的最高记录。	0	
choice02			蹦极跳跃	0	
page2.1	Q分析员		这次，我会陪你一起飞下去，不会拉低你的速度吧？	0	
page2.2	Q雨燕		和分析员一起的话，我反而希望速度更慢一些，时间也再慢一些。	0	
page2.3	Q雨燕		这些厚厚的护具，有点碍事。	0	
page2.4	Q分析员		不可以脱下来哦，虽然感官模拟不会受伤，但你也必须养成保护自己的习惯。	0	
page2.5	Q雨燕		好~好的！	0	
page2.6	Q分析员		你准备好的话，我们随时就开始。	0	
page2.7			和茉莉安面对面紧抱着，她身子一歪，我们跳了下去。	0	
page2.8			高速下落时的风力模拟很真实，我有点睁不开眼。	0	
page2.9			突然感觉唇上传来一阵温热……	0	
