字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q咎冠		分析员，你知道的吧？那个事情你一定要和我一起做哦！	0	
choice01			在烟花绽放时给她留影	0	
page1.1	Q咎冠		分析员一定一定要把本小姐拍好看一点哦！	0	
page1.2	Q咎冠		发型乱了吗？妆有没有花？这个姿势怎么样？	0	
page1.3	Q分析员		很完美。芬妮不管在什么时候都是最棒的状态。	0	
page1.4	Q咎冠		嘿嘿，分析员越来越会讲话了嘛。	0	
choice02			在烟花绽放时一起合影	0	
page2.1	Q咎冠		分析员快站到这边~	0	
page2.2	Q咎冠		位置正确！高度合适！分析员，你也摆一个帅气的造型嘛！	0	
page2.3	Q分析员		其实我们在这里的生活应该有影像存档……	0	
page2.4	Q咎冠		哎呀不一样啦！这个就叫做仪式感！	0	
page2.5	Q咎冠		好，别动哦，相机定时，我要到你身边来了。	0	
