字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q雨燕		这件……不不，还是这件吧……	0	
page0.2	Q分析员		茉莉安在挑新衣服？	0	
choice01			想看她试穿颜色最鲜艳的一套	0	
page1.1	Q雨燕		要看这件红色的吗？	0	
page1.2	Q雨燕		呵呵~没想到分析员喜欢的是这个。	0	
page1.3	Q分析员		以往茉莉安的衣服都是偏冷的色调。	0	
page1.4	Q分析员		所以想好奇你穿鲜艳的颜色会有什么不一样。	0	
page1.5	Q雨燕		那么分析员觉得怎么样？	0	
page1.6	Q分析员		更加热情奔放的你，很好看。	0	
choice02			想看她试穿款式最新颖的一套	0	
page2.1	Q分析员		试试这件？	0	
page2.2	Q雨燕		啊！偏偏就是这一件。原来分析员喜欢这样的款式么……	0	
page2.3	Q分析员		我来看看……其实很适合你呢。	0	
page2.4	Q雨燕		穿上之后让人有点……难为情呢……	0	
page2.5	Q雨燕		但是，很喜欢分析员这样的要求。	0	
page2.6	Q雨燕		要不要……再为我指定一套试穿呢？	0	
