字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q雨燕		夜晚的绿茵场真安静啊……	0	
page0.2	Q分析员		茉莉安，来。	0	
choice01			要求她在草坪上躺下	0	
page1.1	Q雨燕		诶诶？这这这里可以躺下吗？	0	
page1.2	Q分析员		作为千金小姐的你应该没有过这样随意的体验吧。	0	
page1.3	Q分析员		来，手给我。	0	
page1.4	Q雨燕		唔！好柔软的草坪……	0	
page1.5	Q雨燕		很真实的触感，似乎能闻见了草地与露水混合的清新味道。	0	
page1.6	Q分析员		觉得冷吗？	0	
page1.7	Q雨燕		不冷，分析员的手很温暖哦。	0	
choice02			要求她挨着自己坐下	0	
page2.1	Q雨燕		如果是分析员的要求，我很乐意听从。	0	
page2.2	Q雨燕		嗯……好像还从没和分析员两个人挨着坐在这么空旷的地方呢。	0	
page2.3	Q雨燕		分析员快看，这里也能看到星星！	0	
page2.4	Q分析员		这里比天台好太多了，至少某人不会动不动就要跳下去。	0	
page2.5	Q雨燕		呜……不会了。有分析员在身边，我哪里都不会去。	0	
