字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q狂猎		唔，分析员……	0	
page0.2	Q分析员		不舒服吗？是不是身体情况还是不太稳定。	0	
page0.3	Q狂猎		那倒没有。	0	
page0.4	Q狂猎		进入这个空间之后，疲惫感减少了很多。	0	
page0.5	Q狂猎		总之，现在的感觉有点奇妙。	0	
page0.6	Q分析员		什么感觉？	0	
page0.7	Q狂猎		让人放下戒备，止不住地想要松懈下来。	0	
page0.8	Q分析员		我以为你不喜欢这些形式花哨的东西。	0	
page0.9	Q狂猎		嗯……但我想和分析员独处，一起尝试不同的事物、	0	
page0.10	Q分析员		不过总觉得，你不像平时那样自在。	0	
page0.11	Q分析员		手指都蜷缩起来了……还是有些不习惯吗？	0	
page0.12	Q分析员		来，我有个好办法，	0	
chioce01			牵起她的手	0	
page1.1			能感受到她的手心有些冰凉。	0	
page1.2			随后里芙的手指钻进了我的指间，随后我们紧紧地十指相扣。	0	
page1.3	Q狂猎		离开这里之前，我们就一直保持这样好不好？	0	
page1.4	Q狂猎		这样，我就不会觉得不自在了。	0	
page1.5	Q分析员		好，那我们谁都不要放手。	0	
page1.6	Q狂猎		接下来去哪里，就交给分析员决定了。	0	
chioce02			让她挽住自己	0	
page2.1			里芙的小臂绕上了我的的胳膊，紧紧贴住，手臂挤压到一片柔软。	0	
page2.2	Q分析员		……这里的感官模拟，处理得很真实。	0	
page2.3	Q狂猎		是啊，我闻到了分析员身上让人安心的味道。	0	
page2.4	Q分析员		啊，嗅觉方面做得也不错……	0	
page2.5	Q狂猎		也？	0	
page2.6	Q分析员		咳，这里逛得差不多了，我们继续往前看看吧。	0	
