字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q咎冠		分析员！看到我了吗？看到我了吗！	0	
page0.2	Q咎冠		大奖拿下！毫无悬念的第、一、名！	0	
choice01			接住从高台上跳下的芬妮	0	
page1.1	Q分析员		看到了看到了，小心受伤。	0	
page1.2	Q咎冠		哼哼~本小姐的比赛完成了，接下来要进入庆祝时间~	0	
page1.3	Q咎冠		走，本小姐带你去吃大餐。	0	
choice02			抱住兴奋得蹦蹦跳跳的芬妮	0	
page2.1	Q咎冠		看到了看到了，快站稳吧。	0	
page2.2	Q咎冠		哼哼~站在你面前的可是大明星哦，现在分析员只能看我一个！	0	
page2.3	Q分析员		说说看，分析员要怎么奖励我呢？	0	
page2.4	Q咎冠		奖励好说，但现在大明星需不需要先好好睡一觉？	0	
page2.5	Q咎冠		我可用不着那个，有分析员陪着，本小姐随时满电。	0	
