字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q雨燕		呼……分、分析员……	0	
page0.2	Q雨燕		对不起！烟花表演好像……马上就结束了。	0	
page0.3	Q分析员		慢点慢点，我这不是在等着你吗。	0	
choice01			安慰她	0	
page1.1	Q分析员		虽然今晚的表演没能和你一起看。但可以等下次嘛。	0	
page1.2	Q雨燕		唔……分析员，请拿着这个。	0	
page1.3	Q分析员		荧光色的……这是烟花棒？	0	
page1.4	Q雨燕		在赶过来的路上买的。虽然今天的表演错过了， 但还好我有补救机会。	0	
page1.5	Q雨燕		据说这个烟花棒燃放时的颜色很特别。	0	
page1.6	Q雨燕		分析员，我们一起来看吧，	0	
choice02			逗弄她	0	
page2.1	Q分析员		让我等了这么久，打算怎么补偿我？	0	
page2.2	Q雨燕		唔，这个……其实……	0	
page2.3	Q分析员		好啦，我开玩笑……	0	
page2.4	Q雨燕		其实我为分析员准备了独属于我们两人的烟花表演。	0	
page2.5	Q分析员		这是……这是烟花吗？	0	
page2.6	Q雨燕		没错，我选了筒数最多的一款，分析员要不要和我一起数数有多少发？	0	
page2.7	Q雨燕		那么，请分析员握住我的手，引领我来……	0	
page2.8	Q雨燕		点燃它吧。	0	
