BufferID	描述备注	类型备注	强度备注	价格	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
BufferID	DesComment	TypeComment	RarityComment	Price	probability1	probability2	probability3	probability4	probability5	probability6	probability7	probability8	probability9	probability10	probability11	probability12
4500	精进·攻击	攻击力提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4501	精进·技能	技能伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4502	精进·射击	射击伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4503	精进·暴击伤害	暴击伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4504	护盾·获取	护盾获取效能提升{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4505	精进·弹匣	弹匣容量提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4506	常规·循环	常规能量回复速度提升{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4507	爆发·循环	爆发能量获取率提升{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4508	精进·射速	射击速度提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4509	精进·换弹	换弹速度提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4510	技能·生息	使用技能会回复{1}%最大生命，触发间隔{2}秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4511	技能·节俭	常规能量、爆发能量的消耗降{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4512	反扑	队员在受到伤害后，造成的伤害提升{1}%，持续5秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4513	搏乐	对自身周围10米范围内目标造成的伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4514	手感·下次	每次击败目标后的下一次造成的伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4515	兼顾治疗（旧）	使用常规技能后,恢复{1}%最大生命，冷却时间{2}秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4516	破釜沉舟（旧）	最大生命降低{1}%,常规技能伤害提升{2}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4517	速攻（旧）	击败敌方目标后，射击速度提升{1}%，持续{2}秒	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4518	代价·对等	队员生命每降低1%，则造成的伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4519	护盾·叠加	每秒获得自身最大生命{1}%的护盾，最多叠加至30层	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4520	闪避·强化	每次战术闪避会消耗5%当前生命，然后伤害提升{1}%，持续10秒，队员不会因该效果倒下	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4521	生命·盗用	每次射击造成伤害，该伤害的{1}%转化为自身生命	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4522	射击·幸运	每次换弹后{1}秒内射击不消耗子弹，触发间隔10秒	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4523	射击·击败	击败目标时有{1}%概率装填满弹匣	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4524	群斗·热战	一定范围内，每有1个敌方目标，则队员攻击力提升{1}%，最多提升{2}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4525	技能·延续	使用技能后{1}秒内射击伤害提升{2}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4526	技能·开源	每次技能命中目标，都可回复{1}常规能量，触发间隔{2}秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4527	技能·侵蚀	技能命中目标时，使其受到的射击伤害提升{1}%，持续{2}秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4528	瞄准·低温	瞄准射击获得低温赋能效果，每次瞄准射击额外造成攻击力{1}%的低温类型伤害	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4529	射击·动能	持续射击状态下，获得赋能效果：每次射击额外造成攻击力{1}%的动能类型伤害	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4530	代价·高热	当前生命低于50%时，获得赋能效果：每次射击额外造成攻击力{1}%的高热类型伤害	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4531	技能·电击	使用技能后，获得赋能效果：每次射击额外造成攻击力{1}%的电击类型伤害，持续5秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4532	代价·随机	造成的伤害提升{1}%，但造成伤害时有5%概率消耗自身5%当前生命，触发间隔1秒，队员不会因此倒下	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4533	手感·叠加	击败目标时全伤害提升{1}%，持续10秒，最多叠加至5层	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4534	趁机	对处于控制状态下的目标造成的伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4535	距离·近处	目标距离自身越近，则对其造成的伤害越高，最多提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4536	有备无患（旧）	弹匣内子弹数量大于{1}%时,射击的伤害提升{2}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4537	代价·提前	最大生命降低30%，造成的伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4538	代价·射速	若当前生命低于最大生命，则射击速度提升{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4539	代价·温和	当前生命低于最大生命80%时，受到的最终伤害降低{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4540	囤积·射击	弹匣内每有1颗子弹，射击伤害提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4541	射击·随性	非瞄准射击伤害提升{1}%，武器稳定性提升{2}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4542	追击·射击	连续射击命中同一目标5次时，射击对其额外造成攻击力{1}%的高热类型伤害并将其击退，切换目标时计数重置	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4543	技能·循环	使用主动技能消耗的常规能量，按{1}%的比例转化为爆发能量；使用主动技能消耗的爆发能量，按{2}%的比例转化为常规能量	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4544	技能·克扣	使用常规技或爆发技后，对应能量储备低于上限{1}%时，则有{2}%概率返还本次消耗能量{3}%的对应能量	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4545	技能·装填	使用主动技能立即补充弹容{1}%的子弹	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4546	代价·报复	射击伤害提升{1}%，每次射击消耗当前生命的5%，同时获得1层【积怨】效果，叠加至5层时下次射击造成的伤害提升{2}%，并回复本次伤害10%的生命	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4547	技能·控制	技能命中处于控制状态下的目标或造成控制效果时，额外造成1次目标{1}%最大生命的真实伤害，触发间隔3秒	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4548	常规扩容（旧）	弹匣容量提升{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4549	技能强化（旧）	常规技能伤害提升{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4550	代价·循环	当前生命低于最大生命50%时，所有技能伤害提升{1}%，技能急速提升{2}%，且每秒额外获得{3}常规能量	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4551	护盾·夺取	每当造成伤害时，获得{1}%最大生命的护盾，护盾最多可叠加至{2}层，每秒自然减少{3}层	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4552	护盾·进攻	攻击力增加当前护盾的{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4553	射击·愈烈	持续射击超过1秒后获得【愈烈】效果：射击速度提升{1}%，每次射击命中使攻击力提升{2}%，至多提升{3}%，退出持续射击状态移除该效果	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4554	射击·耗能	射击消耗1爆发能量，使该次射击伤害提升{1}%	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4555	耐力·流转	常规能量回复速度提升{1}%，耐力回复速度也大幅提升	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4556	技能·互补	使用常规技或支援技后，爆发技使用间隔减少{1}秒；使用爆发技后，刷新常规技和支援技剩余的使用间隔	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4557	全面适配（旧）	所有元素类型的伤害增加{1}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4558	巅峰时刻（旧）	使用爆发技后，获得霸体效果，持续{1}秒，期间造成的伤害提升{2}%，受到的伤害降低{3}%	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4559	射击·失衡	造成射击伤害时，自身技能伤害提升{1}%，造成技能伤害时，则射击伤害提升{2}%，持续5秒；同时拥有这两个效果时，则二者提供的加成均翻倍	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4560	代价·进阶	基于当前生命获得强化，低于80%时获得【愤】：护盾获取效能提升{1}%，低于50%时获得【怒】：射击速度提升{2}%且技能急速提升{3}，低于30%时说的【狂】：攻击力提高{4}%，以上效果可同时存在	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4561	代价·反击	队员受到致命伤害时不会倒下并进入【绝命】状态：获得持续10秒的无敌状态，且接下来10秒内射击速度提升{1}%，触发间隔60秒	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4562	代价·循序	进入战斗状态后自身生命每秒降低5%，但造成的全类型伤害提升{1}%，队员不会因该效果倒下，离开战斗状态若当前生命低于50%则每秒回复5%最大生命	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4563	弹匣·持续	持续射击状态下，弹容提升{1}%，且每2秒装填{2}%子弹，退出持续射击状态则移除效果	1	0	100	100	100	100	100	100	100	100	100	100	100	100
4564	弹匣·追伤	通过射击击败目标后{1}秒内射击不消耗子弹，同时每次射击附带1次当前弹匣容量*{2}%攻击力的高热类型伤害	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4565	持续·破防	连续射击状态下每0.2秒积叠1次【管火】效果，每层使射击速度额外提升{1}%，最多叠加50层，叠加至满层时获得【过热】效果：射击无视目标{2}%防御力；换弹或退出连续射击状态移除所有层数	1	0	100	100	100	100	100	100	100	100	100	100	100	100
