BufferID	描述备注	类型备注	类型	参数1	参数2	参数3	参数4				
BufferID	DesComment	TypeComment	Type	Param1	Param2	Param3	Param4				
4000	红色祖玛加分1	红色祖玛的基础得分+10	1	0	1	10					
4001	红色祖玛加分2	红色祖玛的基础得分+20	1	0	1	20			四种颜色	红蓝绿黄(0/1/2/3)	
4002	红色祖玛加分3	红色祖玛的基础得分+30	1	0	1	30			乘区类型	1-基础分数增加N 2-加N倍 3-乘N倍	
4003	红色祖玛加分4	红色祖玛的基础得分+2倍	1	0	2	2					
4004	红色祖玛加分5	红色祖玛的基础得分+4倍	1	0	2	4			类型	说明	参数
4005	红色祖玛加分6	红色祖玛的基础得分+6倍	1	0	2	6			1	基础得分加成	{颜色,乘区类型,加成参数}
4006	红色祖玛加分7	红色祖玛的基础得分*2倍	1	0	3	2			2	完成连续三消时，积分增加(废弃，用11来替代)	{乘区类型,加成参数}
4007	红色祖玛加分8	红色祖玛的基础得分*3倍	1	0	3	3			3	消灭单个祖玛获得的积分增加，可累计	{积分加成}
4008	红色祖玛加分9	红色祖玛的基础得分*4倍	1	0	3	4			4	连续消灭指定颜色的祖玛积分增加	{颜色,积分加成}
4009	蓝色祖玛加分1	蓝色祖玛的基础得分+10	1	1	1	10			5	特殊祖玛积分加成	{积分加成}
4010	蓝色祖玛加分2	蓝色祖玛的基础得分+20	1	1	1	20			6	消除时同色祖玛需要数量-1	{}
4011	蓝色祖玛加分3	蓝色祖玛的基础得分+30	1	1	1	30			7	消除时同色祖玛需要数量+1，积分提高	{乘区类型,加成参数}
4012	蓝色祖玛加分4	蓝色祖玛的基础得分+2倍	1	1	2	2			8	完成连续消除时，会生成一个特殊祖玛，并且特殊祖玛的分数会提高	{积分加成}
4013	蓝色祖玛加分5	蓝色祖玛的基础得分+4倍	1	1	2	4			9	使指定颜色的祖玛视为其他所有颜色	{颜色}
4014	蓝色祖玛加分6	蓝色祖玛的基础得分+6倍	1	1	2	6			10	两个指定的颜色视为同一种颜色	{颜色1,颜色2,乘区类型，加成参数}
4015	蓝色祖玛加分7	蓝色祖玛的基础得分*2倍	1	1	3	2			11	连击时额外积分提高	{乘区类型,加成参数}
4016	蓝色祖玛加分8	蓝色祖玛的基础得分*3倍	1	1	3	3			12	连击时添加buff	{ModifierID, 是否消除数量相关(0/1)}
4017	蓝色祖玛加分9	蓝色祖玛的基础得分*4倍	1	1	3	4			13	爆炸祖玛消除数量提升	{提升数量}
