组Id	解锁交互物	重置类型（0/不填不重置 1每日重置 2每次进入重置
GroupId	UnlockInteraction	ResetType
101		2
102		2
103		2
104	89	1
105		2
106		2
107		2
108		2
109		2
802	123	1
801	303	1
803		2
201	8	1
202		2
203	11	1
204		2
205		2
206		1
301	372	1
302		2
303		2
304		2
305		2
306		2
307		2
308		2
309		1
401		2
402		2
403		2
404		2
405		2
406	253	1
407		2
408	254	1
409		2
501		1
502	265	1
503		2
504		2
505		2
901		2
902	210	1
903	72	1
904		2
905	129	1
906	152	1
907		2
908		2
909		2
910	130	1
911		2
912		2
913		2
914		2
915		2
916	205	1
917		2
918		2
1301	207	1
1302	208	1
1303	206	1
1304		2
1305	209	1
1306		2
1307		2
1401		2
1402		2
603	19	1
601	22	1
602	172	1
604		2
605		2
701	46	1
702	121	1
703	289	1
704		2
705		2
706		2
707		2
708		2
709		2
710	402	1
