Id	组Id	点名	位置	任务区域	怪物Id	所属设计区域	特殊奖励	任务ID(对应task开启时不刷）
Index	GroupId	PointName	Position	RegionId	MonId	DRegion	DropGroup	TaskId
1	101	mon01_1_1	{28273.5,22202.1,229.4}	0	400130101	1	0	
2	101	mon01_1_2	{27643.6,21713.4,242.4}	0	400130101	1	0	
3	102	mon01_2_1	{23638.4,17070.3,887.7}	0	400130301	1	0	
4	102	mon01_2_2	{23497.5,18531.0,1110.5}	0	400130101	1	0	
5	102	mon01_2_3	{23057.7,17971.5,864.1}	0	400130101	1	0	
6	103	mon01_3_1	{26514.3,23227.2,1058.7}	0	400130301	1	0	
7	103	mon01_3_2	{26235.5,22819.4,1058.6}	0	400130301	1	0	
8	104	mon01_4_1	{18658.8,11473.4,2710.4}	0	500130501	1	0	
9	104	mon01_4_2	{17764.8,10114.2,2869.1}	0	400130101	1	0	
10	104	mon01_4_3	{18786.3,10741.9,2769.3}	0	400130101	1	0	
11	104	mon01_4_4	{18398.2,11295.5,2786.0}	0	400130101	1	0	
12	105	mon01_5_1	{20653.8,18507.1,2232.2}	0	400130301	1	0	
13	105	mon01_5_2	{20966.3,18973.9,2276.9}	0	400130301	1	0	
14	106	mon01_6_1	{18472.1,17511.6,2317.4}	0	400130401	1	0	
15	107	mon01_7_1	{32245.8,14582.3,202.0}	0	400130601	1	0	
16	107	mon01_7_2	{32227.2,14858.5,129.6}	0	400130601	1	0	
17	108	mon01_8_1	{22931.1,9882.4,1553.3}	0	400130601	1	0	
18	108	mon01_8_2	{23194.9,9393.5,1557.0}	0	400130601	1	0	
19	108	mon01_8_3	{22976.0,10504.0,1557.0}	0	400130601	1	0	
20	109	mon01_9_1	{23413.0,5474.2,2055.9}	0	400130101	1	0	
21	109	mon01_9_2	{23381.6,5780.3,2055.9}	0	400130101	1	0	
22	201	mon02_1_1	{10492.2,-6228.0,1210.1}	0	500130201	2	0	
23	201	mon02_1_2	{9810.2,-6509.6,1172.9}	0	400130101	2	0	
24	201	mon02_1_3	{10496.3,-7009.9,1170.1}	0	400130101	2	0	
25	201	mon02_1_4	{11145.9,-6550.8,1170.1}	0	400130101	2	0	
26	202	mon02_2_1	{17624.2,-5009.1,244.0}	0	400130401	2	0	
27	202	mon02_2_2	{18251.2,-5149.6,244.0}	0	400130401	2	0	
28	203	mon02_3_1	{21724.9,-11869.6,243.0}	0	500201003	2	0	
29	203	mon02_3_2	{22579.7,-11581.2,243.0}	0	500101002	2	0	
30	203	mon02_3_3	{22661.2,-12238.2,243.0}	0	400100403	2	0	
31	203	mon02_3_4	{21762.3,-11166.9,243.0}	0	400100403	2	0	
32	203	mon02_3_5	{22720.6,-10815.4,243.0}	0	400100403	2	0	
33	203	mon02_3_6	{22496.0,-12815.5,497.2}	0	4001002	2	0	
34	204	mon02_4_1	{25519.6,-7744.3,520.6}	0	4002002	2	0	
35	204	mon02_4_2	{25904.5,-7421.3,66.8}	0	4003007	2	0	
36	204	mon02_4_3	{25523.3,-7243.0,66.8}	0	4003007	2	0	
37	205	mon02_5_1	{26818.8,-15077.5,535.5}	0	4001002	2	0	
