怪物Id	货币掉落量	共振率掉落率	是不是巡逻怪
Id	DropMoney	DropGZ	IsPatrol
3	100	0	0
4	100	0	0
5	100	0	0
4001002	15	0	1
4001003	15	0	0
4001004	15	0	1
4001005	15	0	1
4002002	15	0	1
4002003	15	0	1
4002004	15	0	1
4003007	15	0	1
5001001	40	0	1
5001010	40	0	1
5002010	40	0	1
400100304	15	0	1
400100403	15	0	1
400100601	15	0	1
400130101	15	0	1
400130301	15	0	1
400130401	15	0	1
400130601	15	0	1
400130602	15	0	1
400190802	15	0	1
500101002	40	0	1
500130201	40	0	1
500130501	40	0	1
500130701	40	0	1
500130801	40	0	1
500130901	40	0	1
500201003	40	0	1
