区域名	位置	盒体范围	旋转	顶点A	顶点B	顶点C	顶点D	半径	类型(见region_type_define.txt)	对应的配置Id	形状(1-矩形;2-圆)	区域Id
Name	Pos	BoxExtent	Rot	VertexA	VertexB	VertexC	VertexD	Radius	Type	Index	Shape	RegionId
darkzoneboxtrigger	{9430.0,0.0,0.0}	{58000.0,58000.0,5000.0}	{0.0,0.0,0.0}	{67430.0,58000.0,5000.0}	{-48570.0,58000.0,0.0}	{-48570.0,-58000.0,-5000.0}	{67430.0,-58000.0,0.0}	0.000000	10	91861	1	0
darkzonetaskregionentry11	{31320.81,11703.11,127.19}	{1862.5,3087.5,1362.5}	{0.0,0.0,0.0}	{33183.31,14790.61,1489.69}	{29458.31,14790.61,127.19}	{29458.31,8615.61,-1235.3}	{33183.31,8615.61,127.19}	0.000000	1	11	1	11
darkzonetaskregionentry12	{20577.15,22224.07,2120.55}	{3262.5,3425.0,1362.5}	{0.0,0.0,0.0}	{23839.65,25649.07,3483.05}	{17314.65,25649.07,2120.55}	{17314.65,18799.07,758.05}	{23839.65,18799.07,2120.55}	0.000000	1	12	1	12
darkzonetaskregionentry131	{13940.47,17943.24,3004.56}	{4450.0,3687.5,1987.5}	{0.0,0.0,0.0}	{18390.47,21630.74,4992.06}	{9490.47,21630.74,3004.56}	{9490.47,14255.74,1017.06}	{18390.47,14255.74,3004.56}	0.000000	1	131	1	131
darkzonetaskregionentry132	{14106.07,29042.07,3004.56}	{4862.5,6700.0,1987.5}	{0.0,0.0,0.0}	{18968.57,35742.07,4992.06}	{9243.57,35742.07,3004.56}	{9243.57,22342.07,1017.06}	{18968.57,22342.07,3004.56}	0.000000	1	132	1	132
darkzonetaskregionentry133	{17035.73,24196.57,3004.54}	{2800.0,4837.5,1987.5}	{0.0,0.0,0.0}	{19835.73,29034.07,4992.04}	{14235.73,29034.07,3004.54}	{14235.73,19359.07,1017.04}	{19835.73,19359.07,3004.54}	0.000000	1	132	1	132
darkzonetaskregionentry134	{18052.53,18697.95,3004.56}	{2125.0,3362.5,1987.5}	{0.0,0.0,0.0}	{20177.53,22060.45,4992.06}	{15927.53,22060.45,3004.56}	{15927.53,15335.45,1017.06}	{20177.53,15335.45,3004.56}	0.000000	1	132	1	132
darkzonetaskregionentry135	{10667.86,23696.46,3004.56}	{6650.0,2175.0,5725.0}	{0.0,0.0,0.0}	{17317.86,25871.46,8729.56}	{4017.86,25871.46,3004.56}	{4017.86,21521.46,-2720.43}	{17317.86,21521.46,3004.56}	0.000000	1	132	1	132
darkzonetaskregionentry136	{14217.93,20550.49,3004.56}	{2412.5,1937.5,1987.5}	{0.0,0.0,0.0}	{16630.43,22487.99,4992.06}	{11805.43,22487.99,3004.56}	{11805.43,18612.99,1017.06}	{16630.43,18612.99,3004.56}	0.000000	1	132	1	132
darkzonetaskregionentry21	{22244.83,1176.7,2612.99}	{975.0,900.0,325.0}	{0.0,0.0,0.0}	{23219.83,2076.7,2937.99}	{21269.83,2076.7,2612.99}	{21269.83,276.7,2287.99}	{23219.83,276.7,2612.99}	0.000000	1	21	1	21
darkzonetaskregionentry22	{26824.57,-23584.78,439.58}	{1050.0,1887.5,325.0}	{0.0,0.0,0.0}	{27874.57,-21697.28,764.58}	{25774.57,-21697.28,439.58}	{25774.57,-25472.28,114.58}	{27874.57,-25472.28,439.58}	0.000000	1	22	1	22
darkzonetaskregionentry51	{2149.75,-18863.31,6226.45}	{2050.0,1800.0,325.0}	{0.0,0.0,0.0}	{4199.75,-17063.31,6551.45}	{99.75,-17063.31,6226.45}	{99.75,-20663.31,5901.45}	{4199.75,-20663.31,6226.45}	0.000000	1	51	1	51
darkzonetaskregionentry53	{-25393.85,-32416.99,567.71}	{3000.0,3000.0,987.5}	{0.0,0.0,0.0}	{-22393.85,-29416.99,1555.21}	{-28393.85,-29416.99,567.71}	{-28393.85,-35416.99,-419.78}	{-22393.85,-35416.99,567.71}	0.000000	1	63	1	63
darkzonetaskregionentry54	{-10183.84,-40166.99,147.71}	{2500.0,1750.0,987.5}	{0.0,0.0,0.0}	{-7683.84,-38416.99,1135.21}	{-12683.85,-38416.99,147.71}	{-12683.85,-41916.99,-839.78}	{-7683.84,-41916.99,147.71}	0.000000	1	62	1	62
darkzonetaskregionentry55	{-16191.96,-16150.22,228.19}	{3250.0,3250.0,2500.0}	{0.0,0.0,0.0}	{-12941.96,-12900.22,2728.19}	{-19441.96,-12900.22,228.19}	{-19441.96,-19400.22,-2271.8}	{-12941.96,-19400.22,228.19}	0.000000	1	72	1	72
darkzonetaskregionentry91	{-15473.14,37949.39,3004.56}	{5162.5,4387.5,1987.5}	{0.0,0.0,0.0}	{-10310.64,42336.9,4992.06}	{-20635.64,42336.9,3004.56}	{-20635.64,33561.89,1017.06}	{-10310.64,33561.89,3004.56}	0.000000	1	91	1	91
darkzonetaskregionentry92	{194.4,30892.37,2343.5}	{3912.5,3850.0,2787.5}	{0.0,0.0,0.0}	{4106.9,34742.37,5131.0}	{-3718.09,34742.37,2343.5}	{-3718.09,27042.37,-443.99}	{4106.9,27042.37,2343.5}	0.000000	1	92	1	92
darkzonetaskregionexit11	{31359.73,11798.63,-5.4}	{2675.0,3850.0,200000.0}	{0.0,0.0,0.0}	{34034.73,15648.63,199994.6}	{28684.73,15648.63,-5.4}	{28684.73,7948.63,-200005.4}	{34034.73,7948.63,-5.4}	0.000000	2	11	1	11
