技能ID	注释	节点ID1	节点ID2	节点ID3	节点ID4	节点ID5	节点ID6
skillID	des	nodeID1	nodeID2	nodeID3	nodeID4	nodeID5	nodeID6
1001101	安卡希雅技能	100011	100012				
1001401	安卡希雅连携技	100013	100014				
1001301	安卡希雅大招	100015	100016				
1002201	星期三技能	100021	100022				
1002401	星期三连携技	100023	100024				
1002301	星期三大招	100025	100026				
1102101	狂猎技能	100111	100112				
1102401	狂猎连携技	100113	100114				
1102301	狂猎大招	100115	100116				
1003202	丽达2技能	100031	100032				
1003401	丽达连携技	100033	100034				
1003301	丽达大招	100035	100036				
1004201	普罗米2技能	100041	100042				
1004401	普罗米连携技	100043	100044				
1004301	普罗米大招	100045	100046				
1005101	茉莉安2技能	100051	100052				
1005401	茉莉安连携技	100053	100054				
1005301	茉莉安大招	100055	100056				
1105101	雨燕2技能	100061	100062				
1105201	雨燕连携技	100063	100064				
1105301	雨燕大招	100065	100066				
1006201	提尔2技能	100071	100072				
1006401	提尔连携技	100073	100074				
1006301	提尔大招	100075	100076				
1007201	琴诺2技能	100081	100082				
1007401	琴诺连携技	100083	100084				
1007301	琴诺大招	100085	100086				
1008201	芬妮2技能	100091	100092				
1008401	芬妮连携技	100093	100094				
1008301	芬妮大招	100095	100096				
1010101	肴2技能	100121	100122				
1010401	肴连携技	100123	100124				
1010301	肴大招	100125	100126				
1011101	恩雅技能	100131	100132				
1011401	恩雅连携技	100133	100134				
1011301	恩雅大招	100135	100136				
1104101	缄默技能	100141	100142				
1104401	缄默连携技	100143	100144				
1104301	缄默大招	100145	100146				
1101101	辉夜技能	100151	100152				
1101401	辉夜连携技	100153	100154				
1101301	辉夜大招	100155	100156				
1108101	咎冠技能	100161	100162				
1108401	咎冠连携技	100163	100164				
1108301	咎冠大招	100165	100166				
1110101	冬至技能	100171	100172				
1110401	冬至连携技	100173	100174				
1110301	冬至大招	100175	100176				
1012101	猫技能	100181	100182				
1012401	猫连携技	100183	100184				
1012301	猫大招	100185	100186				
1014201	辰星技能	100201	100202				
1014401	辰星连携技	100203	100204				
1014301	辰星大招	100205	100206				
1013101	瑟瑞斯常规技	100191	100192				
1013401	瑟瑞斯支援技	100193	100194				
1013301	瑟瑞斯大招	100195	100196				
1114101	云篆技能	100211	100212				
1114401	云篆连携技	100213	100214				
1114301	云篆大招	100215	100216				
1106101	藏锋技能	100221	100222				
1106401	藏锋连携技	100223	100224				
1106301	藏锋大招	100225	100226				
1112101	溯影技能	100231	100232				
