ID	注释	神经解锁条件配置	神经1节点消耗及解锁条件	神经2节点消耗及解锁条件	神经3节点消耗及解锁条件	神经4节点消耗及解锁条件	神经5节点消耗及解锁条件	神经6节点消耗及解锁条件	1星神经	1星神经描述	2星神经	2星神经描述	3星神经	3星神经描述	4星神经	4星神经描述	5星神经	5星神经描述	6星神经	6星神经描述
ID	Comment	SpineReq	Node1Req	Node2Req	Node3Req	Node4Req	Node5Req	Node6Req	Spine1	Spine1Des	Spine2	Spine2Des	Spine3	Spine3Des	Spine4	Spine4Des	Spine5	Spine5Des	Spine6	Spine6Des
10001	安卡希雅-「不予显示」	10001	20001	20002	20003	20004	20005	20006	100011	100011	100012	100012	100013	100013	100014	100014	100015	100015	100016	100016
10002	里芙-星期三	10001	20001	20002	20003	20004	20005	20006	100021	100021	100022	100022	100023	100023	100024	100024	100025	100025	100026	100026
10003	妮塔-四手	10001	20001	20002	20003	20004	20005	20006	100031	100031	100032	100032	100033	100033	100034	100034	100035	100035	100036	100036
10004	芙提雅-小太阳	10001	20001	20002	20003	20004	20005	20006	100041	100041	100042	100042	100043	100043	100044	100044	100045	100045	100046	100046
10005	茉莉安-绷带小姐	10001	20001	20002	20003	20004	20005	20006	100051	100051	100052	100052	100053	100053	100054	100054	100055	100055	100056	100056
10006	茉莉安-雨燕形态	10001	20007	20008	20009	20010	20011	20012	100061	100061	100062	100062	100063	100063	100064	100064	100065	100065	100066	100066
10007	鸣濑晴-旧日王牌	10001	20001	20002	20003	20004	20005	20006	100071	100071	100072	100072	100073	100073	100074	100074	100075	100075	100076	100076
10008	琴诺-双面	10001	20001	20002	20003	20004	20005	20006	100081	100081	100082	100082	100083	100083	100084	100084	100085	100085	100086	100086
10009	芬妮-黄金狮子	10001	20001	20002	20003	20004	20005	20006	100091	100091	100092	100092	100093	100093	100094	100094	100095	100095	100096	100096
																				
10011	里芙-狂猎形态	10001	20007	20008	20009	20010	20011	20012	100111	100111	100112	100112	100113	100113	100114	100114	100115	100115	100116	100116
10012	肴-养生专家	10001	20001	20002	20003	20004	20005	20006	100121	100121	100122	100122	100123	100123	100124	100124	100125	100125	100126	100126
10013	恩雅-姐姐大人	10001	20001	20002	20003	20004	20005	20006	100131	100131	100132	100132	100133	100133	100134	100134	100135	100135	100136	100136
10014	芙提雅-缄默形态	10001	20007	20008	20009	20010	20011	20012	100141	100141	100142	100142	100143	100143	100144	100144	100145	100145	100146	100146
10015	安卡希雅-辉夜形态	10001	20007	20008	20009	20010	20011	20012	100151	100151	100152	100152	100153	100153	100154	100154	100155	100155	100156	100156
10016	芬妮-咎冠	10001	20007	20008	20009	20010	20011	20012	100161	100161	100162	100162	100163	100163	100164	100164	100165	100165	100166	100166
10017	肴-冬至	10001	20007	20008	20009	20010	20011	20012	100171	100171	100172	100172	100173	100173	100174	100174	100175	100175	100176	100176
10018	猫汐尔	10001	20001	20002	20003	20004	20005	20006	100181	100181	100182	100182	100183	100183	100184	100184	100185	100185	100186	100186
10019	瑟瑞斯-小金鱼	10001	20001	20002	20003	20004	20005	20006	100191	100191	100192	100192	100193	100193	100194	100194	100195	100195	100196	100196
10020	姬辰星	10001	20001	20002	20003	20004	20005	20006	100201	100201	100202	100202	100203	100203	100204	100204	100205	100205	100206	100206
10021	云篆	10001	20007	20008	20009	20010	20011	20012	100211	100211	100212	100212	100213	100213	100214	100214	100215	100215	100216	100216
10022	鸣濑晴-藏锋	10001	20007	20008	20009	20010	20011	20012	100221	100221	100222	100222	100223	100223	100224	100224	100225	100225	100226	100226
10023	溯影	10001	20007	20008	20009	20010	20011	20012	100231	100231	100232	100232	100233	100233	100234	100234	100235	100235	100236	100236
10024	苔丝	10001	20007	20008	20009	20010	20011	20012	100241	100241	100242	100242	100243	100243	100244	100244	100245	100245	100246	100246
10025	凯西娅	10001	20007	20008	20009	20010	20011	20012	100251	100251	100252	100252	100253	100253	100254	100254	100255	100255	100256	100256
10026	伊切尔	10001	20007	20008	20009	20010	20011	20012	100261	100261	100262	100262	100263	100263	100264	100264	100265	100265	100266	100266
10027	琴诺-悖谬	10001	20007	20008	20009	20010	20011	20012	100271	100271	100272	100272	100273	100273	100274	100274	100275	100275	100276	100276
10028	恩雅-羽蜕	10001	20007	20008	20009	20010	20011	20012	100281	100281	100282	100282	100283	100283	100284	100284	100285	100285	100286	100286
10029	瑟瑞斯-瞬刻	10001	20007	20008	20009	20010	20011	20012	100291	100291	100292	100292	100293	100293	100294	100294	100295	100295	100296	100296
10030	里芙-无限之视	10001	20007	20008	20009	20010	20011	20012	100301	100301	100302	100302	100303	100303	100304	100304	100305	100305	100306	100306
10031	芬妮-辉耀	10001	20007	20008	20009	20010	20011	20012	100311	100311	100312	100312	100313	100313	100314	100314	100315	100315	100316	100316
10032	薇蒂雅	10001	20007	20008	20009	20010	20011	20012	100321	100321	100322	100322	100323	100323	100324	100324	100325	100325	100326	100326
10033	朝翼	10001	20007	20008	20009	20010	20011	20012	100331	100331	100332	100332	100333	100333	100334	100334	100335	100335	100336	100336
10034	幽潮	10001	20007	20008	20009	20010	20011	20012	100341	100341	100342	100342	100343	100343	100344	100344	100345	100345	100346	100346
10035	驰掣	10001	20007	20008	20009	20010	20011	20012	100351	100351	100352	100352	100353	100353	100354	100354	100355	100355	100356	100356
10036	卜卜	10001	20007	20008	20009	20010	20011	20012	100361	100361	100362	100362	100363	100363	100364	100364	100365	100365	100366	100366
10037	琼弦	10001	20007	20008	20009	20010	20011	20012	100371	100371	100372	100372	100373	100373	100374	100374	100375	100375	100376	100376
10038	夜天光	10001	20007	20008	20009	20010	20011	20012	100381	100381	100382	100382	100383	100383	100384	100384	100385	100385	100386	100386
10039	澜风	10001	20007	20008	20009	20010	20011	20012	100391	100391	100392	100392	100393	100393	100394	100394	100395	100395	100396	100396
10040	悸响	10001	20007	20008	20009	20010	20011	20012	100401	100401	100402	100402	100403	100403	100404	100404	100405	100405	100406	100406
10041	奈莉德	10001	20007	20008	20009	20010	20011	20012	100411	100411	100412	100412	100413	100413	100414	100414	100415	100415	100416	100416
10042	天鹅座	10001	20007	20008	20009	20010	20011	20012	100421	100421	100422	100422	100423	100423	100424	100424	100425	100425	100426	100426
10043	狂诗	10001	20007	20008	20009	20010	20011	20012	100431	100431	100432	100432	100433	100433	100434	100434	100435	100435	100436	100436
10044	绮幻	10001	20007	20008	20009	20010	20011	20012	100441	100441	100442	100442	100443	100443	100444	100444	100445	100445	100446	100446
10045	克罗瑞娜	10001	20007	20008	20009	20010	20011	20012	100451	100451	100452	100452	100453	100453	100454	100454	100455	100455	100456	100456
10046	澄意	10001	20007	20008	20009	20010	20011	20012	100461	100461	100462	100462	100463	100463	100464	100464	100465	100465	100466	100466
10047	悠游	10001	20007	20008	20009	20010	20011	20012	100471	100471	100472	100472	100473	100473	100474	100474	100475	100475	100476	100476
10048	米娅	10001	20007	20008	20009	20010	20011	20012	100481	100481	100482	100482	100483	100483	100484	100484	100485	100485	100486	100486
10049	霆光	10001	20007	20008	20009	20010	20011	20012	100491	100491	100492	100492	100493	100493	100494	100494	100495	100495	100496	100496
