特性ID	注释	特性标题	特性描述	特性图标
PeculiarityID	Comment	Title	Des	Icon
1	可破坏部位	ui.TxtMonsterIntroTitle1	ui.TxtMonsterIntro1	1001154
2	不可破坏部位	ui.TxtMonsterIntroTitle2	ui.TxtMonsterIntro2	1001153
3	弱点部位	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro3	1001152
4	低效部位	ui.TxtMonsterIntroTitle4	ui.TxtMonsterIntro4	1001151
5	外甲	ui.TxtMonsterIntroTitle5	ui.TxtMonsterIntro5	1001155
6	通常护盾	ui.TxtMonsterIntroTitle6	ui.TxtMonsterIntro6	1001150
7	抗性类型	ui.TxtMonsterIntroTitle7	ui.TxtMonsterIntro7	1001149
8	头颈躯干	ui.TxtMonsterIntroTitle8		1001179
9	肢体	ui.TxtMonsterIntroTitle9		1001180
10	功能部位	ui.TxtMonsterIntroTitle10		1001181
11	阶段	ui.TxtMonsterIntroTitle11		1001182
12	殖甲	ui.TxtMonsterIntroTitle12		1001183
13	能质护盾	ui.TxtMonsterIntroTitle13	ui.TxtMonsterIntro8	1001150
14	高密通常护盾	ui.TxtMonsterIntroTitle14	ui.TxtMonsterIntro9	1001150
15	高淬能质护盾	ui.TxtMonsterIntroTitle15	ui.TxtMonsterIntro10	1001150
101	对应BOSS——约瑟夫	ui.TxtMonsterIntroTitle5	ui.TxtMonsterIntro101	1001155
102	对应BOSS——约瑟夫	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro102	1001182
201	对应BOSS——爱思特	ui.TxtMonsterIntroTitle5	ui.TxtMonsterIntro201	1001155
202	对应BOSS——爱思特	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro202	1001152
301	对应BOSS——二型验证机甲	ui.TxtMonsterIntroTitle9	ui.TxtMonsterIntro301	1001180
302	对应BOSS——二型验证机甲	ui.TxtMonsterIntroTitle10	ui.TxtMonsterIntro302	1001181
303	对应BOSS——二型验证机甲	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro303	1001179
401	对应BOSS——二型验证机甲·荒猎	ui.TxtMonsterIntroTitle9	ui.TxtMonsterIntro401	1001180
402	对应BOSS——二型验证机甲·荒猎	ui.TxtMonsterIntroTitle10	ui.TxtMonsterIntro402	1001181
403	对应BOSS——二型验证机甲·荒猎	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro403	1001179
501	对应BOSS——加文	ui.TxtMonsterIntroTitle6	ui.TxtMonsterIntro501	1001150
502	对应BOSS——加文	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro502	1001152
503	对应BOSS——加文	ui.TxtMonsterIntroTitle5	ui.TxtMonsterIntro503	1001155
601	对应BOSS——波伏娃13	ui.TxtMonsterIntroTitle6	ui.TxtMonsterIntro601	1001150
602	对应BOSS——波伏娃13	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro602	1001152
701	对应BOSS——让·苏瑞安·萨特	ui.TxtMonsterIntroTitle6	ui.TxtMonsterIntro701	1001150
702	对应BOSS——让·苏瑞安·萨特	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro702	1001152
703	对应BOSS——让·苏瑞安·萨特	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro703	1001182
801	对应BOSS——尤弥尔	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro801	1001179
802	对应BOSS——尤弥尔	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro802	1001182
901	对应BOSS——海拉	ui.TxtMonsterIntroTitle9	ui.TxtMonsterIntro901	1001180
902	对应BOSS——海拉	ui.TxtMonsterIntroTitle10	ui.TxtMonsterIntro902	1001181
903	对应BOSS——海拉	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro903	1001179
1001	对应BOSS——海拉·怒棘	ui.TxtMonsterIntroTitle9	ui.TxtMonsterIntro1001	1001180
1002	对应BOSS——海拉·怒棘	ui.TxtMonsterIntroTitle10	ui.TxtMonsterIntro1002	1001181
1003	对应BOSS——海拉·怒棘	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro1003	1001179
1101	对应BOSS——刻耳柏洛斯	ui.TxtMonsterIntroTitle8	ui.TxtMonsterIntro1101	1001179
1102	对应BOSS——刻耳柏洛斯	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1102	1001182
1201	对应BOSS——祟·焚风	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro1201	1001152
1202	对应BOSS——祟·焚风	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1202	1001182
1203	对应BOSS——祟·焚风	ui.TxtMonsterIntroTitle12	ui.TxtMonsterIntro1203	1001183
1301	对应BOSS——威尔·安德森	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro1301	1001152
1302	对应BOSS——威尔·安德森	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1302	1001182
1401	对应BOSS——祟·寒潮	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro1401	1001152
1402	对应BOSS——祟·寒潮	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1402	1001182
1403	对应BOSS——祟·寒潮	ui.TxtMonsterIntroTitle12	ui.TxtMonsterIntro1403	1001183
1501	对应BOSS——凯茜娅	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro1501	1001152
1502	对应BOSS——凯茜娅	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1502	1001182
1601	对应BOSS——透墨索斯	ui.TxtMonsterIntroTitle3	ui.TxtMonsterIntro1601	1001152
1602	对应BOSS——透墨索斯	ui.TxtMonsterIntroTitle5	ui.TxtMonsterIntro1602	1001155
1603	对应BOSS——透墨索斯	ui.TxtMonsterIntroTitle11	ui.TxtMonsterIntro1603	1001182
