任务Id	任务类型（1防御目标波数，2关卡星级任务）	任务参数（防御目标填波数 ）	奖励{{g,d,p,l}, ..}
Id	Type	Param	Award
1	1	1	{{5,29,3,1,5},{4,3,1,1,1500}}
2	1	2	{{5,29,3,1,5},{4,3,1,1,1500}}
3	1	3	{{5,29,3,1,5},{4,3,1,1,1500}}
4	1	4	{{5,29,3,1,5},{4,3,1,1,1500}}
5	1	5	{{5,29,3,1,5},{4,3,1,1,1500}}
6	1	6	{{5,29,3,1,5},{4,3,1,1,1500}}
7	1	7	{{5,29,3,1,5},{4,3,1,1,1500}}
8	1	8	{{5,29,3,1,5},{4,3,1,1,1500}}
9	1	9	{{5,29,3,1,5},{4,3,1,1,1500}}
10	1	10	{{5,29,3,1,5},{4,3,1,1,2000}}
11	1	11	{{5,29,3,1,5},{4,3,1,1,2000}}
12	1	12	{{5,29,3,1,5},{4,3,1,1,2000}}
13	1	13	{{5,29,3,1,5},{4,3,1,1,2000}}
14	1	14	{{5,29,3,1,5},{4,3,1,1,2000}}
15	1	15	{{5,29,3,1,5},{4,3,1,1,2000}}
16	1	16	{{5,29,3,1,5},{4,3,1,1,2000}}
17	1	17	{{5,29,3,1,5},{4,3,1,1,2000}}
18	1	18	{{5,29,3,1,5},{4,3,1,1,3000}}
19	1	19	{{5,29,3,1,5},{4,3,1,1,3000}}
20	1	20	{{5,29,3,1,5},{4,3,1,1,3000}}
21	1	21	{{5,29,3,1,5},{4,3,1,1,3000}}
22	1	22	{{5,29,3,1,5},{4,3,1,1,3000}}
23	1	23	{{5,29,3,1,5},{4,3,1,1,3000}}
24	1	24	{{5,29,3,1,5},{4,3,1,1,3000}}
25	1	25	{{5,29,3,1,5},{4,3,1,1,1000}}
26	1	26	{{5,29,3,1,5},{4,3,1,1,1000}}
27	1	27	{{5,29,3,1,5},{4,3,1,1,1000}}
28	1	28	{{5,29,3,1,5},{4,3,1,1,1000}}
29	1	29	{{5,29,3,1,5},{4,3,1,1,1000}}
30	1	30	{{5,29,3,1,5},{4,3,1,1,1000}}
31	1	31	{{4,3,1,1,500}}
32	1	32	{{4,3,1,1,500}}
33	1	33	{{4,3,1,1,500}}
34	1	34	{{4,3,1,1,500}}
35	1	35	{{4,3,1,1,500}}
36	1	36	{{4,3,1,1,500}}
37	1	37	{{4,3,1,1,500}}
38	1	38	{{4,3,1,1,500}}
39	1	39	{{4,3,1,1,500}}
40	1	40	{{4,3,1,1,500}}
41	1	41	{{4,3,1,1,500}}
42	1	42	{{4,3,1,1,500}}
