关卡唯一Id	难度	地图ID，对应Map.txt中的关卡ID	关卡目标{1,2}(level_target.txt)	星级条件 {{1,300},{1,180},{2,2}}	怪物信息{{id,等级},{id,等级}...}	任务资源	关卡概念图	难度图标	关卡场景图	推荐等级	关卡名	关联growintensity怪物强度模板	描述	预览奖励
LevelId	Diff	MapID	Target	StarCondition	Monster	TaskPath	Picture	PictureBoss	PictureLevel	RecommendLevel	Name	LevelStrength	Desc	ShowReward
7001	1	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,30},{4001004,30},{4001007,30}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100001	2100101	1801005	30		4	defenselevel.Level1_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7002	2	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,40},{4001004,40},{4001007,40}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100002	2100101	1801005	40		4	defenselevel.Level2_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7003	3	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,45},{4001004,45},{4001007,45}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100003	2100101	1801005	45		4	defenselevel.Level3_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7004	4	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,50},{4001004,50},{4001007,50}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100004	2100101	1801005	50		4	defenselevel.Level4_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7005	5	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,55},{4001004,55},{4001007,55}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100005	2100101	1801005	55		4	defenselevel.Level5_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7006	6	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,60},{4001004,60},{4001007,60}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100006	2100102	1801005	60		4	defenselevel.Level6_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7007	7	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,65},{4001004,65},{4001007,65}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100007	2100102	1801005	65		4	defenselevel.Level7_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7008	8	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,70},{4001004,70},{4001007,70}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100008	2100102	1801005	70		4	defenselevel.Level8_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7009	9	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,75},{4001004,75},{4001007,75}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100009	2100102	1801005	75		4	defenselevel.Level9_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7010	10	701	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,80},{4001004,80},{4001007,80}}	DefenseLevel/Task_Defense_Level_001_01.Task_Defense_Level_001_01	2100010	2100102	1801005	80		4	defenselevel.Level10_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
														
7021	1	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,30},{4001004,30},{4001007,30}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100001	2100101	1801003	30		4	defenselevel.Level1_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7022	2	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,40},{4001004,40},{4001007,40}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100002	2100101	1801003	40		4	defenselevel.Level2_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7023	3	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,45},{4001004,45},{4001007,45}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100003	2100101	1801003	45		4	defenselevel.Level3_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7024	4	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,50},{4001004,50},{4001007,50}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100004	2100101	1801003	50		4	defenselevel.Level4_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7025	5	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,55},{4001004,55},{4001007,55}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100005	2100101	1801003	55		4	defenselevel.Level5_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7026	6	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,60},{4001004,60},{4001007,60}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100006	2100102	1801003	60		4	defenselevel.Level6_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7027	7	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,65},{4001004,65},{4001007,65}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100007	2100102	1801003	65		4	defenselevel.Level7_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
7028	8	702	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42}		{{4001003,70},{4001004,70},{4001007,70}}	DefenseLevel/Task_Defense_Level_002_01.Task_Defense_Level_002_01	2100008	2100102	1801003	70		4	defenselevel.Level8_Des	{{5,23,1,1,255},{4,3,1,1,46500}}
