活动期数	备注	换皮界面	说明图	入口图	入口名	入口名底图	主界面背景图	所属dlc期数	DLC信息{商店控件，任务控件，任务组id}	开始时间	结束时间	关卡唯一Id	关卡BUFF，对应固定的环境BUFF（可以多个）	关卡BUFF，对应固定的环境BUFF（可以多个Skill）	Buff描述	地区限制目前可填：0国内外,1国内,2海外	挑战	技巧加成（LongRangeKill = 1,CloseRangeKill = 2,HipFireKill = 3,AimFireKill = 4,CriticalHitKill = 5,BurningKill = 6,ColdKill = 7,StationaryKill = 8,MovingKill = 9,BoomKill = 10,UltimateKill = 11,,AllSkillKill = 12,EnergyKill = 13,ElectricKill = 14,SpecificKill = 15）	连杀倒计时
ID	Comments	UI	HelpImg	EntryImg	EntryName	NameImg	BgImg	DlcId	DlcInfo	StartTime	EndTime	LevelId	LevelBuff	LevelSkill	BuffDesc	Coverage	Challenge	Craft	KillCountDown
1			13	1701127	TxtDefenseTip2					{202206130400}	{202207010400}	7001	{8020031}		climbtower.8020031	1	{1,2,3}	{{1,200},{1,200},{1,200}}	
2			13	1701127	TxtDefenseTip2					{202207050400}	{202207150400}	7021	{8300004}		defenselevel.8300004	1			
3			13	1701127	TxtDefenseTip2					{202207200400}	{202207300400}	7031	{8020011}		climbtower.8020011	1			
4	DLC1-正式-第一期	DefenseMainDlc1	26	1701149	TxtDLC1Defense	1701151		1		{202308070400}	{202308140400}	7044	{8510001}		defenselevel.8410026	0			
5	DLC1-正式-第二期	DefenseMainDlc1	26	1701149	TxtDLC1Defense	1701151		1		{202308140400}	{202308210400}	7044	{8510002}		defenselevel.8410028	0			
6	DLC2-正式-第1期		54	1701167	TxtDLC2.Defense		1803035	2	{"ui.TxtDLC2.Shop", "ui.TxtDLC2.Mission", 8}	{202210091000}	{202210160400}	7051	{8510004}		defenselevel.8510004	0			
7	DLC2-正式-第2期		54	1701167	TxtDLC2.Defense		1803035	2	{"ui.TxtDLC2.Shop", "ui.TxtDLC2.Mission", 8}	{202210160400}	{202210230400}	7051	{8510006}		defenselevel.8510006	0			
9	DLC3-正式-第1期		61	1701168	Dlc3MainBtn5		1803036	3	{"ui.Dlc3MainBtn8", "ui.Dlc3MainBtn7", 13, 1701224, 1701223}	{202211061000}	{202211130400}	7061		{8630002}	defenselevel.8630002	0			
10	DLC3-正式-第2期		61	1701168	Dlc3MainBtn5		1803036	3	{"ui.Dlc3MainBtn8", "ui.Dlc3MainBtn7", 13, 1701224, 1701223}	{202211130400}	{202211200400}	7061		{8630003}	defenselevel.8630003	0			
