活动ID(期数)	索引	需要经验(总值)	奖励	高级奖励标识
ActID	Index	NeedExp	AwardList	IsRare
19	1	6000	{5,29,4,1,10}	
19	2	12000	{4,3,1,1,6000}	
19	3	18000	{5,29,4,1,10}	
19	4	24000	{4,3,1,1,6000}	
19	5	30000	{5,29,4,1,10}	
19	6	36000	{4,3,1,1,6000}	
19	7	42000	{5,29,4,1,10}	
19	8	48000	{4,3,1,1,6000}	
19	9	54000	{5,29,4,1,10}	
19	10	60000	{4,3,1,1,6000}	
19	11	64000	{5,29,4,1,10}	
19	12	68000	{4,3,1,1,6000}	
19	13	72000	{5,29,4,1,10}	
19	14	76000	{4,3,1,1,6000}	
19	15	80000	{5,29,4,1,10}	
19	16	84000	{4,3,1,1,6000}	
19	17	88000	{5,29,4,1,20}	
19	18	92000	{4,3,1,1,6000}	
19	19	96000	{5,29,4,1,20}	
19	20	100000	{4,3,1,1,6000}	
				
20	1	6000	{5,29,4,1,10}	
20	2	12000	{4,3,1,1,6000}	
20	3	18000	{5,29,4,1,10}	
20	4	24000	{4,3,1,1,6000}	
20	5	30000	{5,29,4,1,10}	
20	6	36000	{4,3,1,1,6000}	
20	7	42000	{5,29,4,1,10}	
20	8	48000	{4,3,1,1,6000}	
20	9	54000	{5,29,4,1,10}	
20	10	60000	{4,3,1,1,6000}	
20	11	64000	{5,29,4,1,10}	
20	12	68000	{4,3,1,1,6000}	
20	13	72000	{5,29,4,1,10}	
20	14	76000	{4,3,1,1,6000}	
20	15	80000	{5,29,4,1,10}	
20	16	84000	{4,3,1,1,6000}	
20	17	88000	{5,29,4,1,20}	
20	18	92000	{4,3,1,1,6000}	
20	19	96000	{5,29,4,1,20}	
20	20	100000	{4,3,1,1,6000}	
				
21	1	6000	{5,29,5,1,10}	
21	2	12000	{4,3,1,1,6000}	
21	3	18000	{5,29,5,1,10}	
21	4	24000	{4,3,1,1,6000}	
21	5	30000	{5,29,5,1,10}	
21	6	36000	{4,3,1,1,6000}	
21	7	42000	{5,29,5,1,10}	
21	8	48000	{4,3,1,1,6000}	
21	9	54000	{5,29,5,1,10}	
21	10	60000	{4,3,1,1,6000}	
21	11	64000	{5,29,5,1,10}	
21	12	68000	{4,3,1,1,6000}	
21	13	72000	{5,29,5,1,10}	
21	14	76000	{4,3,1,1,6000}	
21	15	80000	{5,29,5,1,10}	
21	16	84000	{4,3,1,1,6000}	
21	17	88000	{5,29,5,1,20}	
21	18	92000	{4,3,1,1,6000}	
21	19	96000	{5,29,5,1,20}	
21	20	100000	{4,3,1,1,6000}	
				
22	1	6000	{5,29,5,1,10}	
22	2	12000	{4,3,1,1,6000}	
22	3	18000	{5,29,5,1,10}	
22	4	24000	{4,3,1,1,6000}	
22	5	30000	{5,29,5,1,10}	
22	6	36000	{4,3,1,1,6000}	
22	7	42000	{5,29,5,1,10}	
22	8	48000	{4,3,1,1,6000}	
22	9	54000	{5,29,5,1,10}	
22	10	60000	{4,3,1,1,6000}	
22	11	64000	{5,29,5,1,10}	
22	12	68000	{4,3,1,1,6000}	
22	13	72000	{5,29,5,1,10}	
22	14	76000	{4,3,1,1,6000}	
22	15	80000	{5,29,5,1,10}	
22	16	84000	{4,3,1,1,6000}	
22	17	88000	{5,29,5,1,20}	
22	18	92000	{4,3,1,1,6000}	
