怪物Id	分数
Id	Score
4001002	{20,30,50,80}
4001003	{20,30,50,80}
4001004	{20,30,50,80}
4001005	{20,30,50,80}
4001008	{20,30,50,80}
4001015	{20,30,50,80}
4001016	{20,30,50,80}
4001017	{20,30,50,80}
4001103	{20,30,50,80}
4001104	{20,30,50,80}
4001108	{20,30,50,80}
4001112	{20,30,50,80}
4001114	{20,30,50,80}
4001116	{20,30,50,80}
4001211	{20,30,50,80}
4001212	{20,30,50,80}
4001213	{20,30,50,80}
4001215	{20,30,50,80}
4001215	{20,30,50,80}
4001216	{20,30,50,80}
4001301	{20,30,50,80}
4001303	{20,30,50,80}
4001304	{20,30,50,80}
4001306	{20,30,50,80}
4001404	{20,30,50,80}
4002002	{20,30,50,80}
4002003	{20,30,50,80}
4002016	{20,30,50,80}
4002104	{20,30,50,80}
4003003	{20,30,50,80}
4003004	{20,30,50,80}
4003006	{20,30,50,80}
4003007	{20,30,50,80}
4003013	{20,30,50,80}
4003102	{20,30,50,80}
4003103	{20,30,50,80}
4003106	{20,30,50,80}
4009013	{20,30,50,80}
4001603	{20,30,50,80}
4001605	{20,30,50,80}
4001602	{20,30,50,80}
4002603	{20,30,50,80}
4002604	{20,30,50,80}
4001604	{20,30,50,80}
400901302	{20,30,50,80}
4001310	{20,30,50,80}
4001102	{20,30,50,80}
4001106	{20,30,50,80}
4001508	{20,30,50,80}
4001506	{20,30,50,80}
4002506	{20,30,50,80}
4003506	{20,30,50,80}
4001007	{20,30,50,80}
400130105	{20,30,50,80}
400130405	{20,30,50,80}
400131005	{20,30,50,80}
4001407	{20,30,50,80}
4001409	{20,30,50,80}
4001410	{20,30,50,80}
400100801	{20,30,50,80}
400100802	{20,30,50,80}
400110802	{20,30,50,80}
400130402	{20,30,50,80}
400130403	{20,30,50,80}
400150601	{20,30,50,80}
400160202	{20,30,50,80}
400160601	{20,30,50,80}
400250601	{20,30,50,80}
400250602	{20,30,50,80}
400350601	{20,30,50,80}
400350602	{20,30,50,80}
400901303	{20,30,50,80}
400300201	{20,30,50,80}
400121102	{20,30,50,80}
400130103	{20,30,50,80}
400150602	{20,30,50,80}
4002006	{20,30,50,80}
4002004	{20,30,50,80}
4002007	{20,30,50,80}
400121105	{20,30,50,80}
400121106	{20,30,50,80}
400121107	{20,30,50,80}
400121204	{20,30,50,80}
400121303	{20,30,50,80}
500121403	{100,150,220,300}
5001001	{100,150,220,300}
5001009	{100,150,220,300}
5001010	{100,150,220,300}
5001010	{100,150,220,300}
5001018	{100,150,220,300}
5001019	{100,150,220,300}
5001101	{100,150,220,300}
5001110	{100,150,220,300}
5001111	{100,150,220,300}
5001113	{100,150,220,300}
5001118	{100,150,220,300}
5001204	{100,150,220,300}
5001214	{100,150,220,300}
5001302	{100,150,220,300}
5001305	{100,150,220,300}
5001307	{100,150,220,300}
5001402	{100,150,220,300}
5001403	{100,150,220,300}
5002010	{100,150,220,300}
5003110	{100,150,220,300}
500110901	{100,150,220,300}
500110902	{100,150,220,300}
5001509	{100,150,220,300}
5001312	{100,150,220,300}
5002110	{100,150,220,300}
500100902	{100,150,220,300}
5001405	{100,150,220,300}
5001406	{100,150,220,300}
500130705	{100,150,220,300}
500131105	{100,150,220,300}
5003010	{100,150,220,300}
