期数id	等级	普通奖励{g,d,p,l,n}	地区限制目前可填：0国内外,1国内,2海外	重点奖励标记
Id	Level	AwardList	Coverage	ImportantAward
1	1	{4,1,40,1,1000}		
1	2	{4,3,1,1,10000}		
1	3	{4,3,2,1,20}		
1	4	{4,1,40,1,1000}		
1	5	{4,3,1,1,10000}		
1	6	{4,3,2,1,20}		
1	7	{4,1,40,1,1500}		
1	8	{4,3,1,1,15000}		
1	9	{4,3,2,1,20}		
1	10	{4,1,40,1,1500}		
1	11	{4,3,1,1,15000}		
1	12	{4,3,2,1,20}		
1	13	{4,1,40,1,2000}		
1	14	{4,3,1,1,20000}		
1	15	{4,3,2,1,20}		
2	1	{4,1,40,1,1000}		
2	2	{4,3,1,1,10000}		
2	3	{4,3,2,1,20}		
2	4	{4,1,40,1,1000}		
2	5	{4,3,1,1,10000}		
2	6	{4,3,2,1,20}		
2	7	{4,1,40,1,1500}		
2	8	{4,3,1,1,15000}		
2	9	{4,3,2,1,20}		
2	10	{4,1,40,1,1500}		
2	11	{4,3,1,1,15000}		
2	12	{4,3,2,1,20}		
2	13	{4,1,40,1,2000}		
2	14	{4,3,1,1,20000}		
2	15	{4,3,2,1,20}		
3	1	{4,1,40,1,1000}		
3	2	{4,3,1,1,10000}		
3	3	{4,1,46,1,200}		
3	4	{4,3,2,1,20}		
3	5	{4,1,40,1,1000}		
3	6	{4,3,1,1,10000}		
3	7	{4,1,46,1,200}		
3	8	{4,3,2,1,20}		
3	9	{4,1,40,1,1000}		
3	10	{4,3,1,1,10000}		
3	11	{4,1,46,1,200}		
3	12	{4,3,2,1,20}		
3	13	{4,1,40,1,1000}		
3	14	{4,3,1,1,10000}		
3	15	{4,1,46,1,200}		
3	16	{4,3,2,1,20}		
3	17	{4,1,40,1,1000}		
3	18	{4,3,1,1,10000}		
3	19	{4,1,46,1,200}		
3	20	{4,3,2,1,20}		
