组	芯片Id	描述
GroupId	ClipId	Desc
1	401	环境负面-敌人等级+5(可叠加)-----常规模式污染Debuff组，单局1次
1	405	环境负面-灾害结束后，敌人的泰坦强化效果不会消失
1	410	环境负面-灾害状态下，晶体破坏时间缩短50%
1	411	环境负面-成功对抗灾害后，不再能强化智械
1	412	环境负面-所有智械使用间隔延长300%
1	413	环境负面-所有天启者技能冷却时间延长200%
1	414	环境负面-所有天启者技能射击速度降低100%，换弹时间延长50%
		
2	401	环境负面-敌人等级+5(可叠加)-----限时模式污染Debuff组，第1轮
2	404	环境负面-污染值变化速度提升+100%
2	405	环境负面-灾害结束后，敌人的泰坦强化效果不会消失
2	406	环境负面-灾害爆发时，敌人的强化效果增加50%(可叠加)
2	409	环境负面-灾害爆发时，会额外生成泰坦结晶(发tag)
2	410	环境负面-灾害状态下，晶体破坏时间缩短50%
2	411	环境负面-成功对抗灾害后，不再能强化智械
2	412	环境负面-所有智械使用间隔延长300%
2	413	环境负面-所有天启者技能冷却时间延长200%
2	414	环境负面-所有天启者技能射击速度降低100%，换弹时间延长50%
2	415	环境负面-灾害状态下，每次环境泰坦污染攻击的数量增加1次(可叠加)
2	417	环境负面-灾害状态下，每次环境泰坦污染攻击的伤害提升50%(可叠加)
2	419	环境负面-灾害状态下，环境泰坦污染攻击的攻击频率提高50%
		
3	402	环境负面-敌人等级+5(可叠加)-----限时模式污染Debuff组，第2轮
3	404	环境负面-污染值变化速度提升+100%
3	405	环境负面-灾害结束后，敌人的泰坦强化效果不会消失
3	407	环境负面-灾害爆发时，敌人的强化效果增加50%(可叠加)
3	409	环境负面-灾害爆发时，会额外生成泰坦结晶(发tag)
3	410	环境负面-灾害状态下，晶体破坏时间缩短50%
3	411	环境负面-成功对抗灾害后，不再能强化智械
3	412	环境负面-所有智械使用间隔延长300%
3	413	环境负面-所有天启者技能冷却时间延长200%
3	414	环境负面-所有天启者技能射击速度降低100%，换弹时间延长50%
3	415	环境负面-灾害状态下，每次环境泰坦污染攻击的数量增加1次(可叠加)
3	417	环境负面-灾害状态下，每次环境泰坦污染攻击的伤害提升50%(可叠加)
3	419	环境负面-灾害状态下，环境泰坦污染攻击的攻击频率提高50%
		
4	403	环境负面-敌人等级+5(可叠加)-----限时模式污染Debuff组，第3轮
4	404	环境负面-污染值变化速度提升+100%
4	405	环境负面-灾害结束后，敌人的泰坦强化效果不会消失
4	408	环境负面-灾害爆发时，敌人的强化效果增加50%(可叠加)
4	409	环境负面-灾害爆发时，会额外生成泰坦结晶(发tag)
4	410	环境负面-灾害状态下，晶体破坏时间缩短50%
4	411	环境负面-成功对抗灾害后，不再能强化智械
4	412	环境负面-所有智械使用间隔延长300%
4	413	环境负面-所有天启者技能冷却时间延长200%
4	414	环境负面-所有天启者技能射击速度降低100%，换弹时间延长50%
4	416	环境负面-灾害状态下，每次环境泰坦污染攻击的数量增加1次(可叠加)
4	418	环境负面-灾害状态下，每次环境泰坦污染攻击的伤害提升50%(可叠加)
4	419	环境负面-灾害状态下，环境泰坦污染攻击的攻击频率提高50%
		
101	502	所有智械充能额外+2，当前可使用次数+2-----常规模式强化Buff组，单局1次
101	504	天启者常规能量恢复速度提升200%，爆发能量获取率提升200%
101	505	天启者造成的物品破坏力提升300%
101	506	队员获得芙提雅科技支援，射击命中时有15%概率激活【余怒流火】，对目标周围至多5个目标造成队员攻击力25%的高热类型伤害
101	507	对目标造成伤害时，叠加冰冷效果，10层后将其冰冻，冰冻持续3秒，冰冻期间无法叠层。
		
102	501	每次成功对抗灾害，智械强化次数额外增加1次-----限时模式强化Buff组，单局3次
102	502	所有智械充能额外+2，当前可使用次数+2
102	503	每次成功对抗灾害，恢复全部生命并使接下来的60秒造成的伤害+100%
102	504	天启者常规能量恢复速度提升200%，爆发能量获取率提升200%
102	505	天启者造成的物品破坏力提升300%
102	506	队员获得芙提雅科技支援，射击命中时有15%概率激活【余怒流火】，对目标周围至多5个目标造成队员攻击力25%的高热类型伤害
102	507	对目标造成伤害时，叠加冰冷效果，10层后将其冰冻，冰冻持续3秒，冰冻期间无法叠层。
102	508	灾害状态下，可获得敌人的强化增益
102	509	重回瓦尔基里赛场，黄金狮子前来助战！多次选择可强化芬妮·黄金狮子的实力
		
103	501	每次成功对抗灾害，智械强化次数额外增加1次-----限时模式强化Buff组，单局3次
103	502	所有智械充能额外+2，当前可使用次数+2
103	503	每次成功对抗灾害，恢复全部生命并使接下来的60秒造成的伤害+100%
103	504	天启者常规能量恢复速度提升200%，爆发能量获取率提升200%
103	505	天启者造成的物品破坏力提升300%
103	506	队员获得芙提雅科技支援，射击命中时有15%概率激活【余怒流火】，对目标周围至多5个目标造成队员攻击力25%的高热类型伤害
103	507	对目标造成伤害时，叠加冰冷效果，10层后将其冰冻，冰冻持续3秒，冰冻期间无法叠层。
103	508	灾害状态下，可获得敌人的强化增益
103	510	重回瓦尔基里赛场，星期三前来助战！多次选择可强化里芙·星期三的实力
