编号	名称	说明	备注	说明中的数值	插槽类型(-1仅能被关卡机制调用,0局内随机保底,1智械,2核心,3分支）	功能类型(0局内随机保底1轨道轰炸2集群打击3钢铁防线)	能力效果类型(1智械续航，2角色增幅，3智械增幅，4物品破坏，5控制强化，6范围强化)	图标	智械使用间隔	品质上限	自动分解代币	关联智械表Id	关联Skillfix表中的Id	关联Modifier中的Id	Modifier依赖智械召唤id	关联局内机制1(填写方式参考《进击行动芯片局内机制类型说明》)	局内机制参数1	关联局内机制2(填写方式参考《进击行动芯片局内机制类型说明》)	局内机制参数2	额外属性类型1	额外属性数值1	额外属性类型2	额外属性数值2
Id	NameKey	DescriptionKey	Common	DescriptionPerCount	SlotType	FunctionType	ChipsTypeTag	Icon	Interval	MaxQuality	DecomposeCoin	AbilityId	SkillfixId	ModifierId	ModifierDependChipId	GamePlayType1	GamePlayValue1	GamePlayType2	GamePlayValue2	AttributeType1	AttributeValue1	AttributeType2	AttributeValue2
1	assaultops.Chips_SkillName1	assaultops.Chips_SkillDescription1	重烈爆破：空投1枚重型炸弹，产生1次大范围爆炸，对敌人造成角色等级*1888点动能伤害，对友方造成角色等级*47.2点动能伤害；（破坏值：150）		1	1	{4}	1001750	5	1		1											
2	assaultops.Chips_SkillName2	assaultops.Chips_SkillDescription2	广面爆破：从信号点向前，安排投放小型炸弹，造成多次小范围伤害，对敌人造成角色等级*800点高热伤害，对友方造成角色等级*20点高热伤害；（破坏值：50）		1	1	{4}	1001751	5	1		2											
3	assaultops.Chips_SkillName3	assaultops.Chips_SkillDescription3	轨道光束：引导巨大激光束射向指定坐标，在6秒内每秒对敌人造成角色等级*717点动能伤害，对友方造成角色等级*18点动能伤害，具备一定追踪能力；（破坏值：50）	{6}	1	1	{4}	1001752	5	1		3											
4	assaultops.Chips_SkillName4	assaultops.Chips_SkillDescription4	机枪无人机：布置1架机枪无人机跟随自身，使用机枪自动攻击周围敌方目标，机枪无人机在场效果：增强召唤者的射击伤害40%、射击速度20%（机枪倍率：45.9%；造成动能伤害,破坏值：10）	{40,20}	1	2	{2}	1001753	2	1		101		{3520009}	4								
5	assaultops.Chips_SkillName5	assaultops.Chips_SkillDescription5	导弹无人机：布置1架导弹无人机，周期性发射密集导弹攻击敌人所在位置，存在一定时间后自动撤除，导弹无人机在场效果：召唤者最大生命+60%，移动速度+20%，体力恢复速度+30%（导弹倍率：75.78%，造成动能伤害，破坏值：15）	{60,20,30}	1	2	{2,4}	1001754	2	1		102		{3520012}	5								
6	assaultops.Chips_SkillName6	assaultops.Chips_SkillDescription6	激光无人机：布置1架激光无人机，锁定目标后持续向目标方向攻击，激光无人机在场效果：增强召唤者的常规技能伤害50%、常规能量恢复速度50%（激光倍率：897.9%，造成动能伤害，破坏值：150）	{50,50}	1	2	{2}	1001755	2	1		103		{3520015}	6								
7	assaultops.Chips_SkillName7	assaultops.Chips_SkillDescription7	电磁炮台：锁定一名敌人向其攻击,可同时部署炮台数量+1	{300,15}	1	3	{4}	1001783	15	1		201				17	{1}						
8	assaultops.Chips_SkillName8	assaultops.Chips_SkillDescription8	大地碎裂炮：锁定一名敌人向其攻击,可同时部署炮台数量+1	{3,300,15}	1	3	{4}	1001784	15	1		202				17	{1}						
9	assaultops.Chips_SkillName9	assaultops.Chips_SkillDescription9	火箭发射塔：锁定一名敌人向其攻击,可同时部署炮台数量+1	{300,15}	1	3	{4}	1001785	15	1		203				17	{1}						
101	assaultops.Chips_MainName1	assaultops.Chips_MainDescription1	核心万全准备：所有智械初始完成冷却，充能上限+1	{1}	2	1	{1}	1001744		5	{62,{20,60,100,200,300}}					1	{1,2,3}	3	{1,1}	Attack	{70,140,280,420,700}	ALLLEmentDamageBonus	{2.3,4.5,9,13.5,22.5}
102	assaultops.Chips_MainName2	assaultops.Chips_MainDescription2	核心战地支援：所有轨道轰炸类智械充能速度增加40%	{40}	2	1	{1}	1001745		5	{62,{20,60,100,200,300}}					2	{1,-0.4}			Attack	{70,140,280,420,700}	SkillCDQuick	{5,10,20,30,50}
103	assaultops.Chips_MainName3	assaultops.Chips_MainDescription3	核心智械赋能：所有轨道轰炸技能受天启者力量加成，使得伤害提升（重烈爆破附加809.8%角色攻击力的动能伤害，广面爆破每枚小炸弹附加343.1%角色攻击力的高热伤害，轨道光束附加每秒307%攻击力的动能伤害，精确打击附加每次378.2%攻击力的动能伤害）		2	1	{3}	1001746		5	{62,{20,60,100,200,300}}		{352000001}							Attack	{70,140,280,420,700}	CriticalDamageAddtion	{3,6,12,18,30}
104	assaultops.Chips_BranchName1	assaultops.Chips_BranchDescription1	分支次声震荡：重烈爆破生成次声波，对范围内所有敌人额外造成300/600点物品破坏力	{{300,600}}	3	1	{3,4}	1001756		5	{62,{20,60,100,200,300}}		{352000101,352000103}							Attack	{32,63,126,189,315}	HealthMax	{98,195,390,585,975}
105	assaultops.Chips_BranchName2	assaultops.Chips_BranchDescription2	分支引力波：重烈爆破对敌人造成的的伤害提升90%/180%，并在爆炸后生成持续10秒的重力场，使区域内所有怪物移动速度降低80%	{{90,180},80}	3	1	{3,5}	1001757		5	{62,{20,60,100,200,300}}		{352000102,352000104}							Attack	{23,45,90,135,225}	Defence	{8,16,32,48,80}
106	assaultops.Chips_BranchName3	assaultops.Chips_BranchDescription3	分支高能燃料：广面爆破爆炸后，留下持续燃烧10秒的区域，每秒对敌人造成角色等级*90/180点高热伤害	{10}	3	1	{3}	1001758		5	{62,{20,60,100,200,300}}		{352000201,352000203}							Attack	{27,54,108,162,270}	HealthMax	{130,260,520,780,1300}
107	assaultops.Chips_BranchName4	assaultops.Chips_BranchDescription4	分支地毯轰炸：广面爆破的覆盖范围增加50%，伤害提高100%/200%	{50,{100,200}}	3	1	{3,6}	1001759		5	{62,{20,60,100,200,300}}		{352000202,352000204}							HealthMax	{195,390,780,1170,1950}	Defence	{6,13,26,38,64}
108	assaultops.Chips_BranchName5	assaultops.Chips_BranchDescription5	分支精确打击：智械轨道激光炮更为精确，在6秒内每秒发射1次光束（光束造成极小范围AOE伤害），每次光束造成角色等级*883/1766点动能伤害，攻击锚点附近的随机敌人，锁定攻击到相同的目标，不会锁定到友方	{6,1}	3	1	{3}	1001760		5	{62,{20,60,100,200,300}}					7	{3,4,{1,2}}			HealthMax	{130,260,520,780,1300}	Defence	{10,19,38,58,96}
109	assaultops.Chips_BranchName6	assaultops.Chips_BranchDescription6	分支节能管道：轨道激光持续时间增加至9/12秒（如果同时装备了精确打击也会使得精确打击持续时间延长）	{{9,12}}	3	1	{1,3}	1001761		5	{62,{20,60,100,200,300}}		{352000302,352000303}							Attack	{18,36,72,108,180}	Defence	{10,19,38,58,96}
110	assaultops.Chips_MainName4	assaultops.Chips_MainDescription4	核心集群优势：每次召唤无人机，使其他正在冷却的无人机，当前剩余冷却减少50%	{50}	2	2	{1}	1001747		5	{62,{20,60,100,200,300}}					4	{2,0.5}			Attack	{70,140,280,420,700}	ALLLEmentDamageBonus	{2.3,4.5,9,13.5,22.5}
111	assaultops.Chips_MainName5	assaultops.Chips_MainDescription5	核心协同攻势：协同攻势：每次召唤无人机，额外使天启者的攻击、防御、生命在30秒内增加7%，最多叠加5层，状态超时后清空	{30,7,5}	2	2	{2}	1001748		5	{62,{20,60,100,200,300}}					5	{2,3520008}			Attack	{70,140,280,420,700}	SkillCDQuick	{5,10,20,30,50}
112	assaultops.Chips_MainName6	assaultops.Chips_MainDescription6	核心精锐武装：精锐武装：所有无人机造成的伤害增加200%	{200}	2	2	{3}	1001749		5	{62,{20,60,100,200,300}}					6	{{4,5,6},3520007}			Attack	{70,140,280,420,700}	CriticalDamageAddtion	{3,6,12,18,30}
113	assaultops.Chips_BranchName7	assaultops.Chips_BranchDescription7	分支空投补给：机枪无人机在场效果强化：召唤者不消耗弹药，射击伤害提升5%/10%	{{5,10}}	3	2	{2}	1001762		5	{62,{20,60,100,200,300}}			{3520010}	4					HealthMax	{163,325,650,975,1625}	Defence	{8,16,32,48,80}
114	assaultops.Chips_BranchName8	assaultops.Chips_BranchDescription8	分支穿甲弹：机枪无人机自身伤害提升200%/400%	{{200,400}}	3	2	{3}	1001763		5	{62,{20,60,100,200,300}}					6	{{4},3520011}			Attack	{14,27,54,81,135}	Defence	{11,22,45,67,112}
115	assaultops.Chips_BranchName9	assaultops.Chips_BranchDescription9	分支纳米愈合：机枪无人机在场效果强化：召唤者每秒恢复1%/2%的生命值，并获得抗打断效果	{{1,2}}	3	2	{2}	1001764		5	{62,{20,60,100,200,300}}			{3520013}	5					Attack	{32,63,126,189,315}	HealthMax	{98,195,390,585,975}
116	assaultops.Chips_BranchName10	assaultops.Chips_BranchDescription10	分支高能火药：机枪无人机自身伤害提升100%/200%，物品破坏力提升100%/200%	{{100,200},{100,200}}	3	2	{3}	1001765		5	{62,{20,60,100,200,300}}					6	{{5},3520014}			Attack	{23,45,90,135,225}	Defence	{8,16,32,48,80}
117	assaultops.Chips_BranchName11	assaultops.Chips_BranchDescription11	分支能量涌动：激光无人机在场效果强化，召唤者每2秒恢复1点爆发能量，并使爆发技伤害提升50/100%	{2,1,{50,100}}	3	2	{2}	1001766		5	{62,{20,60,100,200,300}}			{3520016}	6					Attack	{18,36,72,108,180}	HealthMax	{195,390,780,1170,1950}
118	assaultops.Chips_BranchName12	assaultops.Chips_BranchDescription12	分支热熔光线：激光无人机每次对目标造成伤害，使目标防御力降低10%/20%，最多降低30/60%，减防持续10秒	{{10,20},{30,60},10}	3	2	{3}	1001767		5	{62,{20,60,100,200,300}}					6	{{6},3520017}	7	{6,104,{1,1}}	HealthMax	{195,390,780,1170,1950}	Defence	{6,13,26,38,64}
119	assaultops.Chips_MainName7	assaultops.Chips_MainDescription7	核心：所有炮台总部署上限+1，且炮台可以吸引敌人的火力	{1}	2	3	{4}	1001780		5	{62,{20,60,100,200,300}}					17	{1}	6	{{7,8,9},3520907}	Attack	{70,140,280,420,700}	ALLLEmentDamageBonus	{2.3,4.5,9,13.5,22.5}
120	assaultops.Chips_MainName8	assaultops.Chips_MainDescription8	核心：炮台部署后进入过载，造成的伤害增加100%，持续时间降低80%	{{100,200},80}	2	3	{4}	1001781		5	{62,{20,60,100,200,300}}					19	{3,-0.8}	6	{{7,8,9},3520901}	Attack	{70,140,280,420,700}	SkillCDQuick	{5,10,20,30,50}
