随机组	备注	芯片ID	对应权重	品质权重
Id	Comment	ChipsId	ChipsWeight	QualityWeight
1	白~金随机包	101	100	{1000,800,600,400,200}
1		102	100	{1000,800,600,400,200}
1		103	100	{1000,800,600,400,200}
1		104	150	{1000,800,600,400,200}
1		105	150	{1000,800,600,400,200}
1		106	150	{1000,800,600,400,200}
1		107	150	{1000,800,600,400,200}
1		108	150	{1000,800,600,400,200}
1		109	150	{1000,800,600,400,200}
1		110	100	{1000,800,600,400,200}
1		111	100	{1000,800,600,400,200}
1		112	100	{1000,800,600,400,200}
1		113	150	{1000,800,600,400,200}
1		114	150	{1000,800,600,400,200}
1		115	150	{1000,800,600,400,200}
1		116	150	{1000,800,600,400,200}
1		117	150	{1000,800,600,400,200}
1		118	150	{1000,800,600,400,200}
1		119	100	{1000,800,600,400,200}
1		120	100	{1000,800,600,400,200}
1		121	100	{1000,800,600,400,200}
1		122	150	{1000,800,600,400,200}
1		123	150	{1000,800,600,400,200}
1		124	150	{1000,800,600,400,200}
1		125	150	{1000,800,600,400,200}
1		126	150	{1000,800,600,400,200}
1		127	150	{1000,800,600,400,200}
2	绿~金通关奖励包	101	100	{0,800,600,400,200}
2		102	100	{0,800,600,400,200}
2		103	100	{0,800,600,400,200}
2		104	150	{0,800,600,400,200}
2		105	150	{0,800,600,400,200}
2		106	150	{0,800,600,400,200}
2		107	150	{0,800,600,400,200}
2		108	150	{0,800,600,400,200}
2		109	150	{0,800,600,400,200}
2		110	100	{0,800,600,400,200}
2		111	100	{0,800,600,400,200}
2		112	100	{0,800,600,400,200}
2		113	150	{0,800,600,400,200}
2		114	150	{0,800,600,400,200}
2		115	150	{0,800,600,400,200}
2		116	150	{0,800,600,400,200}
2		117	150	{0,800,600,400,200}
2		118	150	{0,800,600,400,200}
1		119	100	{0,800,600,400,200}
1		120	100	{0,800,600,400,200}
1		121	100	{0,800,600,400,200}
1		122	150	{0,800,600,400,200}
1		123	150	{0,800,600,400,200}
1		124	150	{0,800,600,400,200}
1		125	150	{0,800,600,400,200}
1		126	150	{0,800,600,400,200}
1		127	150	{0,800,600,400,200}
3	蓝~金高难通关奖励包	101	100	{0,0,600,400,200}
3		102	100	{0,0,600,400,200}
3		103	100	{0,0,600,400,200}
3		104	150	{0,0,600,400,200}
3		105	150	{0,0,600,400,200}
3		106	150	{0,0,600,400,200}
3		107	150	{0,0,600,400,200}
3		108	150	{0,0,600,400,200}
3		109	150	{0,0,600,400,200}
3		110	100	{0,0,600,400,200}
3		111	100	{0,0,600,400,200}
3		112	100	{0,0,600,400,200}
3		113	150	{0,0,600,400,200}
3		114	150	{0,0,600,400,200}
3		115	150	{0,0,600,400,200}
3		116	150	{0,0,600,400,200}
3		117	150	{0,0,600,400,200}
3		118	150	{0,0,600,400,200}
1		119	100	{0,0,600,400,200}
1		120	100	{0,0,600,400,200}
1		121	100	{0,0,600,400,200}
1		122	150	{0,0,600,400,200}
1		123	150	{0,0,600,400,200}
1		124	150	{0,0,600,400,200}
1		125	150	{0,0,600,400,200}
1		126	150	{0,0,600,400,200}
1		127	150	{0,0,600,400,200}
4	紫~金随机包	101	100	{0,0,0,400,200}
4		102	100	{0,0,0,400,200}
4		103	100	{0,0,0,400,200}
4		104	150	{0,0,0,400,200}
4		105	150	{0,0,0,400,200}
4		106	150	{0,0,0,400,200}
4		107	150	{0,0,0,400,200}
4		108	150	{0,0,0,400,200}
4		109	150	{0,0,0,400,200}
4		110	100	{0,0,0,400,200}
4		111	100	{0,0,0,400,200}
4		112	100	{0,0,0,400,200}
4		113	150	{0,0,0,400,200}
4		114	150	{0,0,0,400,200}
4		115	150	{0,0,0,400,200}
4		116	150	{0,0,0,400,200}
4		117	150	{0,0,0,400,200}
4		118	150	{0,0,0,400,200}
1		119	100	{0,0,0,400,200}
1		120	100	{0,0,0,400,200}
1		121	100	{0,0,0,400,200}
1		122	150	{0,0,0,400,200}
1		123	150	{0,0,0,400,200}
1		124	150	{0,0,0,400,200}
1		125	150	{0,0,0,400,200}
1		126	150	{0,0,0,400,200}
1		127	150	{0,0,0,400,200}
5	全金随机包	101	100	{0,0,0,0,200}
5		102	100	{0,0,0,0,200}
5		103	100	{0,0,0,0,200}
5		104	150	{0,0,0,0,200}
5		105	150	{0,0,0,0,200}
5		106	150	{0,0,0,0,200}
5		107	150	{0,0,0,0,200}
5		108	150	{0,0,0,0,200}
5		109	150	{0,0,0,0,200}
5		110	100	{0,0,0,0,200}
5		111	100	{0,0,0,0,200}
5		112	100	{0,0,0,0,200}
5		113	150	{0,0,0,0,200}
5		114	150	{0,0,0,0,200}
5		115	150	{0,0,0,0,200}
5		116	150	{0,0,0,0,200}
5		117	150	{0,0,0,0,200}
5		118	150	{0,0,0,0,200}
1		119	100	{0,0,0,0,200}
1		120	100	{0,0,0,0,200}
1		121	100	{0,0,0,0,200}
1		122	150	{0,0,0,0,200}
1		123	150	{0,0,0,0,200}
1		124	150	{0,0,0,0,200}
1		125	150	{0,0,0,0,200}
