成就唯一ID	注释（程序内不使用）	任务名	任务介绍	任务或成就图标	分组（1-日常,2-周常,3-成就,4-主线,5-支线任务额外奖励）	所属章节（支线任务才配）	章节抬头图（支线任务额外奖励才配）	需要【本阶段内】完成的任务	排序	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	可执行次数,0或不填为不限制	奖励列表,格式{{g,d,p,l,n},...}	系统解锁条件（对应function.txt表）	跳转界面	条件跳转	跳转参数	开始时间,格式：年月日时分秒,如201601010200或20160101（时分秒可省略）	结束时间,格式桶开始时间	重置周期【仅天,周常用】；配置模式：固定刷新：开启时间也需要配+这列配{1,天数}/地下清理：开启时间不需要配+这列配{2}（climb_tower_time)/	活动ID	任务点数	弹窗({类型:1,主线2,目标})	标签分类(仅目标成就3-成就)	刷新标签{"颜色ID","表.key"})
ID	Desc	Name	Describe	Icon	Group	ChapterGroup	ChapterIcon	nChapterGroup	Priority	Condition	PreID	ReceivedShow	Type	CheckValue	Param	FinishLimit	Rewards	FunctionID	GotoUI	ConditionGoto	tbParam	StartTime	EndTime	ResetDay	ActivityID	AchievementPoint	PopInfo	SecondKey	Tag
																													
101	完成1次任意关卡	achievement.Name1	achievement.Describe1		1							1	14	1				1	Chapter							10			
102	完成5次任意关卡	achievement.Name1	achievement.Describe1		1							1	14	5				1	Chapter							20			
103	进行1次角色升级	achievement.Name5	achievement.Describe5		1					{{{2,50174}},{{2,10102}}}		1	21	1				2	Role		{1}					10			
104	进行1次武器升级	achievement.Name6	achievement.Describe6		1					{{{2,11424}},{{2,10104}}}		1	38	1				6	Bag							10			
105	进行1次后勤升级	achievement.Name11	achievement.Describe11		1					{{{2,11508}},{{2,10412}}}		1	44	1				6	Bag		{2}					10			
106	消耗60体力	achievement.Name2	achievement.Describe2		1							1	4	60	{4}			1	Chapter							10			
107	消耗120体力	achievement.Name2	achievement.Describe2		1							1	4	120	{4}			1	Chapter							20			
112	消耗180体力	achievement.Name2	achievement.Describe2		1							1	4	180	{4}			1	Chapter							20			
108	在商店购买1次道具	achievement.Name16	achievement.Describe16		1					{{{2,50174}},{{2,50101}}}		1	8	1				7	Shop							10			
109	通关角色碎片本1次	achievement.Name43	achievement.Describe43_2		1					{{{2,11504}},{{2,10301}}}		1	68	1				21		Role.GetOPenTime						10			
