任务ID（activity_quest)	语种（不填为默认跳转）	转跳地址链接
Id	Language	URL
1703	en_US	https://twitter.com/SnowbreakEN
1703	ja_JP	https://twitter.com/SnowbreakJP
1703	ko_KR	https://game.naver.com/lounge/Snowbreak_Containment_Zone
1703	zh_TW	https://twitter.com/SnowbreakTC
1703	zh_CN	https://twitter.com/SnowbreakTC
1703		https://twitter.com/SnowbreakEN
1704		https://discord.com/invite/3zs9cQQgcV
1801		https://tap.cn/uLFDTgUE?channel=rep-rep_17pgbi0aakx
1802		https://s.xoyo.com/raRo36
1803		https://bbs.3839.com/forum-26621.htm
1804		https://weibo.com/u/7573935610
1702		https://snowbreak.amazingseasun.com/
