效果类型	备注	参数说明
EffectID	Comment	Des
1	生命上限+X	{数量}
2	击败敌人有X%概率获得Y个对应ID的道具	{概率,数量,道具ID}
3	初始能量+X	{数量}
4	首阶段回合数+X	{数量}
5	探梦等级升至X后，获得Y次额外的选宝	{等级,数量}
6	删除棋子次数+X	{数量}
7	刷新选棋次数+X	{数量}
8	刷新选宝次数+X	{数量}
9	击败第X个敌人后有Y%概率获得Z个对应ID的道具	{数值,概率,数量,道具ID}
10	每次击败敌人后，有X%概率获得Y个对应ID的道具	{概率,数量,道具ID}
11	对应ID的棋子效果加成额外+X	{棋子ID,加成数值}
12	对应ID的棋子所需收集数量-X	{棋子ID,数量}
13	对应标签的棋子默认回合上限+X	{标签ID,数量}
14	对应ID的棋子默认回合上限+X	{标签ID,数量}
15	对应ID的棋子默认回合上限-X	{棋子ID,数量}
16	当棋盘上有对应ID的棋子时，立刻获得X个对应ID的棋子	{棋子ID,数量,棋子ID}
17	由棋子效果获得对应标签的棋子时，额外获得X个	{标签ID,数量}
18	对应ID棋子消除时额外获得x个对应ID棋子	{{棋子ID,棋子ID},数量,棋子ID}
