挑战期数	奖励列表ID（100开始不和星级奖励重复）	所需积分	奖励
ChallTimeID	MessID	NeedScore	Rewards
1	101	100000	{{4,1,6,5,10}}
1	102	200000	{{4,3,1,1,10000}}
1	103	400000	{{4,1,6,5,10}}
1	104	600000	{{4,3,1,1,10000}}
1	105	800000	{{4,1,6,5,10}}
1	106	1000000	{{4,3,1,1,10000}}
1	107	1200000	{{4,1,6,5,10}}
1	108	1400000	{{4,3,1,1,10000}}
1	109	1600000	{{4,1,6,5,10}}
1	110	1800000	{{4,3,1,1,10000}}
1	111	2000000	{{4,1,6,5,10}}
1	112	2200000	{{4,3,1,1,10000}}
1	113	2400000	{{4,1,6,5,10}}
1	114	2600000	{{4,3,1,1,10000}}
1	115	2800000	{{4,1,6,5,10}}
2	116	100000	{{4,1,6,5,10}}
2	117	200000	{{4,3,1,1,10000}}
2	118	400000	{{4,1,6,5,10}}
2	119	600000	{{4,3,1,1,10000}}
2	120	800000	{{4,1,6,5,10}}
2	121	1000000	{{4,3,1,1,10000}}
2	122	1200000	{{4,1,6,5,10}}
2	123	1400000	{{4,3,1,1,10000}}
2	124	1600000	{{4,1,6,5,10}}
2	125	1800000	{{4,3,1,1,10000}}
2	126	2000000	{{4,1,6,5,10}}
2	127	2200000	{{4,3,1,1,10000}}
2	128	2400000	{{4,1,6,5,10}}
2	129	2600000	{{4,3,1,1,10000}}
2	130	2800000	{{4,1,6,5,10}}
3	131	100000	{{4,1,6,5,10}}
3	132	200000	{{4,3,1,1,10000}}
3	133	400000	{{4,1,6,5,10}}
3	134	600000	{{4,3,1,1,10000}}
3	135	800000	{{4,1,6,5,10}}
3	136	1000000	{{4,3,1,1,10000}}
3	137	1200000	{{4,1,6,5,10}}
3	138	1400000	{{4,3,1,1,10000}}
3	139	1600000	{{4,1,6,5,10}}
3	140	1800000	{{4,3,1,1,10000}}
3	141	2000000	{{4,1,6,5,10}}
3	142	2200000	{{4,3,1,1,10000}}
3	143	2400000	{{4,1,6,5,10}}
3	144	2600000	{{4,3,1,1,10000}}
3	145	2800000	{{4,1,6,5,10}}
4	146	100000	{{4,1,6,5,10}}
4	147	200000	{{4,3,1,1,10000}}
4	148	400000	{{4,1,6,5,10}}
4	149	600000	{{4,3,1,1,10000}}
4	150	800000	{{4,1,6,5,10}}
4	151	1000000	{{4,3,1,1,10000}}
4	152	1200000	{{4,1,6,5,10}}
4	153	1400000	{{4,3,1,1,10000}}
4	154	1600000	{{4,1,6,5,10}}
4	155	1800000	{{4,3,1,1,10000}}
4	156	2000000	{{4,1,6,5,10}}
4	157	2200000	{{4,3,1,1,10000}}
4	158	2400000	{{4,1,6,5,10}}
4	159	2600000	{{4,3,1,1,10000}}
4	160	2800000	{{4,1,6,5,10}}
