效果类型	备注	参数说明
EffectID	Comment	Des
1	X回合后消除自身	{回合数}
2	X回合后消除自身,下次选棋会出现1个高于当前探梦等级的棋子	{回合数}
3	X回合后消除自身,相邻棋子能量收益提升Y%	{回合数,提升数值}
4	X回合后消除自身,棋盘上产出最高的棋子的收益提升Y%(多个棋子均为产出最高时，则同时生效)	{回合数,提升数值}
5	相邻的棋子收益提升X%	{提升数值}
6	相邻的对应ID棋子收益提升至X%	{{棋子ID,棋子ID},提升数值}
7	棋盘上的对应ID棋子收益提升X%	{{棋子ID,棋子ID},提升数值}
8	立刻重置对应ID棋子的回合数	{棋子ID,棋子ID,棋子ID}
9	消除X个相邻的对应ID棋子或者对应ID棋子，自身获得Y能量，可分别触发Z次	{个数,棋子ID,棋子ID,能量数值,触发次数}
10	X回合后消除自身,并获得Y个对应ID棋子	{回合数,个数,棋子ID}
11	对应标签的棋子收益提升X%	{标签ID,提升数值}
12	升级探梦等级后，消除自身，并获得X个对应ID棋子	{个数,棋子ID}
13	相邻的对应ID棋子回合数减Y	{棋子ID,回合数}
14	X回合后，转变为对应ID棋子	{回合数,棋子ID}
15	每有一个相邻的对应标签棋子，自身获得X能量	{标签ID,能量数值}
16	消除相邻的对应ID棋子	{棋子ID,棋子ID,棋子ID}
17	X回合后消除自身,并获得Y个对应标签的棋子	{回合数,棋子数量,标签ID}
18	将相邻的对应ID棋子转变为对应ID棋子	{棋子ID,棋子ID}
19	升级探梦等级后，消除自身，并获得X个对应标签棋子	{棋子个数,标签ID}
20	若棋盘上存在空格，自身获得X能量	{能量数值}
21	每X回合获得Y次额外的选棋	{回合数,次数}
22	每消除1个棋子，产出+X（最多Y）	{能量数值,最大数值}
23	对应流派棋子收益提升为X%	{流派ID,提升数值}
24	相邻的棋子产出+X	{能量数值}
25	相邻的棋子获得X能量	{能量数值}
26	单局内只能拥有一个	
27	位于棋盘外圈时，获得X能量	{能量数值}
28	消除相邻的对应标签的棋子	{标签ID}
29	相邻的X个对应标签的棋子产出+Y	{个数,标签ID,能量数值}
30	相邻的对应ID棋子收益提升至X%	{棋子ID,提升数值}
31	每X回合获得Y个对应ID的棋子	{回合数,个数,棋子ID}
32	相邻的空棋格获得X能量	{能量数值}
33	相邻的对应标签棋子收益提升为X%	{标签ID,提升数值}
34	相邻的对应标签棋子产出+X	{标签ID,能量数值}
35	被消除时，获得X能量	{能量数值}
36	每消除X个对应标签的棋子，自身获得Y能量	{个数,标签ID,能量数值}
37	和对应ID棋子相邻时，自身获得X能量	{{棋子ID,棋子ID},能量数值}
38	和对应标签的棋子相邻时，自身获得X能量	{标签ID,能量数值}
39	被转变后，失去获得的所有能量	
40	棋盘上的所有空棋格都获得X能量	{能量数值}
41	X%概率转变为对应ID的棋子	{概率,棋子ID}
42	有X%几率获得Y个对应ID的棋子	{概率,个数,棋子ID}
43	有X%几率获得Y个对应标签的棋子	{概率,个数,标签ID}
44	在背包中也可以获得能量	
45	立刻获得X个对应ID的棋子	{个数,棋子ID}
46	对应ID的棋子收益提升为X%	{棋子ID,提升数值}
47	对应ID的棋子效果无视距离	{棋子ID}
48	每回合产出+X	{能量数值}
49	每X回合获得Y能量	{回合数,能量数值}
50	若棋盘上存在X个对应ID的棋子，消除它们并获得1次额外的选宝	{个数,棋子ID}
51	棋盘上存在对应标签的棋子时，获得X个对应ID的棋子，自身产出+Y	{标签ID,个数,棋子ID,能量数值}
52	消除相邻的对应ID棋子，每消除X个，获得Y个对应ID的棋子	{棋子ID,个数,个数,棋子ID}
53	在背包中也可以触发效果	
54	每X回合棋盘上的所有棋子收提升为Y%	{回合数,提升数值}
55	升级探梦等级至X级后，立刻获得Y个对应ID棋子	{等级,个数,棋子ID}
56	升级探梦等级后，立刻获得X个对应ID棋子	{个数,棋子ID}
57	立刻使棋盘上随机X个对应ID的棋子产出+Y	{个数,棋子ID,能量数值}
58	指向的棋子收益提升为X%	{提升数值}
59	对应ID的棋子可以转动X次	{棋子ID,次数}
60	首个三连的棋子都获得X能量	{能量数值}
61	若场上存在三连，自身获得X能量	{能量数值}
62	对应标签的棋子的效果触发X次	{标签ID,次数}
63	对应ID棋子的效果可以叠加	{棋子ID}
