卡牌ID	卡牌名称	是否默认解锁(1为默认解锁,0为非默认	卡牌图标	状态改变的图标	名称Key	描述Key	卡牌类型(0为棋子,1为宝物	星级	所属流派	标签ID	默认能量	效果类型	效果参数	效果描述参数	是否可使用(0为不可使用,1为可使用	是否出现在随机池(0为不出现,1为出现	专用词	自身动效	退出动效	影响其他棋子动效
CardID	CardName	Ifunlock	CardUIID	IconID	Name	Des	CardType	Star	BuildID	Tag	Energy	EffectID	Count	DescParam	IFUse	IFrand	TechnicalTerm	Actself	Disapself	Actother
1	健康配餐	1	4102002		dreamcard.card_name01	dreamcard.card_desc01	0	1	1		90	{1}	{{5}}		0	1		{}	{3}	{}
2	枸杞饮品	1	4102003		dreamcard.card_name02	dreamcard.card_desc02	0	2	1	0	90	{2}	{{1}}		0	1		{}	{3}	{}
3	能量饮料	1	4102004		dreamcard.card_name03	dreamcard.card_desc03	0	2	1	0	0	{3,129}	{{1,0.25},{2,1,5}}	{1,25,2,5}	0	1		{2}	{3}	{}
4	浓缩咖啡	1	4102005		dreamcard.card_name04	dreamcard.card_desc04	0	3	1	0	0	{4}	{{1,1}}	{1,100}	0	1		{}	{3}	{}
5	西装外套	1	4102006		dreamcard.card_name05		0	1	1	1	30				0	1		{}	{}	{}
6	西装裤	1	4102007		dreamcard.card_name06		0	2	1	1	45				0	1		{}	{}	{}
7	西装领带	1	4102008		dreamcard.card_name07		0	3	1	1	60				0	1		{}	{}	{}
8	墨镜	1	4102009		dreamcard.card_name08		0	4	1	1	150				0	1		{}	{}	{}
9	“约会日”	1	4103002		dreamcard.card_name09	dreamcard.card_desc09	1	1	1		30	{20}	{{120}}		0	1		{1}	{}	{}
10	枕头	1	4103003		dreamcard.card_name10	dreamcard.card_desc10	1	1	1		-60	{1001}	{{4}}		1	1		{12}	{}	{}
11	手枪	1	4103004		dreamcard.card_name11	dreamcard.card_desc11	1	1	1		30	{21}	{{6,1}}		0	1		{}	{}	{}
12	钱包	1	4103005		dreamcard.card_name12	dreamcard.card_desc12	1	2	1		0	{1002}	{{2,450}}		1	1		{12}	{}	{}
13	终端	0	4103006		dreamcard.card_name13	dreamcard.card_desc13	1	2	1		30	{22}	{{10,330}}		0	1		{1}	{}	{}
14	夜魇骑士	0	4103007		dreamcard.card_name14	dreamcard.card_desc14	1	3	1		60	{11}	{{1,1}}	{100}	0	1		{5}	{}	{1}
15	一键什么？	0	4103008		dreamcard.card_name15	dreamcard.card_desc15	1	3	1		60	{60}	{{120}}		0	1		{}	{}	{1}
16	一键什么？Plus	0	4103009		dreamcard.card_name16	dreamcard.card_desc16	1	3	1		60	{61}	{{480}}		0	1		{1}	{}	{}
17	基地通行密钥	0	4103010		dreamcard.card_name17	dreamcard.card_desc17	1	4	1		75	{1003}	{{1500,1}}		1	1		{12}	{}	{}
18	“再来一瓶”	0	4103011		dreamcard.card_name18	dreamcard.card_desc18	1	2	1		45	{62}	{{0,2}}		0	1		{5}	{}	{}
19	荧光棒	0	4102010		dreamcard.card_name19	dreamcard.card_desc19	0	1	2		30	{27}	{{60}}		0	1		{1}	{}	{}
20	麦克风	0	4102011		dreamcard.card_name20	dreamcard.card_desc20	0	1	2		30	{123,26}	{{3,1,102},{}}		0	1		{5}	{}	{}
21	小提琴	0	4102012		dreamcard.card_name21	dreamcard.card_desc21	0	1	2		30	{19}	{{1,2}}		0	1		{}	{3}	{}
22	4分音符	0	4102013		dreamcard.card_name22	dreamcard.card_desc22	0	1	2	2	30	{24,1}	{{5},{2}}		0	1		{2}	{3}	{}
23	16分音符	0	4102014		dreamcard.card_name23	dreamcard.card_desc23	0	2	2	2	45	{126}	{{{26},0.5}}		0	1		{5}	{}	{1}
24	八音盒	0	4102015		dreamcard.card_name24	dreamcard.card_desc24	0	2	2		45	{17}	{{2,1,2}}		0	1		{4}	{3}	{}
25	乐谱	0	4102016		dreamcard.card_name25	dreamcard.card_desc25	0	2	2		45	{8,1}	{{22,27},{2}}		0	1		{}	{3}	{}
26	演出服饰	0	4102017		dreamcard.card_name26	dreamcard.card_desc26	0	3	2		60	{63,26}	{{23},{}}		0	1		{}	{}	{}
27	8分音符	0	4102018		dreamcard.card_name27	dreamcard.card_desc27	0	3	2	2	60	{25,1}	{{60},{3}}		0	1		{2}	{3}	{}
28	聚光灯	0	4102019		dreamcard.card_name28	dreamcard.card_desc28	0	3	2		60	{5,7,26}	{{0.25},{{26},3},{}}	{300,25}	0	1		{2}	{}	{1}
29	效果器	0	4102020		dreamcard.card_name29	dreamcard.card_desc29	0	4	2		75	{54,63}	{{4,1},{29}}		0	1		{5}	{}	{1}
30	高音谱号	0	4102021		dreamcard.card_name30	dreamcard.card_desc30	0	4	2		75	{64}	{{2,31,75}}		0	1		{4}	{3}	{}
31	低音谱号	0	4102022		dreamcard.card_name31	dreamcard.card_desc31	0	4	2		75	{65}	{{4,30,3}}	{4,300}	0	0		{4}	{3}	{}
32	口琴	0	4103012		dreamcard.card_name32	dreamcard.card_desc32	1	1	2		30	{124}	{{{22,27},5}}	{5}	0	1		{}	{}	{}
33	舞台音响	0	4103013		dreamcard.card_name33	dreamcard.card_desc33	1	2	2		45	{67}	{{4,26}}		0	1		{5}	{}	{}
34	游戏币	0	4102023		dreamcard.card_name34		0	1	3		30				0	1		{}	{}	{}
35	跳舞机	0	4102024		dreamcard.card_name35	dreamcard.card_desc35	0	1	3	3	30	{125}	{{1,34,99,80,6}}	{1,80,6}	0	1		{1}	{}	{3}
