等级	关卡难度	升级所需能量	升级后选宝次数	1星-棋子概率	2星-棋子概率	3星-棋子概率	4星-棋子概率	1星-宝物概率	2星-宝物概率	3星-宝物概率	4星-宝物概率	流派权重	//备注
Level	Hard	NeedEnergy	Num	Pro1	Pro2	Pro3	Pro4	Gift1	Gift2	Gift3	Gift4	BuildRate	Comment
1	1	2000	1	90	10	0	0	90	10	0	0	{100}	新手关(双流派）
2	1	0		50	40	10	0	50	40	10	0	{100}	
1	2	2000	1	90	10	0	0	90	10	0	0	{70,30}	2流派+等级3
2	2	6000	1	50	40	10	0	50	40	10	0	{70,30}	
3	2	0		40	30	20	10	40	30	20	10	{70,30}	
1	21	2000	1	90	10	0	0	90	10	0	0	{70,15,15}	3流派+等级3
2	21	6000	1	50	40	10	0	50	40	10	0	{70,15,15}	
3	21	0		40	30	20	10	40	30	20	10	{70,15,15}	
1	3	2000	1	90	10	0	0	90	10	0	0	{70,30}	2流派+等级4
2	3	6000	1	50	40	10	0	50	40	10	0	{70,30}	
3	3	12000	1	40	30	20	10	40	30	20	10	{70,30}	
4	3	0		25	25	25	25	25	25	25	25	{70,30}	
1	4	2000	1	90	10	0	0	90	10	0	0	{70,15,15}	3流派+等级4
2	4	6000	1	50	40	10	0	50	40	10	0	{70,15,15}	
3	4	12000	1	40	30	20	10	40	30	20	10	{70,15,15}	
4	4	0		25	25	25	25	25	25	25	25	{70,15,15}	
1	5	2000	1	90	10	0	0	90	10	0	0	{70,10,10,10}	4流派+等级4
2	5	6000	1	50	40	10	0	50	40	10	0	{70,10,10,10}	
3	5	12000	1	40	30	20	10	40	30	20	10	{70,10,10,10}	
4	5	0		25	25	25	25	25	25	25	25	{70,10,10,10}	
1	6	2000	1	90	10	0	0	90	10	0	0	{40,15,15,15,15}	挑战关+等级4
2	6	6000	1	50	40	10	0	50	40	10	0	{40,15,15,15,15}	
3	6	12000	1	40	30	20	10	40	30	20	10	{40,15,15,15,15}	
4	6	0		25	25	25	25	25	25	25	25	{40,15,15,15,15}	
1	7	3000	1	80	20	0	0	80	20	0	0	{20,20,20,20,20}	无尽关+等级4
2	7	8000	1	40	40	20	0	40	40	20	0	{20,20,20,20,20}	
3	7	14000	1	30	30	20	20	30	30	20	20	{20,20,20,20,20}	
4	7	0		25	25	25	25	25	25	25	25	{20,20,20,20,20}	
