id	技能盘id	技能盘名称	//备注	位置	可配置buff的类型（-2隐藏，-1全类型，1远程 2射击 3近战 4技能 5辅助）可用的最多20格
ID	BoardID	Name	Comment	Position	BuffTypeCondition
1	1	online.SpeedSocreBoardName1	射击套	1	-2
2	1	online.SpeedSocreBoardName1	射击套	2	-2
3	1	online.SpeedSocreBoardName1	射击套	3	2
4	1	online.SpeedSocreBoardName1	射击套	4	2
5	1	online.SpeedSocreBoardName1	射击套	5	-2
6	1	online.SpeedSocreBoardName1	射击套	6	-2
7	1	online.SpeedSocreBoardName1	射击套	7	-2
8	1	online.SpeedSocreBoardName1	射击套	8	4
9	1	online.SpeedSocreBoardName1	射击套	9	-1
10	1	online.SpeedSocreBoardName1	射击套	10	5
11	1	online.SpeedSocreBoardName1	射击套	11	1
12	1	online.SpeedSocreBoardName1	射击套	12	-2
13	1	online.SpeedSocreBoardName1	射击套	13	-2
14	1	online.SpeedSocreBoardName1	射击套	14	3
15	1	online.SpeedSocreBoardName1	射击套	15	5
16	1	online.SpeedSocreBoardName1	射击套	16	-1
17	1	online.SpeedSocreBoardName1	射击套	17	4
18	1	online.SpeedSocreBoardName1	射击套	18	-2
19	1	online.SpeedSocreBoardName1	射击套	19	-2
20	1	online.SpeedSocreBoardName1	射击套	20	-2
21	1	online.SpeedSocreBoardName1	射击套	21	2
22	1	online.SpeedSocreBoardName1	射击套	22	2
23	1	online.SpeedSocreBoardName1	射击套	23	-2
24	1	online.SpeedSocreBoardName1	射击套	24	-2
25	2	online.SpeedSocreBoardName2	技能套	1	-2
26	2	online.SpeedSocreBoardName2	技能套	2	-2
27	2	online.SpeedSocreBoardName2	技能套	3	3
28	2	online.SpeedSocreBoardName2	技能套	4	2
29	2	online.SpeedSocreBoardName2	技能套	5	4
30	2	online.SpeedSocreBoardName2	技能套	6	-2
31	2	online.SpeedSocreBoardName2	技能套	7	-2
32	2	online.SpeedSocreBoardName2	技能套	8	-2
33	2	online.SpeedSocreBoardName2	技能套	9	5
34	2	online.SpeedSocreBoardName2	技能套	10	-1
35	2	online.SpeedSocreBoardName2	技能套	11	4
36	2	online.SpeedSocreBoardName2	技能套	12	-2
37	2	online.SpeedSocreBoardName2	技能套	13	-2
38	2	online.SpeedSocreBoardName2	技能套	14	4
39	2	online.SpeedSocreBoardName2	技能套	15	-1
40	2	online.SpeedSocreBoardName2	技能套	16	5
41	2	online.SpeedSocreBoardName2	技能套	17	-2
42	2	online.SpeedSocreBoardName2	技能套	18	-2
43	2	online.SpeedSocreBoardName2	技能套	19	-2
44	2	online.SpeedSocreBoardName2	技能套	20	4
45	2	online.SpeedSocreBoardName2	技能套	21	1
46	2	online.SpeedSocreBoardName2	技能套	22	3
47	2	online.SpeedSocreBoardName2	技能套	23	-2
48	2	online.SpeedSocreBoardName2	技能套	24	-2
49	3	online.SpeedSocreBoardName3	平衡套	1	-2
50	3	online.SpeedSocreBoardName3	平衡套	2	1
51	3	online.SpeedSocreBoardName3	平衡套	3	1
52	3	online.SpeedSocreBoardName3	平衡套	4	2
53	3	online.SpeedSocreBoardName3	平衡套	5	2
54	3	online.SpeedSocreBoardName3	平衡套	6	-2
55	3	online.SpeedSocreBoardName3	平衡套	7	-2
56	3	online.SpeedSocreBoardName3	平衡套	8	-2
57	3	online.SpeedSocreBoardName3	平衡套	9	5
58	3	online.SpeedSocreBoardName3	平衡套	10	-1
59	3	online.SpeedSocreBoardName3	平衡套	11	-2
60	3	online.SpeedSocreBoardName3	平衡套	12	-2
61	3	online.SpeedSocreBoardName3	平衡套	13	-2
62	3	online.SpeedSocreBoardName3	平衡套	14	-2
63	3	online.SpeedSocreBoardName3	平衡套	15	-1
64	3	online.SpeedSocreBoardName3	平衡套	16	5
65	3	online.SpeedSocreBoardName3	平衡套	17	-2
66	3	online.SpeedSocreBoardName3	平衡套	18	-2
67	3	online.SpeedSocreBoardName3	平衡套	19	-2
68	3	online.SpeedSocreBoardName3	平衡套	20	3
69	3	online.SpeedSocreBoardName3	平衡套	21	3
70	3	online.SpeedSocreBoardName3	平衡套	22	4
71	3	online.SpeedSocreBoardName3	平衡套	23	4
72	3	online.SpeedSocreBoardName3	平衡套	24	-2
