序列ID	模式类型（1竞速模式 2积分模式）	//关卡备注	波次id	buff
ID	TypeID	Comment	Wave	Skill
1	1		1	{3820001,1}
2	1		2	{3820001,2}
3	1		3	{3820001,3}
4	1		4	{3820001,2}
5	1		5	{3820001,4}
6	1		6	{3820001,5}
7	1		7	{3820001,3}
8	1		8	{3820001,5}
9	1		9	{3820001,6}
10	1		10	{3820001,8}
21	2		1	{3820001,2}
22	2		2	{3820001,4}
23	2		3	{3820001,2}
24	2		4	{3820001,3}
25	2		5	{3820001,5}
26	2		6	{3820001,3}
27	2		7	{3820001,4}
28	2		8	{3820001,6}
29	2		9	{3820001,3}
30	2		10	{3820001,5}
31	2		11	{3820001,7}
32	2		12	{3820001,4}
33	2		13	{3820001,6}
34	2		14	{3820001,9}
35	2		15	{3820001,5}
36	2		16	{3820001,7}
37	2		17	{3820001,9}
38	2		18	{3820001,5}
39	2		19	{3820001,8}
40	2		20	{3820001,10}
41	2		21	{3820001,6}
42	2		22	{3820001,9}
43	2		23	{3820001,11}
44	2		24	{3820001,6}
45	2		25	{3820001,10}
46	2		26	{3820001,12}
47	2		27	{3820001,7}
48	2		28	{3820001,11}
49	2		29	{3820001,12}
50	2		30	{3820001,8}
51	2		31	{3820001,12}
52	2		32	{3820001,13}
53	2		33	{3820001,9}
54	2		34	{3820001,13}
55	2		35	{3820001,14}
56	2		36	{3820001,10}
57	2		37	{3820001,14}
58	2		38	{3820001,14}
59	2		39	{3820001,11}
60	2		40	{3820001,15}
61	2		41	{3820001,15}
62	2		-1	{3820001,12}
