id	//备注	//备注2	buffid	品质	概率权重
ID	Comment	Comment2	BuffID	Quality	Weight
1	中级宝箱	在战斗中，冲刺状态耐力消耗降低20%	1	1	260
1	中级宝箱	降低10%射击速度,提升45%射击伤害	2	4	120
1	中级宝箱	冲刺状态时受到的伤害降低75%	4	1	260
1	中级宝箱	瞄准射击的伤害提升25%	5	4	120
1	中级宝箱	常规技能伤害提升40%	6	4	120
1	中级宝箱	暴击率提升15%	7	1	260
1	中级宝箱	攻击处于异常状态的敌人伤害增加50%	8	4	120
1	中级宝箱	使用常规技能后,受到伤害降低20%,持续10秒	9	1	260
1	中级宝箱	使用常规技能后,恢复3%最大生命，冷却时间10秒	11	1	260
1	中级宝箱	最大生命提升20%	12	2	280
1	中级宝箱	暴击伤害增幅提升50%	13	5	80
1	中级宝箱	每击倒1个敌方目标,最大生命永久提升1%	14	5	80
1	中级宝箱	耐力上限提升50%	15	2	280
1	中级宝箱	闪避的体力消耗减少20%	16	1	260
1	中级宝箱	5秒未受伤害,常规技能伤害提升40%	17	2	280
1	中级宝箱	暴击后恢复2%生命,触发间隔2秒	18	1	260
1	中级宝箱	弹匣容量提升50%	20	4	120
1	中级宝箱	换弹速度提升30%	21	1	260
1	中级宝箱	击倒目标后,伤害提升50%,持续5秒	22	4	120
1	中级宝箱	最大生命降低33%,所有伤害提升45%	25	5	80
1	中级宝箱	最大生命降低33%,常规技能伤害提升60%	26	4	120
1	中级宝箱	高温类型伤害提升15%	27	3	260
1	中级宝箱	电击类型伤害提升15%	30	3	260
1	中级宝箱	射击命中时恢复0.5%最大生命值,触发间隔1秒	32	3	260
1	中级宝箱	暴击后射击速度提升33%,持续5秒	33	3	260
1	中级宝箱	击倒敌方目标后,常规技能使用间隔减少1秒	34	2	280
1	中级宝箱	弹匣内第一发子弹的伤害提升80%	36	1	260
1	中级宝箱	每击败1个敌方目标，暴击率提升1%	40	2	280
1	中级宝箱	爆发能量为100时，暴击伤害提升20%	42	3	260
1	中级宝箱	暴击后可恢复1爆发能量	43	3	260
1	中级宝箱	击败敌方目标后，射击速度提升15%，持续5秒	45	2	280
1	中级宝箱	命中目标时为其施加易伤效果，使其受到的射击伤害提升4%，持续2.5秒，最多叠加10层	46	3	260
1	中级宝箱	换弹后，你的下4发子弹伤害提高50%	48	2	280
1	中级宝箱	5米范围内，每存在1个敌对目标，暴击伤害提升20%	49	3	260
1	中级宝箱	当前生命2%转化为额外攻击力	50	5	80
1	中级宝箱	受治疗效果提升14%	53	1	260
1	中级宝箱	射击命中处于被控制状态的目标时，可无视其50%的防御	54	4	120
1	中级宝箱	以自身为中心释放1次震荡波，对周围目标造成队员攻击力{1}%的动能类型伤害，触发间隔{2}秒	56	4	120
1	中级宝箱	5米范围内的目标受到的伤害提升20%	58	3	260
1	中级宝箱	暴击时，该次伤害无视目标40%的防御力	60	4	120
1	中级宝箱	使用狙击枪、霰弹枪和手枪的队员，造成的伤害提升15%	61	3	260
1	中级宝箱	5米范围内，每有1个目标，攻击力和防御力均提升2.5%，最多叠加5层	62	2	280
1	中级宝箱	射击速度提升10%	64	2	280
1	中级宝箱	移动速度提升20%	65	2	280
1	中级宝箱	射击伤害增加30%，进入持续射击状态后，每秒增加5%攻击力和防御力，最多增加到100%。退出射击状态后每秒衰减20%。	67	5	80
1	中级宝箱	对5米范围内的敌人造成伤害时，降低敌人10%的全元素伤害抗性，持续6秒，可叠加5层	68	5	80
