id	关卡类型	//备注	星级	组别	是否在规则界面显示	规则简介	判定项目文本	评级	挑战内容规则显示	至少需要完成的波次	通关时间（秒数，小于等于）	通关积分（分数，大于等于）	货币奖励	buff宝箱奖励
ID	LevelType	Comment	Star	Group	RuleShow	RuleDes	RuleTypeDes	Rate	ConditionDes	WaveCondition	TimeCondition	ScoreCondition	ItemReward	BuffBoxReward
1	1	竞速关SSS3星	3	6	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	18	online.SpeedSocreConditionDes1	9	150		{{4,1,34,2,30}}	{{4,1,35,1,3},{4,1,35,2,2}}
2	1	竞速关SSS2星	2	6	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	17	online.SpeedSocreConditionDes1	9	190		{{4,1,34,2,30}}	{{4,1,35,1,3},{4,1,35,2,2}}
3	1	竞速关SSS1星	1	6	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	16	online.SpeedSocreConditionDes1	9	220		{{4,1,34,2,30}}	{{4,1,35,1,2},{4,1,35,2,2}}
4	1	竞速关SS3星	3	5	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	15	online.SpeedSocreConditionDes1	9	240		{{4,1,34,2,29}}	{{4,1,35,1,2},{4,1,35,2,2}}
5	1	竞速关SS2星	2	5	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	14	online.SpeedSocreConditionDes1	9	260		{{4,1,34,2,28}}	{{4,1,35,1,2},{4,1,35,2,2}}
6	1	竞速关SS1星	1	5	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	13	online.SpeedSocreConditionDes1	9	280		{{4,1,34,2,28}}	{{4,1,35,1,1},{4,1,35,2,2}}
7	1	竞速关S3星	3	4	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	12	online.SpeedSocreConditionDes1	9	300		{{4,1,34,2,27}}	{{4,1,35,1,1},{4,1,35,2,2}}
8	1	竞速关S2星	2	4	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	11	online.SpeedSocreConditionDes1	9	320		{{4,1,34,2,26}}	{{4,1,35,1,1},{4,1,35,2,2}}
9	1	竞速关S1星	1	4	1	online.SpeedSocreRuleDes1	online.SpeedSocreRuleTypeDes1	10	online.SpeedSocreConditionDes1	9	340		{{4,1,34,2,26}}	{{4,1,35,1,2},{4,1,35,2,1}}
