id	//备注	//备注2	类型	//启用备注	skillid	fixid	modifierid	名称	描述	各等级描述中的数值	图标	等级上限	品质	满级后转化为货币
ID	Comment	Comment2	Type	Comment3	SillinfoID	SkillfixID	ModifierID	Name	Des	BuffParamPerCount	Icon	MaxLevel	Quality	Price
1		在战斗中，冲刺状态耐力消耗降低20%	5	1	{3810121}			buff_online.buff_1101_name	buff_online.buff_1101_dec	{{15},{22.5},{30}}	1001008	3	1	{59,8}
2		降低10%射击速度,提升45%射击伤害	2	1	{3810122}			buff_online.buff_1102_name	buff_online.buff_1102_dec	{{10,60},{10,90},{10,120}}	1001003	3	4	{59,50}
3		降低20%弹匣容量,提升45%射击伤害	2		{3810123}			buff_online.buff_1103_name	buff_online.buff_1103_dec	{{20,70},{20,105},{20,140}}	1001003	3	4	{59,50}
4		冲刺状态时受到的伤害降低75%	3	1	{3810124}			buff_online.buff_1104_name	buff_online.buff_1104_dec	{{20},{30},{40}}	1001008	3	1	{59,8}
5		瞄准射击的伤害提升25%	1	1	{3810125}			buff_online.buff_1105_name	buff_online.buff_1105_dec	{{40},{60},{80}}	1001003	3	4	{59,50}
6		常规技能伤害提升40%	4	1	{3810126}			buff_online.buff_1106_name	buff_online.buff_1106_dec	{{50},{70},{100}}	1001002	3	4	{59,50}
7		暴击率提升15%	2	1	{3810127}			buff_online.buff_1108_name	buff_online.buff_1108_dec	{{15},{22.5},{30}}	1001732	3	1	{59,8}
8		攻击处于异常状态的敌人伤害增加50%	5	1	{3810128}			buff_online.buff_1109_name	buff_online.buff_1109_dec	{{40},{60},{80}}	1001004	3	4	{59,50}
9		使用常规技能后,受到伤害降低20%,持续10秒	4	1	{3810129}			buff_online.buff_1110_name	buff_online.buff_1110_dec	{{10,10},{15,10},{20,10}}	1001005	3	1	{59,8}
10		受到伤害降低20%	3		{3810130}			buff_online.buff_1111_name	buff_online.buff_1111_dec	{{20},{30},{40}}	1001005	3	3	{59,25}
11		使用常规技能后,恢复3%最大生命，冷却时间10秒	4	1	{3810131}			buff_online.buff_1112_name	buff_online.buff_1112_dec	{{4,10},{6,10},{8,10}}	1001006	3	1	{59,8}
12		最大生命提升20%	3	1	{3810132}			buff_online.buff_1113_name	buff_online.buff_1113_dec	{{15},{22.5},{30}}	1001006	3	2	{59,15}
13		暴击伤害增幅提升50%	1	1	{3810133}			buff_online.buff_1114_name	buff_online.buff_1114_dec	{{50},{75},{100}}	1001732	3	5	{59,80}
14		每击倒1个敌方目标,最大生命永久提升1%	3	1	{3810134}			buff_online.buff_1116_name	buff_online.buff_1116_dec	{{1},{1.5},{2}}	1001006	3	5	{59,80}
15		耐力上限提升50%	5	1	{3810135}			buff_online.buff_1117_name	buff_online.buff_1117_dec	{{30},{45},{60}}	1001008	3	2	{59,15}
16		闪避的体力消耗减少20%	5	1	{3810136}			buff_online.buff_1118_name	buff_online.buff_1118_dec	{{15},{22.5},{30}}	1001008	3	1	{59,8}
17		5秒未受伤害,常规技能伤害提升40%	4	1	{3810137}			buff_online.buff_1123_name	buff_online.buff_1123_dec	{{5,20},{5,30},{5,40}}	1001002	3	2	{59,15}
18		暴击后恢复2%生命,触发间隔2秒	1	1	{3810138}			buff_online.buff_1124_name	buff_online.buff_1124_dec	{{1,2},{1.5,2},{2,2}}	1001006	3	1	{59,8}
19		爆发技能量获取效率提升30%	5		{3810139}			buff_online.buff_1125_name	buff_online.buff_1125_dec	{{40},{60},{80}}	1001007	3	4	{59,50}
20		弹匣容量提升50%	2	1	{3810140}			buff_online.buff_1126_name	buff_online.buff_1126_dec	{{15},{22.5},{30}}	1001009	3	4	{59,50}
21		换弹速度提升30%	2	1	{3810141}			buff_online.buff_1127_name	buff_online.buff_1127_dec	{{10},{15},{20}}	1001009	3	1	{59,8}
22		击倒目标后,伤害提升50%,持续5秒	3	1	{3810142}			buff_online.buff_1204_name	buff_online.buff_1204_dec	{{40,5},{60,5},{80,5}}	1001003	3	4	{59,50}
23		动能类型伤害提升15%	4		{3810143}			buff_online.buff_1205_name	buff_online.buff_1205_dec	{{20},{30},{40}}	1001725	3	3	{59,25}
24		弹匣内子弹数量大于50%时,射击的伤害提升40%	2		{3810144}			buff_online.buff_1206_name	buff_online.buff_1206_dec	{{50,50},{50,75},{50,100}}	1001003	3	3	{59,25}
25		最大生命降低33%,所有伤害提升45%	4	1	{3810145}			buff_online.buff_1207_name	buff_online.buff_1208_dec	{{33,60},{33,90},{33,120}}	1001000	3	4	{59,50}
26		最大生命降低33%,常规技能伤害提升60%	1	1	{3810146}			buff_online.buff_1208_name	buff_online.buff_1207_dec	{{33,60},{33,90},{33,120}}	1001002	3	5	{59,80}
27		高温类型伤害提升15%	4	1	{3810147}			buff_online.buff_1209_name	buff_online.buff_1209_dec	{{20},{30},{40}}	1001726	3	3	{59,25}
28		低温类型伤害提升15%	4		{3810148}			buff_online.buff_1210_name	buff_online.buff_1210_dec	{{20},{30},{40}}	1001727	3	3	{59,25}
29		异能类型伤害提升15%	4		{3810149}			buff_online.buff_1211_name	buff_online.buff_1211_dec	{{20},{30},{40}}	1001728	3	3	{59,25}
30		电击类型伤害提升15%	4	1	{3810150}			buff_online.buff_1212_name	buff_online.buff_1212_dec	{{20},{30},{40}}	1001729	3	3	{59,25}
31		所有元素类型的伤害增加30%	5		{3810151}			buff_online.buff_1213_name	buff_online.buff_1213_dec	{{40},{60},{80}}	1001004	3	5	{59,80}
32		射击命中时恢复0.5%最大生命值,触发间隔1秒	2	1	{3810152}			buff_online.buff_1214_name	buff_online.buff_1214_dec	{{1,1},{1.5,1},{2,1}}	1001006	3	3	{59,25}
33		暴击后射击速度提升33%,持续5秒	2	1	{3810153}			buff_online.buff_1215_name	buff_online.buff_1215_dec	{{15,5},{22.5,5},{30,5}}	1001003	3	3	{59,25}
34		击倒敌方目标后,常规技能使用间隔减少1秒	4	1	{3810154}			buff_online.buff_1217_name	buff_online.buff_1217_dec	{{1},{1.5},{2}}	1001733	3	2	{59,15}
35		爆发能量值为100后每秒减少2点,期间射击伤害提高50%,且期间无法获得爆发能量直至爆发能量完全消耗	2		{3810155}			buff_online.buff_1301_name	buff_online.buff_1301_dec	{{2,80},{2,120},{2,160}}	1001003	3	4	{59,50}
36		弹匣内第一发子弹的伤害提升80%	1	1	{3810156}			buff_online.buff_1302_name	buff_online.buff_1302_dec	{{15},{22.5},{30}}	1001000	3	1	{59,8}
37		常规技能使用间隔降低50%	4		{3810157}			buff_online.buff_1303_name	buff_online.buff_1303_dec	{{40},{60},{80}}	1001002	3	5	{59,80}
38		常规技能伤害降低50%,瞄准射击伤害提升75%	1		{3810158}			buff_online.buff_1304_name	buff_online.buff_1304_dec	{{50,70},{50,105},{50,140}}	1001003	3	5	{59,80}
39		爆发能量值为100时,常规技能伤害提升75%	4		{3810159}			buff_online.buff_1306_name	buff_online.buff_1306_dec	{{60},{90},{120}}	1001002	3	4	{59,50}
40		每击败1个敌方目标，暴击率提升1%	1	1	{3810160}			buff_online.buff_1309_name	buff_online.buff_1309_dec	{{0.25},{0.75},{1}}	1001732	3	2	{59,15}
41		每击败1个敌方目标，暴击伤害提升1%	1		{3810161}			buff_online.buff_1311_name	buff_online.buff_1311_dec	{{2},{3},{4}}	1001732	3	4	{59,50}
42		爆发能量为100时，暴击伤害提升20%	1	1	{3810162}			buff_online.buff_1312_name	buff_online.buff_1312_dec	{{30},{45},{60}}	1001732	3	3	{59,25}
43		暴击后可恢复1爆发能量	1	1	{3810163}			buff_online.buff_1315_name	online.SpeedScoreBuffDes6	{{0.5},{0.75},{1}}	1001007	3	3	{59,25}
44		冲刺状态下，每秒回复3%的最大生命	5		{3810164}			buff_online.buff_1316_name	buff_online.buff_1316_dec	{{2},{3},{4}}	1001006	3	3	{59,25}
45		击败敌方目标后，射击速度提升15%，持续5秒	2	1	{3810165}			buff_online.buff_1317_name	buff_online.buff_1317_dec	{{8,5},{12,5},{16,5}}	1001007	3	2	{59,15}
46		命中目标时为其施加易伤效果，使其受到的射击伤害提升4%，持续2.5秒，最多叠加10层	5	1	{3810166}			buff_online.buff_1328_name	buff_online.buff_1328_dec	{{2,2.5,10},{3,2.5,10},{4,2.5,10}}	1001730	3	3	{59,25}
