	注释	血量（破墙值）	血量ID	血量强度id	血量倍数	血量继承百分比	攻击ID	攻击强度id	攻击倍数	攻击继承百分比	防御ID	防御强度id	防御倍数	防御继承百分比	暴击率	暴击率继承百分比	实弹抗性	火抗	冰抗	雷抗	异能抗性	场地伤害抗性	群伤减免系数
ID	Comment	Health	HealthID	GradeHealthID	HealthTimes	HealthEX	AttackID	GradeAttackID	AttackTimes	AttackEX	DefenceID	GradeDefenceID	DefenceTimes	DefenceEX	CriticalValue	CriticalValueEX	EntityBulletResistance	FireResistance	IceResistance	ThunderResistance	SuperpowersResistance	FieldResistance	RangeDamageReduction
2001	茉莉安隐身陷阱	0		400	10			400	20			400	1		0		0	0	0	0	0	0	100
2002	296	0		400	40			400	20			400	1		0		0	0	0	0	0	0	100
2003	2701	0		400	2000			400	6			400	1		0		0	0	0	0	0	0	100
2004	波伏娃 柱子	600			0			400	10				0		0		0	0	0	0	0	-100	100
2005	908	0		400	350			400	20			400	1		0		0	0	0	0	0	0	100
2006	测试低血量陷阱	0		400	50			400	100			400	1		0		0	0	0	0	0	0	100
2007	尤弥尔陷阱	900			0			201	1				0		0		0	0	0	0	0	0	100
2008	术士陷阱	0		101	3.5			201	1			302	1		0		0	0	0	0	0	0	100
2009	爆炸桶	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2010	燃烧桶	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2011	异能桶	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2012	冰冻桶	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2013	变压桶	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2014	磁能机关	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2015	破片桶	0		400	5			101	1			400	1		0		0	0	0	0	0	0	100
2016	压制支援装置	0		101	2.6			201	1			302	1		0		0	0	0	0	0	0	100
2017	盖弥尔陷阱	0		101	5			201	1			302	1		0		0	0	0	0	0	0	100
2018	加文大招	150			0			201	1				0		0		0	0	0	0	0	0	100
2019	约瑟夫的牌子	50			0			201	1				0		0		0	0	0	0	0	0	100
2020	保护-信标	0		201	1000			400	0			400	1		0		0	0	0	0	0	0	100
2021	摧毁-降临团泰坦柱	0		101	10			400	0			301	1		0		0	0	0	0	0	0	100
2022	摧毁-郊狼信号站	0		101	10			400	0			301	1		0		0	0	0	0	0	0	100
2023	第9章 尤弥尔弱点	0		101	5			201	1			303	1		0		0	0	0	0	0	0	100
2024	第9章 尤弥尔蓄力技能	900			0			201	1				0		0		0	0	0	0	0	0	100
2025	BOSS 刻耳柏洛斯陷阱	750			0			201	1				0		0		0	0	0	0	0	0	100
2026	思念体花	0		101	1.5			201	1			400	1		0		0	0	0	0	0	0	100
2027	祟 陷阱	0		104	1.5			201	1			301	1		0		0	0	0	0	0	0	100
2028	物流精英 A	0		101	{{1,1.47},{80,2.5},{81,2.5}}			201	1			302	1		0		0	-5	0	-10	-10	0	100
2029	物流精英 B	0		101	{{1,1.47},{80,2.5},{81,2.5}}			201	1			302	1		0		0	-5	0	-10	-10	0	100
2030	瑟瑞丝护盾	0		400	1				0	100			0	0	0	0	0	0	0	0	0	0	100
2031	捕蝇草 A	300			0			201	1			302	1		0		0	0	0	0	0	0	100
2032	谢尔德机甲 屏障	0		102	{{1,3.68},{80,4},{81,4}}			201	1			302	1		0		0	-5	0	-10	-10	0	100
2033	DLC3Boss盒子	1125			0			201	1				0		0		0	0	0	0	0	0	100
2034	DLC3Boss可击破子弹	113			0			201	1				0		0		0	0	0	0	0	0	100
2035	联机用保护-信标（难度高）	0		201	100			400	0			400	1		0		0	0	0	0	0	0	100
2036	DLC伤害传递装置	0		101	99999			201	1			301	1		0		0	0	0	0	0	0	100
2037	DLC3Boss泡泡子弹	5			0			201	1				0		0		0	0	0	0	0	0	100
2038	重壁牌子	150			0			201	1				0		0		-10	-10	-5	0	0	0	100
2039	巴伦支精英斥候陷阱	300			0			201	1			302	1		0		0	0	0	0	0	0	100
2040	耶洛沙之泪 柱子	450			0			400	10				0		0		0	0	0	0	0	-100	100
2041	羽蜕大招冰箱	100			0			0	0				0		0		0	0	0	0	0	0	0
2042	新星开拓钢珠手雷	0		101	3.5			201	1			302	1		0		0	0	0	0	0	0	100
2043	派二阶段可破坏物	200			0			201	1			303	1		0		0	0	0	0	0	0	100
2044	派二阶段小球	0		104	15			201	1			303	1		0		40	-20	0	-10	0	0	100
2045	恒沙之眼	0		400	3000			201	1			303	0		0		40	-20	0	-10	0	0	100
2046	派纯洁 陷阱	5000		104	8			201	1			301	1		0		0	0	0	0	0	0	100
2047	禁区协议用保护-信标（难度高）	0		999	1			400	0			400	1		0		0	0	0	0	0	0	100
2048	沙虫的龙卷风	110			0			201	1			302	1		0		0	0	0	0	0	0	100
2049	夜天光常规技无人机（废弃）	0		400	10			400	20				1	100	0		0	0	0	0	0	0	100
2050	异星守护防线血量	0		105	1			0	0				0		0		0	0	0	0	0	0	100
2051	DLC25破坏物	0		101	3.5			400	0			301	1		0		0	0	0	0	0	0	100
2052	新星开拓盖弥尔陷阱	0		201	15.063768			101	0			302	1		0		0	0	0	0	0	0	100
2053	梦神的猪墙	100			0			201	1			302	1		0		0	0	0	0	0	0	100
2054	梦神的天眼陷阱	0		101	1.5			201	1			400	1		0		0	0	0	0	0	0	100
2055	背包肉鸽无人机1	100			0			0	0				0		0		0	0	0	0	0	0	0
2056	DLC3.1绊线	0		400	1			101	0			400	1		0		0	0	0	0	0	0	0
2057	尼亚尔磐石的地雷	50			0			201	1				0		0		0	0	0	0	0	0	100
2058	BOSS SpH-L12能量球	0		104	7.5			201	1				0		0		60	-30	60	60	0	0	100
2059	激浪联航我方船只	0		400	{{1,600000},{2,650000},{3,700000},{4,800000},{5,900000},{6,1100000},{7,1300000}}			201	1				0		0		0	0	0	0	0	0	100
2060	激浪联航敌方船只（小）	0		401	24000			400	1				0		0		0	0	0	0	0	0	100
2061	激浪联航敌方船只（中）	0		401	9000			400	1				0		0		0	0	0	0	0	0	100
2062	激浪联航敌方船只（大）	0		401	300000			400	1				0		0		0	0	0	0	0	0	100
2063	爆爆菜园_雪球			103	75			201	5				0		0		0	0	0	0	0	0	100
2064	爆爆菜园_冰块			400	1			201	5				0		0		0	0	0	0	0	0	100
2065	瑟茜本体能量球	120			0			200	1				0		0		0	0	0	0	0	0	100
2066	瑟茜本体水晶	120			0			200	1				0		0		0	0	0	0	0	0	100
2067	瑟茜本体水晶	120			0			200	1				0		0		0	0	0	0	0	0	100
2068	瑟茜大幻象能量球	300			0			200	1				0		0		0	0	0	0	0	0	100
2069	瑟茜大幻象熔浪子弹	300			0			200	1				0		0		0	0	0	0	0	0	100
2070	激浪联航自爆船	0		400	5000			400	40000				0		0		0	0	0	0	0	0	100
2071	激浪联航水雷	550			0			201	1				0		0		0	0	0	0	0	0	100
