ID	//备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 18=家具）	Logo	道具130*130	大图200*200	货币50*50	礼包400*400
ID	Comment	Define	Logo	P3	P2	P10	P11
1810101	简约书柜	18		110300100	110300101		
1810102	藤原复古街机	18		110300000	110300001		
1810103	武器展示柜	18		110300200	110300201		
1810104	音响套装	18		110300500	110300501		
1810105	宅家神器套装	18		110300300	110300301		
1810106	刀架	18		110300600	110300601		
1810107	旧时家庭影院	18		110300400	110300401		
1810108	游戏海报	18		110300700	110300701		
1810109	刀剑展览门票集	18		110300800	110300801		
1810110	「野干」面具	18		110300900	110300901		
1810111	「大魔王」游戏机	18		110310480	110310481		
1810121	大安卡恒约照	18		110312120	110312121		
1810122	小安卡恒约照	18		110312130	110312131		
1810120	安卡膝枕	18		110312170	110312171		
							
1810201	神经修复仓	18		110301000	110301001		
1810202	嵌入式展示柜	18		110301100	110301101		
1810203	深层肌膜冲击椅	18		110301200	110301201		
1810204	兵人棋盘	18		110301300	110301301		
1810205	飞镖靶	18		110301400	110301401		
1810206	全向跑步机	18		110301500	110301501		
1810207	无人机支架	18		110301600	110301601		
1810208	唱片机	18		110301700	110301701		
1810209	拟真相册	18		110301800	110301801		
1810210	唱片	18		110304800	110304801		
1810211	高级飞镖套装	18		110310760	110310761		
1810220	亲密爱抚	18		110311020	110311021		
1810221	里芙恒约照	18		110311160	110311161		
							
1810401	辅助机整备系统	18		110302000	110302001		
1810402	多功能工作台	18		110301900	110301901		
1810403	能量饮品柜	18		110302100	110302101		
1810404	家用静音跑步机	18		110302200	110302201		
1810405	鲁比克方块抱枕	18		110302500	110302501		
1810406	「早起鸟」电子钟	18		110302400	110302401		
1810407	「二进制人生」地垫	18		110302600	110302601		
1810408	壁挂式小型书架	18		110302700	110302701		
1810409	改良型常青绿植	18		110302800	110302801		
1810410	可调节拆卸壶铃	18		110302300	110302301		
1810411	专业特训跑步机	18		110310610	110310611		
1810420	芙提雅膝枕	18		110312180	110312181		
							
1810701	进阶厨具组	18		110302900	110302901		
1810702	食品储物柜	18		110303000	110303001		
1810703	双开门智能冰箱	18		110303400	110303401		
1810704	双椅餐桌	18		110303100	110303101		
1810705	企鹅手偶	18		110303200	110303201		
1810706	摇粒绒纯色毯	18		110303500	110303501		
1810707	居家毛绒组合	18		110303300	110303301		
1810708	备份门卡	18		110303600	110303601		
1810709	大头抱枕	18		110303700	110303701		
1810710	备用通讯装置	18		110304900	110304901		
1810711	温馨餐桌椅组合	18		110310740	110310741		
							
1810801	藏品展柜	18		110303900	110303901		
1810802	组合化妆台	18		110303800	110303801		
1810803	高透玻璃展柜	18		110304300	110304301		
1810804	设计款茶组	18		110304000	110304001		
1810805	全息影像屏	18		110304400	110304401		
1810806	乐器组合	18		110304100	110304101		
1810807	落地等身镜	18		110304200	110304201		
1810808	女式帽套装	18		110304500	110304501		
1810809	明星海报	18		110304600	110304601		
1810810	作战记录仪	18		110304700	110304701		
1810811	至臻藏品展柜	18		110310470	110310471		
1810820	甜蜜揉捏	18		110311010	110311011		
1810821	芬妮恒约照	18		110311170	110311171		
							
1811301	便捷家用摄影棚	18		110305000	110305001		
1811302	生态观赏鱼缸	18		110305100	110305101		
1811303	叠层式盆栽造景	18		110305200	110305201		
1811304	影像留言屏	18		110305300	110305301		
1811305	自印款拼图桌组	18		110305400	110305401		
1811306	自粘式原木拼接板	18		110305500	110305501		
1811307	复古录音笔	18		110305600	110305601		
1811308	拍立得相机相纸套装	18		110305700	110305701		
1811309	记录报告	18		110305800	110305801		
1811310	立体月球虚影灯	18		110305900	110305901		
1811311	高级造景鱼缸	18		110310750	110310751		
							
