少女Id	声音id	//备注	语音（2条随机播，逗号隔开）	间隔时长（距离上一条语音播放start＜此时长不触发）
Id	VoiceID	Des	Voice	Time
23	1001	米娅-入场特写	Play_Vo_girl023_coinpusher_enter_01	
23	1002	米娅-能量开始积攒	Play_Vo_girl023_coinpusher_energyup_01	5
23	1003	米娅-能量攒满爆奖励	Play_Vo_girl023_coinpusher_energyfull_01	
23	1004	米娅-回合通过小胜利1	Play_Vo_girl023_coinpusher_smallwin_01,Play_Vo_girl023_coinpusher_smallwin_02	3
23	1005	米娅-失败提示1（使用摇晃）	Play_Vo_girl023_coinpusher_failpre_01	
23	1006	米娅-摇晃机器1	Play_Vo_girl023_coinpusher_shake_01,Play_Vo_girl023_coinpusher_shake_02	
23	1007	米娅-币塔出现（通用）	Play_Vo_girl023_coinpusher_cointower_01	3
23	1008	米娅-丢入坏币（通用）	Play_Vo_girl023_coinpusher_badcoin_01	
23	1009	米娅-补币（通用）	Play_Vo_girl023_coinpusher_extracoins_01	
23	1010	米娅-使用道具（通用）	Play_Vo_girl023_coinpusher_useprop_01	3
23	1011	米娅-玩家长时间不操作的催促语音	Play_Vo_girl023_coinpusher_waiting_01	5
23	1012	米娅-坏币清除的夸赞语音	Play_Vo_girl023_coinpusher_clean_01	3
23	1013	米娅-进入无尽模式商店时随到此少女	Play_Vo_girl023_coinpusher_with_01	
23	1014	米娅-短时间内连续投币的彩蛋语音1	Play_Vo_girl023_coinpusher_insertcoins_01,Play_Vo_girl023_coinpusher_insertcoins_02	10
23	1015	米娅-当前回合首次推下币的彩蛋语音1	Play_Vo_girl023_coinpusher_pushcoin_01,Play_Vo_girl023_coinpusher_pushcoin_02	
23	1016	米娅-连击达到x次的彩蛋语音1	Play_Vo_girl023_coinpusher_combo_01,Play_Vo_girl023_coinpusher_combo_02	7
23	1017	米娅-单人失败结算	Play_Vo_girl023_coinpusher_fail_01	
23	1018	米娅-单人胜利结算	Play_Vo_girl023_coinpusher_bigwin_01	
23	1019	米娅-5人大结算分镜	Play_Vo_girl023_coinpusher_challengewin_01	
23	1020	米娅-失败提示2（遗憾退出）	Play_Vo_girl023_coinpusher_failpre_02	
				
1	1001	安卡-入场特写	Play_Vo_girl001b_coinpusher_enter_01	
1	1002	安卡-能量开始积攒	Play_Vo_girl001b_coinpusher_energyup_01	5
1	1003	安卡-能量攒满爆奖励	Play_Vo_girl001b_coinpusher_energyfull_01	
1	1004	安卡-回合通过小胜利1	Play_Vo_girl001b_coinpusher_smallwin_01,Play_Vo_girl001b_coinpusher_smallwin_02	3
1	1005	安卡-失败提示1（使用摇晃）	Play_Vo_girl001b_coinpusher_failpre_01	
1	1006	安卡-摇晃机器1	Play_Vo_girl001b_coinpusher_shake_01,Play_Vo_girl001b_coinpusher_shake_02	
1	1007	安卡-币塔出现（通用）	Play_Vo_girl001b_coinpusher_cointower_01	3
1	1008	安卡-丢入坏币（通用）	Play_Vo_girl001b_coinpusher_badcoin_01	
1	1009	安卡-补币（通用）	Play_Vo_girl001b_coinpusher_extracoins_01	
1	1010	安卡-使用道具（通用）	Play_Vo_girl001b_coinpusher_useprop_01	3
1	1011	安卡-玩家长时间不操作的催促语音	Play_Vo_girl001b_coinpusher_waiting_01	5
1	1012	安卡-坏币清除的夸赞语音	Play_Vo_girl001b_coinpusher_clean_01	3
1	1013	安卡-进入无尽模式商店时随到此少女	Play_Vo_girl001b_coinpusher_with_01	
1	1014	安卡-短时间内连续投币的彩蛋语音1	Play_Vo_girl001b_coinpusher_insertcoins_01,Play_Vo_girl001b_coinpusher_insertcoins_02	10
1	1015	安卡-当前回合首次推下币的彩蛋语音1	Play_Vo_girl001b_coinpusher_pushcoin_01,Play_Vo_girl001b_coinpusher_pushcoin_02	
1	1016	安卡-连击达到x次的彩蛋语音1	Play_Vo_girl001b_coinpusher_combo_01,Play_Vo_girl001b_coinpusher_combo_02	7
1	1017	安卡-单人失败结算	Play_Vo_girl001b_coinpusher_fail_01	
1	1018	安卡-单人胜利结算	Play_Vo_girl001b_coinpusher_bigwin_01	
1	1019	安卡-5人大结算分镜	Play_Vo_girl001b_coinpusher_challengewin_01	
1	1020	安卡-失败提示2（遗憾退出）	Play_Vo_girl001b_coinpusher_failpre_02	
				
5	1001	茉莉安-入场特写	Play_Vo_girl005c_coinpusher_enter_01	
5	1002	茉莉安-能量开始积攒	Play_Vo_girl005c_coinpusher_energyup_01	5
5	1003	茉莉安-能量攒满爆奖励	Play_Vo_girl005c_coinpusher_energyfull_01	
5	1004	茉莉安-回合通过小胜利1	Play_Vo_girl005c_coinpusher_smallwin_01,Play_Vo_girl005c_coinpusher_smallwin_02	3
5	1005	茉莉安-失败提示1（使用摇晃）	Play_Vo_girl005c_coinpusher_failpre_01	
5	1006	茉莉安-摇晃机器1	Play_Vo_girl005c_coinpusher_shake_01,Play_Vo_girl005c_coinpusher_shake_02	
5	1007	茉莉安-币塔出现（通用）	Play_Vo_girl005c_coinpusher_cointower_01	3
5	1008	茉莉安-丢入坏币（通用）	Play_Vo_girl005c_coinpusher_badcoin_01	
5	1009	茉莉安-补币（通用）	Play_Vo_girl005c_coinpusher_extracoins_01	
5	1010	茉莉安-使用道具（通用）	Play_Vo_girl005c_coinpusher_useprop_01	3
5	1011	茉莉安-玩家长时间不操作的催促语音	Play_Vo_girl005c_coinpusher_waiting_01	5
5	1012	茉莉安-坏币清除的夸赞语音	Play_Vo_girl005c_coinpusher_clean_01	3
5	1013	茉莉安-进入无尽模式商店时随到此少女	Play_Vo_girl005c_coinpusher_with_01	
5	1014	茉莉安-短时间内连续投币的彩蛋语音1	Play_Vo_girl005c_coinpusher_insertcoins_01,Play_Vo_girl005c_coinpusher_insertcoins_02	10
5	1015	茉莉安-当前回合首次推下币的彩蛋语音1	Play_Vo_girl005c_coinpusher_pushcoin_01,Play_Vo_girl005c_coinpusher_pushcoin_02	
5	1016	茉莉安-连击达到x次的彩蛋语音1	Play_Vo_girl005c_coinpusher_combo_01,Play_Vo_girl005c_coinpusher_combo_02	7
5	1017	茉莉安-单人失败结算	Play_Vo_girl005c_coinpusher_fail_01	
5	1018	茉莉安-单人胜利结算	Play_Vo_girl005c_coinpusher_bigwin_01	
5	1019	茉莉安-5人大结算分镜	Play_Vo_girl005c_coinpusher_challengewin_01	
5	1020	茉莉安-失败提示2（遗憾退出）	Play_Vo_girl005c_coinpusher_failpre_02	
				
13	1001	瑟瑞斯-入场特写	Play_Vo_girl013b_coinpusher_enter_01	
13	1002	瑟瑞斯-能量开始积攒	Play_Vo_girl013b_coinpusher_energyup_01	5
13	1003	瑟瑞斯-能量攒满爆奖励	Play_Vo_girl013b_coinpusher_energyfull_01	
13	1004	瑟瑞斯-回合通过小胜利1	Play_Vo_girl013b_coinpusher_smallwin_01,Play_Vo_girl013b_coinpusher_smallwin_02	3
13	1005	瑟瑞斯-失败提示1（使用摇晃）	Play_Vo_girl013b_coinpusher_failpre_01	
13	1006	瑟瑞斯-摇晃机器1	Play_Vo_girl013b_coinpusher_shake_01,Play_Vo_girl013b_coinpusher_shake_02	
13	1007	瑟瑞斯-币塔出现（通用）	Play_Vo_girl013b_coinpusher_cointower_01	3
13	1008	瑟瑞斯-丢入坏币（通用）	Play_Vo_girl013b_coinpusher_badcoin_01	
13	1009	瑟瑞斯-补币（通用）	Play_Vo_girl013b_coinpusher_extracoins_01	
13	1010	瑟瑞斯-使用道具（通用）	Play_Vo_girl013b_coinpusher_useprop_01	3
13	1011	瑟瑞斯-玩家长时间不操作的催促语音	Play_Vo_girl013b_coinpusher_waiting_01	5
13	1012	瑟瑞斯-坏币清除的夸赞语音	Play_Vo_girl013b_coinpusher_clean_01	3
13	1013	瑟瑞斯-进入无尽模式商店时随到此少女	Play_Vo_girl013b_coinpusher_with_01	
13	1014	瑟瑞斯-短时间内连续投币的彩蛋语音1	Play_Vo_girl013b_coinpusher_insertcoins_01,Play_Vo_girl013b_coinpusher_insertcoins_02	10
13	1015	瑟瑞斯-当前回合首次推下币的彩蛋语音1	Play_Vo_girl013b_coinpusher_pushcoin_01,Play_Vo_girl013b_coinpusher_pushcoin_02	
13	1016	瑟瑞斯-连击达到x次的彩蛋语音1	Play_Vo_girl013b_coinpusher_combo_01,Play_Vo_girl013b_coinpusher_combo_02	7
13	1017	瑟瑞斯-单人失败结算	Play_Vo_girl013b_coinpusher_fail_01	
13	1018	瑟瑞斯-单人胜利结算	Play_Vo_girl013b_coinpusher_bigwin_01	
13	1019	瑟瑞斯-5人大结算分镜	Play_Vo_girl013b_coinpusher_challengewin_01	
13	1020	瑟瑞斯-失败提示2（遗憾退出）	Play_Vo_girl013b_coinpusher_failpre_02	
				
10	1001	肴-入场特写	Play_Vo_girl010_coinpusher_enter_01	
10	1002	肴-能量开始积攒	Play_Vo_girl010_coinpusher_energyup_01	5
10	1003	肴-能量攒满爆奖励	Play_Vo_girl010_coinpusher_energyfull_01	
10	1004	肴-回合通过小胜利1	Play_Vo_girl010_coinpusher_smallwin_01,Play_Vo_girl010_coinpusher_smallwin_02	3
10	1005	肴-失败提示1（使用摇晃）	Play_Vo_girl010_coinpusher_failpre_01	
10	1006	肴-摇晃机器1	Play_Vo_girl010_coinpusher_shake_01,Play_Vo_girl010_coinpusher_shake_02	
10	1007	肴-币塔出现（通用）	Play_Vo_girl010_coinpusher_cointower_01	3
10	1008	肴-丢入坏币（通用）	Play_Vo_girl010_coinpusher_badcoin_01	
10	1009	肴-补币（通用）	Play_Vo_girl010_coinpusher_extracoins_01	
10	1010	肴-使用道具（通用）	Play_Vo_girl010_coinpusher_useprop_01	3
10	1011	肴-玩家长时间不操作的催促语音	Play_Vo_girl010_coinpusher_waiting_01	5
10	1012	肴-坏币清除的夸赞语音	Play_Vo_girl010_coinpusher_clean_01	3
10	1013	肴-进入无尽模式商店时随到此少女	Play_Vo_girl010_coinpusher_with_01	
10	1014	肴-短时间内连续投币的彩蛋语音1	Play_Vo_girl010_coinpusher_insertcoins_01,Play_Vo_girl010_coinpusher_insertcoins_02	10
10	1015	肴-当前回合首次推下币的彩蛋语音1	Play_Vo_girl010_coinpusher_pushcoin_01,Play_Vo_girl010_coinpusher_pushcoin_02	
10	1016	肴-连击达到x次的彩蛋语音1	Play_Vo_girl010_coinpusher_combo_01,Play_Vo_girl010_coinpusher_combo_02	7
10	1017	肴-单人失败结算	Play_Vo_girl010_coinpusher_fail_01	
10	1018	肴-单人胜利结算	Play_Vo_girl010_coinpusher_bigwin_01	
10	1019	肴-5人大结算分镜	Play_Vo_girl010_coinpusher_challengewin_01	
10	1020	肴-失败提示2（遗憾退出）	Play_Vo_girl010_coinpusher_failpre_02	
