主键ID	//注释	参数（概率都配置成小数）
ID	Comment	Param
BaseCoinNum	对局开始默认赠送的基础币数量	50
BaseCoinNumAdd	除首回合外，每回合开始额外赠送的基础币数量	20
BaseCoinChangeRate	默认彩蛋币转化概率	0.02
ExchangeCoinTimes	每回合默认兑币次数	4
ExtraCoinCondition	单区域触发补币的条件：该区域币数≤x	3
ExtraCoinTimes	整局补币次数上限	10
ExtraCoinNum	每次补币数量	15
TypeGoodsNum	各类商品数量{商品类型1特殊币2镀层3主动道具4被动道具，数量}	{1,4},{2,1},{3,1},{4,2}
HighQualityBaseRate	高稀有度（紫橙）商品在局内的出现概率{商品类型1特殊币3主动道具4被动道具，概率}	{1,0.2},{3,0.2},{4,0.2}
PlatingAppearRate	商店出现镀层的概率	0.2
CoinDoubleRate	商店特殊币出现买一送一概率	0.02
CoinFreeRate	商店特殊币出现免费概率	0.02
ComboTime	连击倒计时（秒）	2
ComboToEnergy	每x次连击计y点能量x,y	2,1
ComboToPtRate	每x次连击+y分数倍率x,y	8,0.1
FullEnergy	满能量所需点数	24
EnergyPipeLimit	能量条数上限	5
FailWaitCD	失败等待CD（秒）	6
DataPage2BgAndTitleID	本局数据代币信息分页的条目栏底板颜色+标题（角标图素ID，底板图素ID，标题多语言）	{1700310,1700313,"house.Coinpusher_SummaryTitleName1"},{1700309,1700312,"house.Coinpusher_SummaryTitleName4"},{1700311,1700314,"house.Coinpusher_SummaryTitleName3"},{1700311,1700314,"house.Coinpusher_SummaryTitleName2"}
MoneyIcon	票券icon ID	1545999
JumpTextRotation	得分跳字随机旋转范围{负为向左转角度,正向右转角度}	-15,15
JumpTextPositon	得分跳字随机偏移范围{x轴偏移上下限},{y轴偏移上下限}	{-30,30},{-30,30}
RewardTextShowTime	随机奖励结果展示时间（秒）	3
GuideStartMoney	新手引导关初始赠送票券	200
GuideRewardProp	新手引导坏币清除三选一奖励	4,5,6
GuideStoreRound1	新手引导第1回合出现商品{硬币id1,硬币id2,...}	{101,113,113,114}
GuideStoreRound2	新手引导第2回合出现商品{硬币id列表},{扭蛋道具id},{被动道具id列表}	{101,113,113,114},{6},{11,12}
GuideStoreRound3	新手引导第3回合出现商品{硬币id列表},{扭蛋道具id},{被动道具id列表},{镀层id}	{113,113,102,101},{6},{11,4},{4}
InsertCoinPress	长按连续投币{长按时长,连续投币间隔}	1,0.2
PlatedCoinSaleUp	已镀层硬币售价提升幅度（小数形式的百分比）	0.2
IconIntervalPassive16	被动道具16同时触发多次效果时icon飞行间隔（秒）	0.1
VoiceConditionWaiting	长时间不操作的催促语音：≥x秒无主动投基础币操作	60
VoiceConditionComboo1	x秒内连续自主投基础币≥y次的彩蛋语音	3,20
VoiceConditionComboo2	连击≥x次的彩蛋语音	50
FullEnergyRewardAgain	满能量随机抽奖进阶卡池保底次数（连续x次没有，下次一定）	3
