商店ID	//注释	对应开局道具	商品类型1特殊币2镀层3主动道具4被动道具	商品ID	出现权重	品质对照
StoreID	Comment	StartPropID	Type	GoodsID	Weight	Quality
1		3	1	109	140	4
1		3	1	110	160	3
1		3	1	111	150	2
1		3	1	112	200	1
1		3	1	101	70	4
1		3	1	102	90	2
1		3	1	103	100	1
1		3	1	113	100	1
1		3	1	114	90	2
1		3	1	115	80	3
1		3	2	2	200	
1		3	2	1	100	
1		3	2	3	100	
1		3	2	4	100	
1		3	2	5	100	
1		3	3	5	160	3
1		3	3	1	80	3
1		3	3	2	80	3
1		3	3	3	80	3
1		3	3	4	80	3
1		3	3	6	90	2
1		3	3	7	70	4
1		3	4	5	180	2
1		3	4	6	200	1
1		3	4	7	200	1
1		3	4	8	120	4
1		3	4	1	90	3
1		3	4	2	100	1
1		3	4	3	90	3
1		3	4	4	80	2
1		3	4	9	100	1
1		3	4	10	70	4
1		3	4	11	100	1
1		3	4	12	100	1
1		3	4	13	80	3
1		3	4	14	80	3
1		3	4	15	70	4
1		3	4	16	100	1
1		3	4	17	90	2
						
2		4	1	104	150	2
2		4	1	105	160	1
2		4	1	106	160	1
2		4	1	107	140	3
2		4	1	101	70	4
2		4	1	102	90	2
2		4	1	103	100	1
2		4	1	113	100	1
2		4	1	114	90	2
2		4	1	115	80	3
2		4	2	3	200	
2		4	2	1	100	
2		4	2	2	100	
2		4	2	4	100	
2		4	2	5	100	
2		4	3	4	160	3
2		4	3	1	80	3
2		4	3	2	80	3
2		4	3	3	80	3
2		4	3	5	80	3
2		4	3	6	90	2
2		4	3	7	70	4
2		4	4	1	185	3
2		4	4	2	200	1
2		4	4	3	160	3
2		4	4	4	180	2
2		4	4	5	90	2
2		4	4	6	100	1
2		4	4	7	100	1
2		4	4	8	65	4
2		4	4	9	100	1
2		4	4	10	70	4
2		4	4	11	100	1
2		4	4	12	100	1
2		4	4	13	80	3
2		4	4	14	80	3
2		4	4	15	70	4
2		4	4	16	100	1
2		4	4	17	90	2
