BufferID	描述备注	流派备注	强度备注	归属流派	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
BufferID	DesComment	BulidComment	RarityComment		probability1	probability2	probability3	probability4	probability5	probability6	probability7	probability8	probability9	probability10	probability11	probability12
2105	瞄准射击的伤害提升%s%%	{慢速射击,快速射击}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2106	常规技能伤害提升%s%%	{技能}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2108	暴击率提升%s%%	{攻击}	1	{1,2,3}	0	0	0	0	0	0	0	0	0	0	0	0
2114	暴击伤害提升%s%%	{慢速射击}	5	{1,2,3}	2500	0	0	3000	9000	0	0	0	0	0	0	0
2121	与目标距离越远，瞄准射击伤害提升	{慢速射击}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2123	%s秒未受伤害,常规技能伤害提升%s%%	{技能}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2125	爆发技能量获取效率提升%s%%	{技能}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2126	弹匣容量提升%s%%	{快速射击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2205	动能类型伤害提升%s%%	{攻击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2206	弹匣内子弹数量大于%s%%时,射击的伤害提升%s%%	{攻击}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2207	最大生命降低%s%%,所有伤害提升%s%%	{攻击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2208	最大生命降低%s%%,常规技能伤害提升%s%%	{技能}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2209	高温类型伤害提升%s%%	{攻击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2210	低温类型伤害提升%s%%	{攻击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2211	异能类型伤害提升%s%%	{攻击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2212	电击类型伤害提升%s%%	{攻击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2213	所有元素类型的伤害增加%s%%	{攻击,控制}	5	{1,2,3}	2500	0	0	3000	9000	0	0	0	0	0	0	0
2215	暴击后射击速度提升%s%%,持续%s秒	{快速射击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2216	最大爆发能量和当前已获取爆发能量均提升%s%%	{技能}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2302	弹匣内第一发子弹的伤害提升%s%%	{慢速射击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2303	技能急速增加%s%	{技能}	5	{1,2,3}	2500	0	0	3000	9000	0	0	0	0	0	0	0
2304	常规技能伤害降低%s%%,瞄准射击伤害提升%s%%	{快速射击,慢速射击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2306	爆发能量值为100时,常规技能伤害提升%s%%	{技能}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2309	每击败1个敌方目标，暴击率提升%s%%	{攻击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2311	每击败1个敌方目标，暴击伤害提升%s%%	{慢速射击,特效}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2312	爆发能量为100时，暴击伤害提升%s%%	{攻击}	1	{1,2,3}	0	0	0	0	0	0	0	0	0	0	0	0
2314	暴击后射击伤害提升%s%%，持续%s秒，该效果最多叠加5层	{快速射击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2315	暴击后可恢复少量爆发能量	{技能}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2317	击败敌方目标后，射击速度提升%s%%，持续%s秒	{快速射击}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2322	射击命中目标时，有%s%%的概率对其施加【灼烧】状态，持续造成高热类型伤害	{特效}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2323	命中目标时，添加1层【电气】印记，当印记达到%s层时触发1次电击类型伤害，并施加麻痹状态，持续%s秒	{控制}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2324	射击暴击后，有%s%%概率额外造成1次特异类型伤害，触发间隔%s秒	{特效}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2325	射击命中目标时，有%s%%概率额外造成1次低温类型伤害	{特效}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2327	射击命中目标时，有%s%%概率引发1次特异震荡波，对范围内的所有地方目标造成特异类型伤害	{特效}	4	{1,2,3}	0	0	0	0	0	0	0	0	0	0	0	0
2328	命中目标时为其施加易伤效果，使其受到的射击伤害提升%s%%，持续%s秒，最多叠加%s层	{快速射击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2329	对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续%s秒，触发间隔%s秒	{控制}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2331	换弹后，你的下%s发子弹伤害提高%s%%	{慢速射击}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2334	5米范围内，每存在1个敌对目标，暴击伤害提升%s%%	{慢速射击,特效}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2403	拥有护盾时，射击不消耗子弹，同时射击伤害提升30%	{防御}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2405	释放爆发技后，使5m范围内的敌人迟缓，持续5秒	{控制}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2406	对处于麻痹状态的敌人，射击造成的伤害提升15%	{控制}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2407	射击命中处于眩晕状态的敌人时，该次射击必定造成暴击	{控制}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2408	射击命中处于控制状态的敌人时，该次射击无视40%防御	{控制}	5	{1,2,3}	2500	0	0	3000	9000	0	0	0	0	0	0	0
2409	射击命中处于控制状态的敌人时，回复1%最大生命，触发间隔1秒	{控制}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2410	射击命中处于冻结状态的敌人时，有20%概率恢复1点爆发能量，触发间隔1秒	{控制}	3	{1,2,3}	0	6000	3000	2000	0	0	0	0	0	0	0	0
2411	击败敌人时，有50%概率使敌人爆炸，造成攻击力100%的范围动能伤害并使周围的敌人眩晕2秒	{控制}	5	{1,2,3}	2500	0	0	3000	9000	0	0	0	0	0	0	0
2413	射击命中处于控制状态的敌人时，有10%概率返还子弹	{控制}	2	{1,2,3}	0	1500	500	0	0	0	0	0	0	0	0	0
2414	每10秒原地释放一次震荡波半径5米，对周围的敌人造成攻击力100%的动能类型伤害	{特效}	4	{1,2,3}	0	0	0	0	0	0	0	0	0	0	0	0
2415	射击时有40%的概率对3米范围内的其他敌人造成原伤害60%的动能溅射伤害，该伤害会再次计算防御	{慢速射击,特效}	4	{1,2,3}	7500	2500	6500	5000	1000	0	0	0	0	0	0	0
2416	每5秒会生成一道闪电，攻击30米范围内最近的敌人，造成100%的电击类型伤害，伤害范围3米	{特效}	5	{1,2,3}	2500	0	0	3000	9000	0	0	0	0	0	0	0
