BufferID	描述备注	流派备注	强度备注	归属流派	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
BufferID	DesComment	BulidComment	RarityComment		probability1	probability2	probability3	probability4	probability5	probability6	probability7	probability8	probability9	probability10	probability11	probability12
1101	在战斗中，冲刺状态耐力消耗降低%s%%	{特效}	1	{7}	0	1500	500	0	0	0	0	0	0	0	0	0
1102	降低%s%%射击速度,提升%s%%射击伤害	{慢速射击}	3	{4}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1103	降低%s%%弹匣容量,提升%s%%射击伤害	{攻击}	3	{1}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1104	冲刺状态时受到的伤害降低%s%%	{特效}	3	{7}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1105	瞄准射击的伤害提升%s%%	{慢速射击,快速射击}	3	{4,3}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1106	常规技能伤害提升%s%%	{技能}	4	{5}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1108	暴击率提升%s%%	{攻击}	1	{1}	0	1500	500	0	0	0	0	0	0	0	0	0
1109	攻击处于异常状态的敌人最终伤害增加%s%%	{控制}	4	{6}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1110	使用常规技能后,受到伤害降低%s%%,持续%s秒	{防御,技能}	2	{2,5}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1111	受到伤害降低%s%%	{防御}	3	{2}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1112	使用常规技能后,恢复%s%%最大生命，冷却时间%s秒	{技能}	2	{5}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1113	最大生命提升%s%%	{防御}	3	{2}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1114	暴击伤害提升%s%%	{慢速射击}	5	{4}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1115	在受到伤害后,恢复%s%%生命值,冷却时间%s秒	{防御}	4	{2}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1116	每击倒1个敌方目标,最大生命永久提升%s%%	{防御}	4	{2}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1117	耐力上限提升%s%%	{特效}	2	{7}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1118	闪避的体力消耗减少%s%%	{防御}	1	{2}	0	1500	500	0	0	0	0	0	0	0	0	0
1119	换弹附带无敌效果,持续%s秒	{快速射击,慢速射击}	3	{3,4}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1121	与目标距离越远，瞄准射击伤害提升	{慢速射击}	3	{4}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1122	常规技能对护盾伤害提升%s%%	{技能,控制}	1	{5,6}	0	1500	500	0	0	0	0	0	0	0	0	0
1123	%s秒未受伤害,常规技能伤害提升%s%%	{技能}	3	{5}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1124	暴击后恢复%s%%生命,触发间隔%s秒	{防御}	4	{2}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1125	爆发技能量获取效率提升%s%%	{技能}	3	{5}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1126	弹匣容量提升%s%%	{快速射击}	4	{3}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1127	换弹速度提升%s%%	{快速射击,慢速射击}	2	{3,4}	0	4500	3000	2000	500	500	100	10	10	10	10	10
