ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 18=家具 24=AR动作）	Logo	道具130*130	大图200*200	货币50*50	礼包400*400
ID	Comment	Define	Logo	P3	P2	P10	P11
2418001	Ar少女018a动作1	24		4900060	4900061		
2418002	Ar少女018a动作2	24		4900070	4900071		
2418003	Ar少女018a动作3	24		4900080	4900081		
2418004	Ar少女018a动作4	24		4900090	4900091		
2418005	Ar少女018a动作5	24		4900100	4900101		
							
2421001	Ar少女021动作1	24		4900010	4900011		
2421002	Ar少女021动作2	24		4900020	4900021		
2421003	Ar少女021动作3	24		4900030	4900031		
2421004	Ar少女021动作4	24		4900040	4900041		
2421005	Ar少女021动作5	24		4900050	4900051		
