id	随机类型(0、不填:独立随机；1:组合随机n选1;2:n选一后定组后再n选1 )	//注释	掉落物品组合{{{GDPL},权重,数量,掉落效果ID}}
ID	RandType	Comment	Grop
999		剧情关通用奖励	{{{4,3,2,1},10000,20,101}}
1000		普通难度首通奖励	{{{4,3,2,1},10000,20,101}}
1001		困难难度首通奖励	{{{4,3,2,1},10000,30,101}}
1002		Chapter1-2新手首通	{{{4,3,2,1},10000,50,101},{{5,2,1,2},10000,1,203}}
1003		Chapter1-9新手首通	{{{4,3,2,1},10000,50,101},{{5,1,1,2},10000,1,203},{{5,1,1,2},10000,1,203}}
1004		Chapter3-3新手首通	{{{4,3,2,1},10000,50,101},{{5,1,1,3},10000,1,203}}
1005		Chapter4-12新手首通	{{{4,3,2,1},10000,50,101},{{5,2,1,3},10000,1,203}}
1006		Chapter5-6新手首通	{{{4,3,2,1},10000,50,101},{{5,3,1,3},10000,2,203}}
1007		Chapter3-6新手首通	{{{4,3,2,1},10000,50,101},{{5,2,1,3},10000,1,203}}
1008		Chapter3-12新手首通	{{{4,3,2,1},10000,50,101},{{5,2,1,3},10000,1,203}}
1009		教学关首通	{{{4,3,2,1},10000,50,101}}
			
1010		测试掉落1	{{{4,3,1,1},10000,100,40001}}
1011		测试掉落2	{{{4,3,1,1},10000,100,40002}}
1012		测试掉落3	{{{4,3,1,1},10000,100,40003}}
1013		测试掉落4	{{{4,3,1,1},10000,100,40004}}
1014		测试掉落5	{{{4,3,1,1},10000,100,40005}}
1015		测试掉落6	{{{4,3,1,1},10000,100,40006}}
1016		测试掉落7	{{{4,3,1,1},10000,100,40007}}
1017		测试掉落8	{{{4,3,1,1},10000,100,40008}}
1018		测试掉落9	{{{4,3,1,1},10000,100,40009}}
1019		测试掉落10	{{{4,3,1,1},10000,100,40010}}
			
1020		公测版本主线首通1	{{{4,3,2,1},10000,50,101},{{5,1,1,2},10000,1,203}}
1021		公测版本主线首通2	{{{4,3,2,1},10000,50,101},{{5,2,1,2},10000,1,203}}
1022		公测版本主线首通3	{{{4,3,2,1},10000,50,101},{{5,1,1,2},10000,2,203}}
1023		公测版本主线首通4	{{{4,3,2,1},10000,50,101},{{5,2,1,2},10000,2,203}}
1024		公测版本主线首通5	{{{4,3,2,1},10000,50,101},{{5,1,1,3},10000,1,203}}
1025		公测版本主线首通6	{{{4,3,2,1},10000,50,101},{{5,2,1,3},10000,1,203}}
1026		公测版本主线首通7	{{{4,3,2,1},10000,50,101},{{5,1,1,3},10000,2,203}}
1027		公测版本主线首通8	{{{4,3,2,1},10000,50,101},{{5,2,1,3},10000,2,203}}
1028		公测版本主线首通9	{{{4,3,2,1},10000,50,101},{{5,3,1,3},10000,2,203}}
			
1034		公测版本主线固定奖励1	{{{4,3,1,1},10000,600,101},{{5,1,1,1},10000,1,203}}
1035		公测版本主线固定奖励2	{{{4,3,1,1},10000,600,101},{{5,2,1,1},10000,1,203}}
