id	//注释	掉落组合{{组合ID,第几次执行,随机次数}}
ID	Comment	Drop
999	剧情通用奖励	{{999,1,1}}
1000	普通通用首通奖励	{{1000,1,1}}
1001	困难通用首通奖励	{{1001,1,1}}
1002	Chapter1-2新手首通	{{1002,1,1}}
1003	Chapter1-9新手首通	{{1003,1,1}}
1004	Chapter3-3新手首通	{{1004,1,1}}
1005	Chapter4-12新手首通	{{1005,1,1}}
1006	Chapter5-6新手首通	{{1006,1,1}}
1007	Chapter3-6新手首通	{{1007,1,1}}
1008	Chapter3-12新手首通	{{1008,1,1}}
1009	教学关首通	{{1009,1,1}}
		
1010	测试掉落1	{{1010,1,1}}
1011	测试掉落2	{{1011,1,1}}
1012	测试掉落3	{{1012,1,1}}
1013	测试掉落4	{{1013,1,1}}
1014	测试掉落5	{{1014,1,1}}
1015	测试掉落6	{{1015,1,1}}
1016	测试掉落7	{{1016,1,1}}
1017	测试掉落8	{{1017,1,1}}
1018	测试掉落9	{{1018,1,1}}
1019	测试掉落10	{{1019,1,1}}
		
1020	公测版本主线首通1	{{1020,1,1}}
1021	公测版本主线首通2	{{1021,1,1}}
1022	公测版本主线首通3	{{1022,1,1}}
1023	公测版本主线首通4	{{1023,1,1}}
1024	公测版本主线首通5	{{1024,1,1}}
1025	公测版本主线首通6	{{1025,1,1}}
1026	公测版本主线首通7	{{1026,1,1}}
1027	公测版本主线首通8	{{1027,1,1}}
1028	公测版本主线首通9	{{1028,1,1}}
		
1034	公测版本主线固定奖励1	{{1034,1,1}}
1035	公测版本主线固定奖励2	{{1035,1,1}}
1036	公测版本主线固定奖励3	{{1036,1,1}}
1037	公测版本主线固定奖励4	{{1037,1,1}}
1038	公测版本主线固定奖励5	{{1038,1,1}}
1039	公测版本主线固定奖励6	{{1039,1,1}}
1040	公测版本主线固定奖励7	{{1040,1,1}}
1041	公测版本主线固定奖励8	{{1041,1,1}}
		
1051	特殊主线奖励-里芙芬妮头像	{{1051,1,1}}
1052	特殊主线奖励-辰星肴头像	{{1052,1,1}}
		
1053	宿舍引导关卡产出	{{1053,1,1}}
1054	特殊主线奖励-凯茜娅苔丝头像	{{1054,1,1}}
1055	特殊主线奖励-安卡婚纱/茉莉安婚纱头像	{{1055,1,1}}
		
2001	困难关卡首通奖励1	{{2001,1,1}}
2002	困难关卡首通奖励2	{{2002,1,1}}
2003	困难关卡首通奖励3	{{2003,1,1}}
2004	困难关卡首通奖励4	{{2004,1,1}}
2005	困难关卡首通奖励5	{{2005,1,1}}
2006	困难关卡首通奖励6	{{2006,1,1}}
2007	困难关卡首通奖励7	{{2007,1,1}}
2008	困难关卡首通奖励8	{{2008,1,1}}
2009	困难关卡首通奖励9	{{2009,1,1}}
2010	困难关卡首通奖励10	{{2010,1,1}}
2011	困难关卡首通奖励11	{{2011,1,1}}
2012	困难关卡首通奖励12	{{2012,1,1}}
2013	困难关卡首通奖励13	{{2013,1,1}}
2014	困难关卡首通奖励14	{{2014,1,1}}
2015	困难关卡首通奖励15	{{2015,1,1}}
2016	困难关卡首通奖励16	{{2016,1,1}}
2017	困难关卡首通奖励17	{{2017,1,1}}
2018	困难关卡首通奖励18	{{2018,1,1}}
2019	困难关卡首通奖励19	{{2019,1,1}}
2020	困难关卡首通奖励20	{{2020,1,1}}
		
4001	富饶之壶-难度1固定奖励	{{4001,1,1}}
4002	富饶之壶-难度2固定奖励	{{4002,1,1}}
4003	富饶之壶-难度3固定奖励	{{4003,1,1}}
4004	富饶之壶-难度4固定奖励	{{4004,1,1}}
4005	富饶之壶-难度5固定奖励	{{4005,1,1}}
4006	富饶之壶-难度6固定奖励	{{4006,1,1}}
4007	百足之市-难度1固定奖励	{{4007,1,1}}
4008	百足之市-难度2固定奖励	{{4008,1,1}}
4009	百足之市-难度3固定奖励	{{4009,1,1}}
4010	百足之市-难度4固定奖励	{{4010,1,1}}
4011	百足之市-难度5固定奖励	{{4011,1,1}}
4012	百足之市-难度6固定奖励	{{4012,1,1}}
4013	止战之人-难度1固定奖励	{{4013,1,1}}
4014	止战之人-难度2固定奖励	{{4014,1,1}}
4015	止战之人-难度3固定奖励	{{4015,1,1}}
4016	止战之人-难度4固定奖励	{{4016,1,1}}
4017	止战之人-难度5固定奖励	{{4017,1,1}}
4018	止战之人-难度6固定奖励	{{4018,1,1}}
4019	无限之城-难度1固定奖励	{{4019,1,1}}
4020	无限之城-难度2固定奖励	{{4020,1,1}}
4021	无限之城-难度3固定奖励	{{4021,1,1}}
4022	无限之城-难度4固定奖励	{{4022,1,1}}
4023	无限之城-难度5固定奖励	{{4023,1,1}}
4024	无限之城-难度6固定奖励	{{4024,1,1}}
4025	重铸之炎-难度1固定奖励	{{4025,1,1}}
4026	重铸之炎-难度2固定奖励	{{4026,1,1}}
4027	重铸之炎-难度3固定奖励	{{4027,1,1}}
4028	重铸之炎-难度4固定奖励	{{4028,1,1}}
4029	重铸之炎-难度5固定奖励	{{4029,1,1}}
4030	重铸之炎-难度6固定奖励	{{4030,1,1}}
4031	永冬之境-难度1固定奖励	{{4031,1,1}}
4032	永冬之境-难度2固定奖励	{{4032,1,1}}
4033	永冬之境-难度3固定奖励	{{4033,1,1}}
4034	永冬之境-难度4固定奖励	{{4034,1,1}}
4035	永冬之境-难度5固定奖励	{{4035,1,1}}
4036	永冬之境-难度6固定奖励	{{4036,1,1}}
4037	浴火之战-难度1	{{4037,1,1}}
4038	浴火之战-难度2	{{4038,1,1}}
4039	浴火之战-难度3	{{4039,1,1}}
4040	浴火之战-难度4	{{4040,1,1}}
4041	浴火之战-难度5	{{4041,1,1}}
4042	浴火之战-难度6	{{4042,1,1}}
		
4043	浴火之战PLUS-掉落DLC后勤	{{4043,1,1}}
		
4044	聚兵之器-固定奖励DLC武器代币	{{4044,1,1}}
		
4101	富饶之壶-难度1随机奖励	{{4101,1,1}}
4102	富饶之壶-难度2随机奖励	{{4102,1,1}}
4103	富饶之壶-难度3随机奖励	{{4103,1,1}}
4104	富饶之壶-难度4随机奖励	{{4104,1,1}}
4105	富饶之壶-难度5随机奖励	{{4105,1,1}}
4106	富饶之壶-难度6随机奖励	{{4106,1,1}}
4107	百足之市-难度1随机奖励	{{4107,1,1}}
4108	百足之市-难度2随机奖励	{{4108,1,1}}
4109	百足之市-难度3随机奖励	{{4109,1,1}}
4110	百足之市-难度4随机奖励	{{4110,1,1}}
4111	百足之市-难度5随机奖励	{{4111,1,1}}
4112	百足之市-难度6随机奖励	{{4112,1,1}}
4113	止战之人-难度1随机奖励	{{4113,1,1}}
4114	止战之人-难度2随机奖励	{{4114,1,1}}
4115	止战之人-难度3随机奖励	{{4115,1,1}}
4116	止战之人-难度4随机奖励	{{4116,1,1}}
4117	止战之人-难度5随机奖励	{{4117,1,1}}
4118	止战之人-难度6随机奖励	{{4118,1,1}}
4119	无限之城-难度1随机奖励	{{4119,1,1}}
4120	无限之城-难度2随机奖励	{{4120,1,1}}
4121	无限之城-难度3随机奖励	{{4121,1,1}}
