字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	从耶洛沙回来后，米德加尔特，初冬。	從耶洛沙回來後，米德加爾特，初冬。	イェロシャから戻ったあとのミッドガルド。\n季節は、初冬。	옐로샤에서 돌아온 후, 미드가르드, 초겨울.	After returning from Yehrus, early winter in Midgard.						0	3.4卜卜灵鉴个人故事
2	分析员——我在这里呢！	分析員——我在這裡呢！	分析員――こっちこっち！	분석가, 여기야!	Adjutant — I'm here!						0	3.4卜卜灵鉴个人故事
3	与耶洛沙不同，米德加尔特的冬天来得迟缓而温柔。	與耶洛沙不同，米德加爾特的冬天來得遲緩而溫柔。	イェロシャとは違って、ミッドガルドの冬は訪れかたがゆっくりで、どこかやわらかい。	옐로샤와 달리, 미드가르드의 겨울은 느리고 온화하게 찾아왔다.	Unlike in Yehrus, winter came to Midgard slowly and gently.						0	3.4卜卜灵鉴个人故事
4	地上的落叶大多已经干枯，卜卜奔跑着踩过，脚下便响起一片沙沙声。	地上的落葉大多已經乾枯，卜卜奔跑著踩過，腳下便響起一片沙沙聲。	地面に散った落ち葉はすっかり乾いていて、ブブが駆け抜けるたび、足元でサクサクと音を立てる。	땅 위의 낙엽은 대부분 이미 마른 상태여서, 보보가 밟으며 뛰어가니 발밑에서 바스락거리는 소리가 났다.	The ground was covered with fallen leaves that had dried out. Bubu kicked up a chorus of rustling sounds as she trotted along.						0	3.4卜卜灵鉴个人故事
5	分析员你看！我找到了什么。	分析員你看！我找到了什麼。	分析員見て！こんなの見つけたんだよ。	분석가, 이것 봐! 내가 뭘 찾았게?	Look what I found!						0	3.4卜卜灵鉴个人故事
6	穿过微凉的空气，卜卜向着我跑来，站定，神秘兮兮地摊开手掌。	穿過微涼的空氣，卜卜朝著我跑來，站定，神秘兮兮地攤開手掌。	ひんやりした空気を切って、ブブがこちらへ駆けてくる。目の前でぴたりと止まると、なにかを隠すようにして広げた手のひらを差し出す。	선선한 공기를 뚫고 내게 달려온 보보가 멈춰 서더니 신비롭게 손바닥을 펼쳤다.	She jogged up to me through the cool air and held out her hand with a mysterious expression.						0	3.4卜卜灵鉴个人故事
7	一枚精致小巧的松果躺在她的掌心。	一枚精緻小巧的松果躺在她的掌心。	その掌の上には、ちいさくて愛らしい松ぼっくりが一つ、ちょこんと転がっている。	작고 정교한 솔방울 하나가 그녀의 손바닥에 놓여 있었다.	A delicate little pine cone lay in her palm.						0	3.4卜卜灵鉴个人故事
8	很漂亮，真不容易呢，卜卜还能找到这个。	很漂亮，真不容易呢，卜卜還能找到這個。	きれいだな。よく見つけたな、ブブ。	예쁘네. 쉽지 않았을 텐데, 보보가 이걸 찾다니.	It's beautiful. That couldn't have been easy to find, Bubu.						0	3.4卜卜灵鉴个人故事
9	哼哼~卜卜可是采山货的高手哦。	哼哼~卜卜可是採山貨的高手喔。	えっへん、ブブは山のめぐみを見つけるプロなんだからね。	흐흥~ 보보는 산나물 채집 고수거든!	Hehe~ You're looking at a master of foraging, you know.						0	3.4卜卜灵鉴个人故事
10	好些果实和草药只是被盖在了落叶下面，想仔细找找的话还是有不少的！	好些果實和草藥只是被蓋在了落葉下面，想仔細找找的話還是有不少的！	木の実とか薬草とか、落ち葉の下に隠れてるのもいっぱいあるんだ。ちゃんと探せば、まだまだ宝物だらけだよ！	열매와 약초는 낙엽 아래 덮여 있을 뿐이야, 자세히 찾아보면 꽤 많이 있어!	Lots of fruits and herbs hide under fallen leaves. There's plenty to find if you look carefully!						0	3.4卜卜灵鉴个人故事
