属性	//备注	文本	百分比显示	图标
Attribute	Comment	Name	IsPercentage	Icon
Attack	攻击力	rogue3.uav_AttributeName1	0	1300001
Defence	防御力	rogue3.uav_AttributeName2	0	1300002
HealthMax	最大生命	rogue3.uav_AttributeName3	0	1300000
Critical	暴击率	rogue3.uav_AttributeName4	1	1300010
CriticalDamageAddtion	暴击伤害增幅	rogue3.uav_AttributeName5	1	1300011
SkillCDQuick	技能急速	rogue3.uav_AttributeName6	0	1300037
AllSkillDamageBonus	技能伤害	rogue3.uav_AttributeName7	1	1300029
SkillDamageBonus	常规技伤害	rogue3.uav_AttributeName8	1	1300029
QTEDamageBonus	支援技伤害	rogue3.uav_AttributeName9	1	1300029
SuperSkillDamageBonus	爆发技伤害	rogue3.uav_AttributeName10	1	1300029
CharacterEnergyEfficiency	爆发能量获取率	rogue3.uav_AttributeName11	1	1300004
AllShootDamageBonus	射击伤害	rogue3.uav_AttributeName12	1	1300012
ShootDamageBonus	非瞄准射击伤害	rogue3.uav_AttributeName13	1	1300012
AimDamageBonus	瞄准射击伤害	rogue3.uav_AttributeName14	1	1300012
WeaponShootSpeedPer	射击速度	rogue3.uav_AttributeName15	1	1300014
ReloadSpeedCoefficient	换弹速度	rogue3.uav_AttributeName16	1	1300017
NormalEnergyRecoverSpeedAddtion	常规能量恢复速度	rogue3.uav_AttributeName17	1	1300038
Command	附属单位强度	rogue3.uav_AttributeName18	1	1300026
AlllEmentDamageBonus	全元素类伤害加成	rogue3.uav_AttributeName19	1	1300026
