ID	//备注	名称	图标	所属技能	分支类型（0基础技能 1分支a 2分支b）	分支等级和激活条件{等级,{需要的二级类型,数量}}	描述	//描述备注	描述中的数值	buff分组（同组覆盖）	buff等级	效果id（modified,添加对象1.无人机 2.玩家）	效果id2（skillfix,添加对象1.无人机 2.玩家）
ID	Comment	Name	Icon	ParentID	Type	Condition	Des	DesComment	SkillParamPerCount	BuffJurisdictionID	StrengthLevel	Modified	Skillfix
1	1技能初始效果！！注意！！这条挂载了玩家射击附带额外伤害的标记触发	rogue3.uav_SkillName1	1001569	1	0		rogue3.uav_SkillDes1_0	每间隔{1}秒，发射{2}枚导弹攻击敌方目标，造成{3}%伤害，击中目标后还会发生爆炸，对{4}米范围内的敌人造成无人机攻击力{5}%的高热伤害	{7.5,3,300,3,100}			{{7010435,1}}	
2	1技能分支1-1			1	1	{1,{1,4}}	rogue3.uav_SkillDes1_1_lv1	爆炸伤害提升至{1}%	{300}			{{7010500,1}}	{{520311000,1}}
3	1技能分支1-2			1	1	{2,{1,8}}	rogue3.uav_SkillDes1_1_lv2	爆炸范围扩大至{1}米	{5}			{{7010501,1}}	{{520311001,1}}
4	1技能分支1-3			1	1	{3,{1,12}}	rogue3.uav_SkillDes1_1_lv3	发射的导弹数量增加至{1}，但伤害减少至{2}%	{6,225}			{{7010502,1}}	{{520311002,1}}
6	1技能分支2-1			1	2	{1,{2,4}}	rogue3.uav_SkillDes1_2_lv1	被爆炸波及的敌人会被眩晕{1}秒	{1}			{{7010503,1}}	{{520311100,1}}
7	1技能分支2-2			1	2	{2,{2,8}}	rogue3.uav_SkillDes1_2_lv2	导弹攻击的破坏值提升{1}%	{100}			{{7010504,1}}	{{520311101,1}}
8	1技能分支2-3			1	2	{3,{2,12}}	rogue3.uav_SkillDes1_2_lv3	技能释放间隔减少至{1}秒	{5}			{{7010505,1}}	{{520311102,1}}
10	2技能初始效果	rogue3.uav_SkillName2	1001570	2	0		rogue3.uav_SkillDes2_0	每间隔{1}秒，召唤一枚大型导弹轰击目标所在的地面，形成巨大爆炸，对{2}米范围的敌人造成无人机攻击力{3}%的高热伤害。	{24,10,1500}				
11	2技能分支1-1			2	1	{1,{1,4}}	rogue3.uav_SkillDes2_1_lv1	技能释放间隔减少至{1}秒，伤害提升至{2}%	{18,1800}			{{7010506,1}}	{{520311201,1}}
12	2技能分支1-2			2	1	{2,{1,8}}	rogue3.uav_SkillDes2_1_lv2	爆炸将降低敌人{1}%的高热抗性，持续{2}秒	{30,10}			{{7010507,1}}	{{520311202,1}}
13	2技能分支1-3			2	1	{3,{1,12}}	rogue3.uav_SkillDes2_1_lv3	额外召唤{1}枚较小的导弹进行随机轰击，对轰击点{2}米的范围内的敌人造成无人机攻击力{3}%的高热伤害	{5,3,500}			{{7010508,1}}	{{520311203,1}}
15	2技能分支2-1			2	2	{1,{3,4}}	rogue3.uav_SkillDes2_2_lv1	大型导弹的爆炸范围提升至{1}米	{14}			{{7010509,1}}	{{520311301,1}}
16	2技能分支2-2			2	2	{2,{3,8}}	rogue3.uav_SkillDes2_2_lv2	大型导弹爆炸后会留下持续{1}秒的岩浆，对处于其中的敌人造成持续高热伤害	{10}			{{7010510,1}}	
17	2技能分支2-3			2	2	{3,{3,12}}	rogue3.uav_SkillDes2_2_lv3	大型导弹爆炸后会持续牵引敌方，持续{1}秒	{10}			{{7010511,1}}	
19	3技能初始效果	rogue3.uav_SkillName3	1001103	3	0		rogue3.uav_SkillDes3_0	被动提升玩家{1}%的技能伤害	{25}			{{7010425,2}}	
20	3技能分支1-1			3	1	{1,{2,4}}	rogue3.uav_SkillDes3_1_lv1	被动提高玩家{1}%生命值	{20}			{{7010426,2}}	
