任务id	区域id	任务类型（1:区域任务，2:晶簇任务）	失败情况(1:重置状态重新激活任务;2:只重置状态)	货币掉落量	怪物等级偏移	任务文件路径(Content/Blueprints/LevelTask/Tasks/)	任务点名	子关卡逻辑，父目录(/Game/Blueprints/LevelTask/Level/)	触发期数（对应level_time.txt)
Id	RegionId	Type	FailType	DropMoney	LevelOffset	TaskPath	PointName	LevelLogic	UseId
100	10					DLC2Task/Level_Task/main/Level_Task_01.Level_Task_01	point_task_01	DLC2Level/OpenWorldLevel/Level_Task/main/Task_00_01.Task_00_01	
									
101	11	2		200		DLC2Task/Level_Task/01/Level_Task_11.Level_Task_11	point_task_11	DLC2Level/OpenWorldLevel/Level_Task/01/Task_01_01.Task_01_01	1
102	12	2		200		DLC2Task/Level_Task/01/Level_Task_12.Level_Task_12	point_task_12	DLC2Level/OpenWorldLevel/Level_Task/01/Task_01_02.Task_01_02	2
103	13	2	2	200		DLC2Task/Level_Task/01/Level_Task_13.Level_Task_13	point_task_13	DLC2Level/OpenWorldLevel/Level_Task/01/Task_01_03.Task_01_03	3
104	14	2		200		DLC2Task/Level_Task/01/Level_Task_14.Level_Task_14	point_task_14	DLC2Level/OpenWorldLevel/Level_Task/01/Task_01_04.Task_01_04	3
105	15	1		800		DLC2Task/Level_Task/01/Level_Task_15.Level_Task_15	point_task_15	DLC2Level/OpenWorldLevel/Level_Task/01/Task_01_05.Task_01_05	2
									
201	21	2		200		DLC2Task/Level_Task/02/Level_Task_21.Level_Task_21	point_task_21	DLC2Level/OpenWorldLevel/Level_Task/02/Task_02_01.Task_02_01	1
202	22	2	2	200		DLC2Task/Level_Task/02/Level_Task_22.Level_Task_22	point_task_22	DLC2Level/OpenWorldLevel/Level_Task/02/Task_02_02.Task_02_02	2
203	23	2	2	200		DLC2Task/Level_Task/02/Level_Task_23.Level_Task_23	point_task_23	DLC2Level/OpenWorldLevel/Level_Task/02/Task_02_03.Task_02_03	2
204	24	2		200		DLC2Task/Level_Task/02/Level_Task_24.Level_Task_24	point_task_24	DLC2Level/OpenWorldLevel/Level_Task/02/Task_02_04.Task_02_04	3
205	25	1		800		DLC2Task/Level_Task/02/Level_Task_25.Level_Task_25	point_task_25	DLC2Level/OpenWorldLevel/Level_Task/02/Task_02_05.Task_02_05	1
