怪物Id	货币掉落量	共振率掉落率	是不是巡逻怪
Id	DropMoney	DropGZ	IsPatrol
4001002	8	8	1
4001003	12	12	1
4001004	3	3	1
4001005	3	3	1
4001006	6	6	1
4001007	6	6	1
4001008	1	1	0
4001013	16	16	0
4001015	20	20	1
4001016	16	16	0
4001017	12	12	1
4001102	8	8	1
4001103	22	22	1
4001104	24	24	1
4001106	4	4	1
4001108	3	3	1
4001112	6	6	1
4001114	6	6	1
4001115	8	8	0
4001116	1	1	0
4001212	2	2	0
4001213	12	12	0
4001905	8	8	0
4002002	8	8	1
4002003	12	12	1
4002004	3	3	0
4002006	6	6	1
4002007	6	6	0
4002102	8	8	0
4002104	24	24	0
4003003	12	12	0
4003004	3	3	0
4003006	6	6	0
4003016	0	0	1
4003102	8	8	0
4007013	2	2	0
4008013	2	2	0
4009013	1	1	0
5001001	30	30	1
5001010	40	40	0
5001101	24	24	1
5001110	42	42	1
5001111	30	30	1
5001113	0	0	1
5001203	30	30	0
5001204	50	50	0
5001205	80	80	0
5001206	30	30	1
5001208	35	35	0
5001209	60	60	0
5001501	0	0	0
5001504	0	0	0
5002010	40	40	1
5002110	42	42	0
5003110	42	42	1
6001003	0	0	0
6001005	0	0	0
6001101	0	0	0
6001102	0	0	0
400110701	0	0	0
400190704	0	0	0
400190805	8	8	0
500110901	40	40	0
500110902	40	40	1
500150104	150	-500	0
500150404	150	-500	0
