区域名	位置	盒体范围	旋转	顶点A	顶点B	顶点C	顶点D	半径	类型(见region_type_define.txt)	对应的配置Id	形状(1-矩形;2-圆)	区域Id
Name	Pos	BoxExtent	Rot	VertexA	VertexB	VertexC	VertexD	Radius	Type	Index	Shape	RegionId
boxmapregion	{-11100.0,-22000.0,0.0}	{64000.0,72000.0,1.0}	{0.0,0.0,0.0}	{52900.0,50000.0,1.0}	{-75100.0,50000.0,0.0}	{-75100.0,-94000.0,-1.0}	{52900.0,-94000.0,0.0}	0.000000	10	178335	1	0
darkzonetaskregionentry11	{-42915.17,30871.02,-90.68}	{3412.5,2200.0,2000.0}	{0.0,0.0,0.0}	{-39502.67,33071.02,1909.31}	{-46327.67,33071.02,-90.68}	{-46327.67,28671.02,-2090.68}	{-39502.67,28671.02,-90.68}	0.000000	1	11	1	11
darkzonetaskregionentry111	{34.9,-33517.34,-0.05}	{3162.5,2750.0,1637.5}	{0.0,0.0,0.0}	{3197.4,-30767.34,1637.44}	{-3127.59,-30767.34,-0.05}	{-3127.59,-36267.34,-1637.55}	{3197.4,-36267.34,-0.05}	0.000000	1	111	1	111
darkzonetaskregionentry112_1	{-2306.27,-21269.77,796.44}	{5900.0,4600.0,1637.5}	{0.0,0.0,0.0}	{3593.72,-16669.77,2433.94}	{-8206.27,-16669.77,796.44}	{-8206.27,-25869.77,-841.05}	{3593.72,-25869.77,796.44}	0.000000	1	112	1	112
darkzonetaskregionentry112_2	{22.11,-30825.52,796.44}	{3000.0,6125.0,1637.5}	{0.0,0.0,0.0}	{3022.11,-24700.52,2433.94}	{-2977.88,-24700.52,796.44}	{-2977.88,-36950.52,-841.05}	{3022.11,-36950.52,796.44}	0.000000	1	112	1	112
darkzonetaskregionentry112_3	{22.11,-15959.35,796.41}	{1450.0,3875.0,1637.5}	{0.0,0.0,0.0}	{1472.11,-12084.35,2433.91}	{-1427.88,-12084.35,796.41}	{-1427.88,-19834.36,-841.08}	{1472.11,-19834.36,796.41}	0.000000	1	112	1	112
darkzonetaskregionentry112_4	{22.11,-38255.52,796.44}	{3500.0,2000.0,1637.5}	{0.0,0.0,0.0}	{3522.11,-36255.52,2433.94}	{-3477.88,-36255.52,796.44}	{-3477.88,-40255.52,-841.05}	{3522.11,-40255.52,796.44}	0.000000	1	112	1	112
darkzonetaskregionentry113	{-53.17,-21583.63,-0.05}	{3162.5,2000.0,1637.5}	{0.0,0.0,0.0}	{3109.32,-19583.63,1637.44}	{-3215.67,-19583.63,-0.05}	{-3215.67,-23583.63,-1637.55}	{3109.32,-23583.63,-0.05}	0.000000	1	113	1	113
darkzonetaskregionentry12	{-44411.99,18949.27,14.98}	{3837.5,2000.0,2000.0}	{0.0,0.0,0.0}	{-40574.49,20949.27,2014.98}	{-48249.49,20949.27,14.98}	{-48249.49,16949.27,-1985.01}	{-40574.49,16949.27,14.98}	0.000000	1	12	1	12
darkzonetaskregionentry121	{-4216.56,-43089.58,0.0}	{2250.0,2500.0,2000.0}	{0.0,0.0,0.0}	{-1966.56,-40589.58,1999.99}	{-6466.57,-40589.58,0.0}	{-6466.57,-45589.58,-2000.0}	{-1966.56,-45589.58,0.0}	0.000000	1	121	1	121
darkzonetaskregionentry122	{-5329.84,-50599.7,0.0}	{4162.5,2912.5,2000.0}	{0.0,0.0,0.0}	{-1167.34,-47687.2,1999.99}	{-9492.34,-47687.2,0.0}	{-9492.34,-53512.2,-2000.0}	{-1167.34,-53512.2,0.0}	0.000000	1	122	1	122
darkzonetaskregionentry123	{-12576.52,-51707.19,0.0}	{4162.5,2912.5,2000.0}	{0.0,0.0,0.0}	{-8414.02,-48794.69,1999.99}	{-16739.02,-48794.69,0.0}	{-16739.02,-54619.69,-2000.0}	{-8414.02,-54619.69,0.0}	0.000000	1	123	1	123
darkzonetaskregionentry124	{-9793.35,-45080.06,-1526.33}	{6000.0,5000.0,4000.0}	{0.0,0.0,0.0}	{-3793.35,-40080.06,2473.66}	{-15793.35,-40080.06,-1526.33}	{-15793.35,-50080.06,-5526.33}	{-3793.35,-50080.06,-1526.33}	0.000000	1	124	1	124
darkzonetaskregionentry125	{-12866.57,-47899.58,0.0}	{3000.0,3500.0,2000.0}	{0.0,0.0,0.0}	{-9866.57,-44399.58,1999.99}	{-15866.57,-44399.58,0.0}	{-15866.57,-51399.58,-2000.0}	{-9866.57,-51399.58,0.0}	0.000000	1	125	1	125
darkzonetaskregionentry126	{-13836.57,-54089.58,0.0}	{3000.0,3500.0,2000.0}	{0.0,0.0,0.0}	{-10836.57,-50589.58,1999.99}	{-16836.57,-50589.58,0.0}	{-16836.57,-57589.58,-2000.0}	{-10836.57,-57589.58,0.0}	0.000000	1	126	1	126
darkzonetaskregionentry13	{-42422.44,26865.86,1508.2}	{1300.0,1762.5,2000.0}	{0.0,0.0,0.0}	{-41122.44,28628.36,3508.2}	{-43722.44,28628.36,1508.2}	{-43722.44,25103.36,-491.79}	{-41122.44,25103.36,1508.2}	0.000000	1	13	1	13
