道具大类	道具子类	道具ID	等级	//注释	武器分类	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	初始星数（初始突破次数=星数-1）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠	是否可培养（1：可培养 0：不可培养）	技能升级	升星材料配置ID,与break.txt中配置ID对应	等级限制配置ID,与level_limit.txt中配置ID对应	突破次数限制配置ID,与break_level_limit.txt中配置ID对应	附加参数1	附加参数2	附加参数3	成长属性ID	外观ID	额外外观ID	界面是否有特殊武器蓝图（没有默认不配置，有配1，比如安卡的蓝图）	皮肤分类ID	武器默认技能(数组）	替换技能（skillfix）	提供经验值	消耗金币	进化消耗金币	武器配件插槽显示{1,1,1,1,1,1}(枪口,上导轨,枪托,供弹,下导轨,扳机，握把,瞄具，配重)	分解回收配置，对应recycle.txt中得ID列	奖励配件	GM投放	换弹tips文本	弹容tips文本	暴击伤害tips文本	射速tips文本	推荐角色的GDPL	可查看时间限制
Genre	Detail	Particular	Level	Comment	Class	Close	LuaType	I18n	Color	InitBreak	Icon	UseMode	CanStack	CanEnhance	EvolutionMatID	BreakMatID	LevelLimitID	BreakLimitID	Param1	Param2	Param3	GrowupID	AppearID	ExAppearIDs	SpecialWeaponBp	TypeID	DefaultSkillID	SkillFixID	ProvideExp	ConsumeGold	EvolutionGold	WeaponPartsLimit	RecycleID	WeaponPartsAward	GMnum	Reload_des	BulletNum_des	CriticalDamage_des	FireSpeed_des	SuggestCard	limitTime
2	1	255	1	友好邻里	1		weapon_card	weapon.gun1256	2	1	13110001			1	10001	2002	1006	1001				1256	11300			101	{2113001}		600	150	5000	{1,1,0,1,1,0,0,0,0}	12		1						
2	1	1	1	无声雷电	1		weapon_card	weapon.gun1001	3	1	13110001			1	10001	2002	1006	1001				1001	11301			101	{2113011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	1	2	1	铸铁卫士	1		weapon_card	weapon.gun1002	3	1	13110002			1	10001	2002	1006	1001				1002	14301			101	{2143011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	1	3	1	旧日叹息	1		weapon_card	weapon.gun1003	4	1	13110003			1	10002	2002	1006	1001				1003	14401			101	{2144011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,23,1}	1						
2	1	4	1	黑旗鱼	1	1	weapon_card	weapon.gun1004	5	1	13110004			1	10003	2001	1006	1001				1004	14501			101	{2145011,2145012}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,4,19,1}	1						
2	1	5	1	归来	1		weapon_card	weapon.gun1005	4	1	13110005			1	10002	2002	1006	1001				1005	14451			101	{2144511}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,20,1}	1						
2	1	6	1	偏头痛	1		weapon_card	weapon.gun1006	3	1	13110006			1	10001	2002	1006	1001				1006	12301			101	{2123011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	1	7	1	黑衣拿破仑	1		weapon_card	weapon.gun1007	3	1	13110013			1	10001	2002	1006	1001				1007	13301			101	{2133011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	1	8	1	安全线	1		weapon_card	weapon.gun1008	3	1	13110017			1	10001	2002	1006	1001				1008	11302			101	{2113021}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	1	9	1	电离水母	1		weapon_card	weapon.gun1009	4	1	13110007			1	10002	2002	1006	1001				1009	11401			101	{2114011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,24,1}	1						
2	1	10	1	正在施工	1		weapon_card	weapon.gun1010	4	1	13110008			1	10002	2002	1006	1001				1010	11451			101	{2114511}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,25,1}	1						
2	1	11	1	北极狐	1		weapon_card	weapon.gun1011	4	1	13110009			1	10002	2002	1006	1001				1011	12401			101	{2124011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,21,1}	1						
2	1	12	1	军舰鸟	1		weapon_card	weapon.gun1012	4	1	13110010			1	10002	2002	1006	1001				1012	12451			101	{2124511}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,27,1}	1						
2	1	13	1	次氯酸	1		weapon_card	weapon.gun1013	4	1	13110014			1	10002	2002	1006	1001				1013	13401			101	{2134011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,61,1}	1						
