道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠	是否可培养（1：可培养 0：不可培养）	同配件转换的道具，格式{{g,d,p,l,n}, ...}	附加参数1	附加参数2	附加参数3	成长	外观ID	武器许可	分类许可	GM投放	产出途径，0升级解锁，1主线任务	地区限制目前可填：0国内外,1国内,2海外
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Icon	UseMode	CanStack	CanEnhance	SameConvert	Param1	Param2	Param3	GrowupID	AppearID	WeaponAllow	ClassAllow	GMnum	Method	Coverage
6	1	1	1	混悬液·消音器	1	weapon_parts	accessory.muzzle001	4	1411010								10001	110004043	{1}	{1}	1		
6	2	1	1	混悬液·瞄准镜	1	weapon_parts	accessory.scope001	4	1411008								10002	110004041	{1}	{1}	1		
6	4	1	1	混悬液·弹匣	1	weapon_parts	accessory.magazine001	4	1411011								10003	110004044	{1}	{1}	1		
6	5	1	1	混悬液·电筒	1	weapon_parts	accessory.grip001	4	1411009								10004	110004042	{1}	{1}	1		
6	1	2	1	蓝移·枪口件		weapon_parts	accessory.muzzle002	3	1414006								10005	410003023	{4}	{1,2}	1	1	
6	2	2	1	蓝移·瞄准镜		weapon_parts	accessory.scope002	3	1414004								10006	410003021	{4}	{1,2}	1	1	
6	4	2	1	蓝移·弹匣		weapon_parts	accessory.magazine002	3	1414007								10007	410003024	{4}	{2}	1	1	
6	5	2	1	蓝移·照准仪		weapon_parts	accessory.grip002	3	1414005								10008	410003022	{4}	{1,2}	1	1	
6	1	3	1	羟色胺·抑制器		weapon_parts	accessory.muzzle003	3	1413005								10009	310003023	{3}	{1,2}	1	1	
6	2	3	1	羟色胺·瞄准镜		weapon_parts	accessory.scope003	3	1413003								10010	310003021	{3}	{1,2}	1	1	
6	5	3	1	羟色胺·挂件		weapon_parts	accessory.grip003	3	1413004								10011	310003022	{3}	{1,2}	1	1	
6	1	4	1	黑体·加速线圈		weapon_parts	accessory.muzzle004	4	1414002								10012	420004053	{4}	{1,2}	1	1	
6	2	4	1	黑体·瞄准镜		weapon_parts	accessory.scope004	4	1414000								10013	420004051	{4}	{1,2}	1	1	
6	4	4	1	黑体·弹匣		weapon_parts	accessory.magazine004	4	1414003								10014	420004054	{4}	{2}	1	1	
6	5	4	1	黑体·电筒		weapon_parts	accessory.grip004	4	1414001								10015	420004052	{4}	{1,2}	1	1	
6	1	5	1	冰川·消焰器	1	weapon_parts	accessory.muzzle005	4	1414010								10016	410004063	{4}	{1,2}	1		
6	2	5	1	冰川·微型火控	1	weapon_parts	accessory.scope005	4	1414008								10017	410004061	{4}	{1,2}	1		
6	4	5	1	冰川·弹巢	1	weapon_parts	accessory.magazine005	4	1414011								10018	410004064	{4}	{1}	1		
6	5	5	1	冰川·制导模块	1	weapon_parts	accessory.grip005	4	1414009								10019	410004062	{4}	{1,2}	1		
6	1	6	1	凌晨五点叛徒·收束器	1	weapon_parts	accessory.muzzle006	4	1413002								10020	310004013	{3}	{1,2}	1		
6	2	6	1	凌晨五点叛徒·瞄准镜	1	weapon_parts	accessory.scope006	4	1413000								10021	310004011	{3}	{1,2}	1		
6	5	6	1	凌晨五点叛徒·电筒	1	weapon_parts	accessory.grip006	4	1413001								10022	310004012	{3}	{1,2}	1		
6	1	7	1	喷气红心·消焰器		weapon_parts	accessory.muzzle007	3	1412010								10023	210003023	{2}	{1}	1	1	
6	2	7	1	喷气红心·瞄准镜		weapon_parts	accessory.scope007	3	1412008								10024	210003021	{2}	{1}	1	1	
6	4	7	1	喷气红心·弹匣		weapon_parts	accessory.magazine007	3	1412011								10025	210003024	{2}	{1}	1	1	
6	5	7	1	喷气红心·扩展坞		weapon_parts	accessory.grip007	3	1412009								10026	210003022	{2}	{1}	1	1	
6	1	8	1	堇青石·收束器		weapon_parts	accessory.muzzle008	4	1413008								10027	310004033	{3}	{1,2}	1	1	
6	2	8	1	堇青石·瞄准镜		weapon_parts	accessory.scope008	4	1413006								10028	310004031	{3}	{1,2}	1	1	
6	5	8	1	堇青石·辅助模块		weapon_parts	accessory.grip008	4	1413007								10029	310004032	{3}	{1,2}	1	1	
6	1	9	1	狂战士·消焰器	1	weapon_parts	accessory.muzzle009	4	1412006								10030	210004043	{2}	{1}	1		
6	2	9	1	狂战士·成像系统	1	weapon_parts	accessory.scope009	4	1412004								10031	210004041	{2}	{1}	1		
6	4	9	1	狂战士·弹匣	1	weapon_parts	accessory.magazine009	4	1412007								10032	210004044	{2}	{1}	1		
6	5	9	1	狂战士·动能模块	1	weapon_parts	accessory.grip009	4	1412005								10033	210004042	{2}	{1}	1		
6	1	10	1	61分钟·消音器		weapon_parts	accessory.muzzle010	3	1411006								10034	110003023	{1}	{1}	1	1	
6	2	10	1	61分钟·瞄准镜		weapon_parts	accessory.scope010	3	1411004								10035	110003021	{1}	{1}	1	1	
6	4	10	1	61分钟·弹匣		weapon_parts	accessory.magazine010	3	1411007								10036	110003024	{1}	{1}	1	1	
6	5	10	1	61分钟·测距仪		weapon_parts	accessory.grip010	3	1411005								10037	110003022	{1}	{1}	1	1	
6	1	11	1	槲树·消音器	1	weapon_parts	accessory.muzzle011	4	1411002								10038	110004033	{1}	{1}	1		
